sentence,frequency,ratio,cumul_ratio
demiryolu olmadan uzağa gidemezsin,10,0.05945656697782271,9.649800820500614
ne yapıyor,10,0.05945656697782271,9.709257387478436
ayağa kalk,10,0.05945656697782271,9.768713954456258
öpücük,10,0.05945656697782271,9.82817052143408
size yolu göstereyim,10,0.05945656697782271,9.887627088411902
sorgu odasına,10,0.05945656697782271,9.947083655389724
efendim,10,0.05945656697782271,10.006540222367546
ben talimatımı verdim,10,0.05945656697782271,10.065996789345368
selam dur,10,0.05945656697782271,10.12545335632319
hoşçakalın,10,0.05945656697782271,10.184909923301012
üzgünüm,10,0.05945656697782271,10.244366490278834
çok naziksiniz,10,0.05945656697782271,10.303823057256656
etrafta çok göz var,10,0.05945656697782271,10.363279624234478
belki,9,0.05351091028004044,10.416790534514519
memnuniyetle,9,0.05351091028004044,10.47030144479456
kim,9,0.05351091028004044,10.5238123550746
savaşa girdik,8,0.04756525358225816,10.571377608656858
yai,8,0.04756525358225816,10.618942862239116
onları engellemeye çalışacağız,8,0.04756525358225816,10.666508115821374
siz de ölünün kıyafetlerini giydiniz,8,0.04756525358225816,10.714073369403632
çok fazla japon devriyesi varmış,8,0.04756525358225816,10.76163862298589
kendine iyi bak,8,0.04756525358225816,10.809203876568148
londrada üç yıl kaldım biliyor musunuz,8,0.04756525358225816,10.856769130150406
gidelim,8,0.04756525358225816,10.904334383732664
olabilir,8,0.04756525358225816,10.951899637314922
utanmıyor musun,8,0.04756525358225816,10.99946489089718
köprüyü uçurmak mı,8,0.04756525358225816,11.047030144479438
ormanın içinden kuzeye ilerleyeceğiz,8,0.04756525358225816,11.094595398061696
hemşire,8,0.04756525358225816,11.142160651643954
bırak,8,0.04756525358225816,11.189725905226211
hiçbir şey,8,0.04756525358225816,11.23729115880847
tatlı,8,0.04756525358225816,11.284856412390727
doktoru çağırın,8,0.04756525358225816,11.332421665972985
mayın mı,8,0.04756525358225816,11.379986919555243
yapmak zorundaydım,8,0.04756525358225816,11.427552173137501
mark nerede,8,0.04756525358225816,11.475117426719759
albay nicholsona ne olduğu hakkında bir fikriniz var mı,8,0.04756525358225816,11.522682680302017
burası kwai nehri ve şurası da size yardım edilen köy,8,0.04756525358225816,11.570247933884275
nereye gidiyorsun,8,0.04756525358225816,11.617813187466533
madem ki buraya çakıldım kaldım bari gönüllü olayım,8,0.04756525358225816,11.66537844104879
şey,8,0.04756525358225816,11.712943694631049
buraya gel,8,0.04756525358225816,11.760508948213307
nerede olursan ol,8,0.04756525358225816,11.808074201795565
sülükler,8,0.04756525358225816,11.855639455377823
tut onu,8,0.04756525358225816,11.90320470896008
dur,8,0.04756525358225816,11.950769962542338
bir sorun mu var,7,0.04161959688447589,11.992389559426814
nehri izle bana dön,7,0.04161959688447589,12.034009156311289
pek sayılmaz,7,0.04161959688447589,12.075628753195764
benim,7,0.04161959688447589,12.117248350080239
ben de öyle,7,0.04161959688447589,12.158867946964714
çok teşekkür ederim,7,0.04161959688447589,12.200487543849189
paraşütlü mü paraşütsüz mü,7,0.04161959688447589,12.242107140733664
evet gördüm,7,0.04161959688447589,12.283726737618139
bu yöntem gördüğünüz gibi bir kargaşa,6,0.03567394018669362,12.319400677804833
çok ağır hastalandı efendim,6,0.03567394018669362,12.355074617991527
ve,6,0.03567394018669362,12.39074855817822
şu kazıkları görüyor musunuz,6,0.03567394018669362,12.426422498364914
batıyorlar,6,0.03567394018669362,12.462096438551608
bu kütüklerden sonsuza dek taşısak bile tutmazlar,6,0.03567394018669362,12.497770378738302
takım çalışması yok,6,0.03567394018669362,12.533444318924996
ki bu hiç kolay olmayacak,6,0.03567394018669362,12.56911825911169
ne talimat var ne de disiplin,6,0.03567394018669362,12.604792199298384
vazifemiz taburu baştan kurmaktır,6,0.03567394018669362,12.640466139485078
sinirsel bir hastalığınız mı var,6,0.03567394018669362,12.676140079671772
japonlar sayesinde bir güruha kumanda ediyoruz,6,0.03567394018669362,12.711814019858465
bakın baylar elimizde bir sorunumuz var,6,0.03567394018669362,12.74748796004516
bazı gruplar birbirleri aleyhinde çalışıyorlar,6,0.03567394018669362,12.783161900231853
koordinasyonsuz bir çalışma,6,0.03567394018669362,12.818835840418547
siz nereye inşa ederdiniz,6,0.03567394018669362,12.854509780605241
bir onbaşı emrinde kaç kişinin çalıştığını bilmelidir,6,0.03567394018669362,12.890183720791935
oh neden,6,0.03567394018669362,12.925857660978629
yüzünüzü böyle yapmayı kesin,6,0.03567394018669362,12.961531601165323
size komik gelebilir ama bu orduya uygun bir hareket değil,6,0.03567394018669362,12.997205541352017
albay birer fincan çay alabilir miyiz,6,0.03567394018669362,13.03287948153871
elimizden geleni yapacağız efendim,6,0.03567394018669362,13.068553421725404
batılıların nasıl çalıştıklarını gösterip onları utandıracağız,6,0.03567394018669362,13.104227361912098
adamlarımızın iş kotalarını değiştirmeye karar verdim,6,0.03567394018669362,13.139901302098792
hastaneye götürmek için üçdört kişi gerekti,6,0.03567394018669362,13.175575242285486
neyse ki araçlarımız hazır,6,0.03567394018669362,13.21124918247218
söylemeye çalıştığım şu ki japonlar daha kötü bir yer seçemezlerdi,6,0.03567394018669362,13.246923122658874
hughes bu sizin köprünüz olsaydı adamlarınızı ne şekilde kullanırdınız,6,0.03567394018669362,13.282597062845568
ilk olarak ben buraya inşa etmezdim,6,0.03567394018669362,13.318271003032262
altından nasıl mı kalkardım efendim,6,0.03567394018669362,13.353944943218956
bu köprü sizin olsaydı altından nasıl kalkardınız,6,0.03567394018669362,13.38961888340565
evet efendim madrasda yarım düzine kadar bengalde,6,0.03567394018669362,13.425292823592343
subay reeves,6,0.03567394018669362,13.496640703965731
bu gösterilere bir son verdirmeliyiz,6,0.03567394018669362,13.532314644152425
şimdiki gibi değil,6,0.03567394018669362,13.567988584339119
bu yine de bir şantaj,6,0.03567394018669362,13.603662524525813
o konumda iki kıyıda sert kayalar olur,6,0.03567394018669362,13.639336464712507
konuşurken sizi biraz temizleyeceğim,6,0.03567394018669362,13.6750104048992
cesaret edebildikleri kadar yavaş gidiyorlar,6,0.03567394018669362,13.710684345085895
ama saito yemeklerinden kesti ve eğer hastaları çalıştırırsa,6,0.03567394018669362,13.746358285272589
şey ölürler,6,0.03567394018669362,13.782032225459282
prensip bize neler olduğunu ne bilecekler ne de umursayacaklar,6,0.03567394018669362,13.817706165645976
hastanedeki herkesin birer parça katkısı oldu,6,0.03567394018669362,13.85338010583267
beni düşünenlere teşekkür et lütfen,6,0.03567394018669362,13.889054046019364
vakit doldu,6,0.03567394018669362,13.924727986206058
taburumdan hiçbir subayın hamal gibi çalışmasına izin vermeyeceğim,6,0.03567394018669362,13.960401926392752
kararım kesindir,6,0.03567394018669362,13.996075866579446
pes edin efendim,6,0.03567394018669362,14.03174980676614
kararından asla vazgeçmeyecek bir adamın hükmü altındayız,6,0.03567394018669362,14.067423746952834
doğrusu bu,6,0.03567394018669362,14.103097687139527
efendim koca bir ormanın içindeyiz her yerden binlerce kilometre uzakta,6,0.03567394018669362,14.138771627326221
eğer şimdi pes edersek bunun sonu gelmez,6,0.03567394018669362,14.174445567512915
bu tüm formaliteleri kapsıyor,6,0.03567394018669362,14.21011950769961
bakın efendim fazla vaktimiz yok,6,0.03567394018669362,14.245793447886303
size söyleyeceklerim var,6,0.03567394018669362,14.281467388072997
dar boğazın iki tarafına,6,0.03567394018669362,14.31714132825969
az önce saito ile konuştum,6,0.03567394018669362,14.352815268446385
daha aşağı tarafa efendim,6,0.03567394018669362,14.388489208633079
oh tabii tabii,6,0.03567394018669362,14.424163148819773
emirleri uygulamak zorundayım,6,0.03567394018669362,14.459837089006466
mevkiimi tam olarak anladığınızı sanmıyorum,6,0.03567394018669362,14.49551102919316
zavallı yiğit delikanlı,6,0.03567394018669362,14.531184969379854
adamlar iyi iş yapıyorlar,6,0.03567394018669362,14.566858909566548
subaylarınızın o delikte boğulmaktansa çalışmaları daha iyi olmaz mı,6,0.03567394018669362,14.602532849753242
efendim bundan daha fazlasına dayanamazsınız,6,0.03567394018669362,14.638206789939936
ve vazgeçemiyor,6,0.03567394018669362,14.67388073012663
bu bir cüret meselesi bu kadar basit,6,0.03567394018669362,14.709554670313324
bundan eminim,6,0.03567394018669362,14.745228610500018
biliyorum efendim ama o çok ciddi,6,0.03567394018669362,14.780902550686712
şantaj,6,0.03567394018669362,14.816576490873405
daha doğrusu o bir çılgın,6,0.03567394018669362,14.8522504310601
o adam karşılaştığım en kötü kumandan,6,0.03567394018669362,14.887924371246793
planları çizdikten sonra saito ile toplantı ayarlayıp onu yola sokmalıyız,6,0.03567394018669362,14.923598311433487
on iki genelde,6,0.03567394018669362,14.959272251620181
reeves detaylara geçmeden,6,0.03567394018669362,14.994946191806875
bunu siz de biliyorsunuz ben de,6,0.03567394018669362,15.030620131993569
subaylar olmaz yönetim işleri dışında,6,0.03567394018669362,15.066294072180263
bu yüzden elimizdeki tüm personeli kullanmak zorundayım,6,0.03567394018669362,15.101968012366957
hiç şüphesiz,6,0.03567394018669362,15.13764195255365
binbaşı ve üstsubayları yönetimde çalıştırıp sadece astsubayları ağır işlerde çalıştıracağım,6,0.03567394018669362,15.173315892740344
anlaşma bunu açıkça belirtiyor,6,0.03567394018669362,15.208989832927038
köprü zamanında bitmezse bana ne olacağını biliyor musunuz,6,0.03567394018669362,15.244663773113732
bu sorununuzu çözmez,6,0.03567394018669362,15.280337713300426
tüm projeyi detaylı bir şekilde inceledim,6,0.03567394018669362,15.31601165348712
ne zaman,6,0.03567394018669362,15.387359533860508
lütfen oturun,6,0.03567394018669362,15.423033474047202
eminim uygun bir çözüme varabiliriz,6,0.03567394018669362,15.458707414233896
bakın mevcut kuvvetler kötü bir şekilde dağıtılmışlar,6,0.03567394018669362,15.49438135442059
clipton bundan bahsetti,6,0.03567394018669362,15.530055294607283
albay işimize yemek yerken devam edersek zaman kazanmış oluruz,6,0.03567394018669362,15.565729234793977
fakat koca tren yolu boyunca çalışan subaylar var,6,0.03567394018669362,15.601403174980671
diğer subaylardan ben sorumlu değilim,6,0.03567394018669362,15.637077115167365
şahsen şaşırdım,6,0.03567394018669362,15.708424995540753
bugünün tarihi nedir albay biliyor musunuz,6,0.03567394018669362,15.744098935727447
arttırdım,6,0.03567394018669362,15.77977287591414
durun,6,0.03567394018669362,15.815446816100835
miura,6,0.03567394018669362,15.851120756287528
muazzam bir girişim,6,0.03567394018669362,15.886794696474222
ama görmüyor musun,6,0.03567394018669362,15.922468636660916
şu köprünüzü ele alın,6,0.03567394018669362,15.95814257684761
meseleyi baştan düşündüm ve şuna karar verdim,6,0.03567394018669362,15.993816517034304
şunu söyleyecektim,6,0.03567394018669362,16.029490457220998
burada yemek mümkün olabilir mi,6,0.03567394018669362,16.065164397407692
hiçbir subay ağır işte çalışmayacak,6,0.03567394018669362,16.100838337594386
talimatlarım sadece diğer subaylar için,6,0.03567394018669362,16.13651227778108
tüm subaylar çalışmak zorunda derken elbette sizi bir kumandanı kastetmedim,6,0.03567394018669362,16.172186217967774
puro ister misiniz,6,0.03567394018669362,16.207860158154467
öfkelenmeyelim,6,0.03567394018669362,16.24353409834116
çalışan ekiplerin düzenini gözden geçirip düzeltmek istiyorum,6,0.03567394018669362,16.279208038527855
sizi uyarıyorum albay ben öleceksem başkaları benden daha önce ölecek,6,0.03567394018669362,16.31488197871455
sanırım yerinizde olsam kendimi öldürmek zorunda kalırdım,6,0.03567394018669362,16.350555918901243
işte,6,0.03567394018669362,16.386229859087937
ihtiyaçlarınızın elinizin altında olmadığı bu yerde zorluklarla karşılaşacağınızı biliyorum,6,0.03567394018669362,16.42190379927463
anlıyorum efendim,6,0.03567394018669362,16.457577739461325
bir ingiliz askerinin neler yapabileceğini göstereceğiz,6,0.03567394018669362,16.49325167964802
değil mi beyler,6,0.03567394018669362,16.528925619834713
reeves bir mühendis olarak yetkili kişi sensin,6,0.03567394018669362,16.564599560021406
nelere ihtiyacın olduğunu söyle temin edelim,6,0.03567394018669362,16.6002735002081
çamur,6,0.03567394018669362,16.671621380581488
çok mu yumuşak,6,0.03567394018669362,16.707295320768182
bu haliyle üzerinden geçecek ilk trenle yıkılacaktır,6,0.03567394018669362,16.77864320114157
maalesef öyle,6,0.03567394018669362,16.814317141328264
yanlış mı,6,0.03567394018669362,16.849991081514958
sırada korkarım hoşunuza gitmeyecek bir mevzu var,6,0.03567394018669362,16.88566502170165
başarabilecek miyiz,6,0.03567394018669362,16.921338961888345
işte mücadeleniz,6,0.03567394018669362,16.95701290207504
anlayamadım efendim,6,0.03567394018669362,16.992686842261733
köprüyü gerçekten inşa etmelerini mi istiyorsunuz,6,0.03567394018669362,17.028360782448427
yaptıkları işten gurur duymaları esastır,6,0.03567394018669362,17.06403472263512
benim yerimde olsanız ne yapardınız,6,0.03567394018669362,17.099708662821815
kendimi öldürmek zorunda kalacağım,6,0.03567394018669362,17.13538260300851
bilmiyor musun,6,0.03567394018669362,17.171056543195203
adamlardan biri bu sabah hastalandı efendim,6,0.03567394018669362,17.206730483381897
bu da ne kadar ilerleme kaydedildiğini,6,0.03567394018669362,17.24240442356859
köprü mü efendim,6,0.03567394018669362,17.278078363755284
çünkü adamlarımı tanıyorum,6,0.03567394018669362,17.31375230394198
genelde bu kadar yavaş anlamazdın,6,0.03567394018669362,17.349426244128672
fakat esaslı bir köprü olacak,6,0.03567394018669362,17.385100184315366
yani şanslıyız,6,0.03567394018669362,17.42077412450206
yapardık efendim,6,0.03567394018669362,17.456448064688754
hiç iş olmasaydı bile yaratırdık,6,0.03567394018669362,17.492122004875448
onları meşgul edecek birşeyler gerek,6,0.03567394018669362,17.52779594506214
adamlarımızı tanıyorum,6,0.03567394018669362,17.563469885248836
bu bir prensip meselesi,6,0.03567394018669362,17.59914382543553
londra sanat üniversitesinde okudum,6,0.03567394018669362,17.634817765622223
gerçekten,6,0.03567394018669362,17.670491705808917
hala hayatta olması bir mucize,6,0.03567394018669362,17.70616564599561
şunu soruyorum sizlere köprü yapımında neden ilerleme yok,6,0.03567394018669362,17.741839586182305
ama başka bir nedeni daha var,6,0.03567394018669362,17.777513526369
bu yüzden köprü işinde ilerleme kaydedilmiyor,6,0.03567394018669362,17.813187466555693
bu yüzden işinizi severek yapmıyorsunuz,6,0.03567394018669362,17.848861406742387
bu adil değil,6,0.03567394018669362,17.88453534692908
kendilerini yükünüzü paylaşmaya layık görmüyorlar,6,0.03567394018669362,17.920209287115775
nedenini biliyorsunuz subaylarınız tembel de ondan,6,0.03567394018669362,17.95588322730247
ben de,6,0.03567394018669362,17.991557167489162
acı bir olay olursa bu cinayet anlamına gelir,6,0.03567394018669362,18.027231107675856
yoksa güneşin etkisi mi,6,0.03567394018669362,18.06290504786255
yoksa ben mi çıldırıyorum,6,0.03567394018669362,18.098578988049244
ikisi de mi çılgın,6,0.03567394018669362,18.134252928235938
hasta mısınız,6,0.03567394018669362,18.169926868422632
ben değilim,6,0.03567394018669362,18.205600808609326
sorumlusu kendisidir,6,0.03567394018669362,18.24127474879602
gerçeği saklamıyorum,6,0.03567394018669362,18.276948688982714
prensip meselesi,6,0.03567394018669362,18.312622629169407
kendisi kötü bir mühendistir,6,0.03567394018669362,18.3482965693561
ve iyi şanslar,6,0.03567394018669362,18.383970509542795
işte bundan galip çıkmalıyız,6,0.03567394018669362,18.455318389916183
albay nicholson pes etmeyecek,6,0.03567394018669362,18.490992330102877
şöyle,6,0.03567394018669362,18.52666627028957
eeee,6,0.03567394018669362,18.562340210476265
sadece bir anlama geliyor albay pes etmeyecek,6,0.03567394018669362,18.59801415066296
bu ne anlama geliyorsa,6,0.03567394018669362,18.633688090849652
doktor bize bakıp kafasını salladı,6,0.03567394018669362,18.669362031036346
vakit,6,0.03567394018669362,18.70503597122304
bir tıp adamı ve subay olarak gördüğü muameleyi kınıyorum,6,0.03567394018669362,18.740709911409734
üç adam öldü peki ne uğruna,6,0.03567394018669362,18.776383851596428
kaçmayı planlamak delilik,6,0.03567394018669362,18.812057791783122
vuruldu ve boğuldu,6,0.03567394018669362,18.847731731969816
o amerikalı öldürüldü mü demiştin,6,0.03567394018669362,18.88340567215651
komik adam,6,0.03567394018669362,18.919079612343204
yenildiniz fakat utanç duymuyorsunuz,6,0.03567394018669362,18.954753552529898
şimdi alınması gereken bir önemli karar daha var ki ertelenemez,6,0.03567394018669362,18.99042749271659
bu iyiliğinizin karşılığını vermek istiyorum,6,0.03567394018669362,19.026101432903285
yeni gelen mahkumlar mezar kazdığımızı görürlerse kaçabilirler,6,0.03567394018669362,19.06177537308998
çaldığımı mı sanıyorsunuz,6,0.03567394018669362,19.097449313276673
az önce gömdüğümüz ingiliz çocuğun çakmağıydı,6,0.03567394018669362,19.133123253463367
ona yaptığım bir iyiliğe karşı bana bunu vermişti,6,0.03567394018669362,19.16879719365006
çok uzaklarda,6,0.03567394018669362,19.204471133836755
bir gün albay saito ona rüşvet verdiğini anlarsa ne olacak,6,0.03567394018669362,19.24014507402345
ölmeden önce ben de aynı şeyi size yapmak istiyorum,6,0.03567394018669362,19.275819014210143
tuhaf adamsın shears,6,0.03567394018669362,19.311492954396837
şakanın sırası değil,6,0.03567394018669362,19.34716689458353
işini bitir,6,0.03567394018669362,19.382840834770224
hasta listesine kondun,6,0.03567394018669362,19.41851477495692
ne demek istiyorsun,6,0.03567394018669362,19.454188715143612
ah tabii,6,0.03567394018669362,19.489862655330306
işini bitir kulübeye git,6,0.03567394018669362,19.525536595517
nasılsın,6,0.03567394018669362,19.561210535703694
bundan önce biz çoktan uzaklarda olacağız dostum,6,0.03567394018669362,19.596884475890388
o yüzden bu çakmağı almanızı istiyorum,6,0.03567394018669362,19.63255841607708
evet elbette,6,0.03567394018669362,19.668232356263776
bizi hastaneye yatırın,6,0.03567394018669362,19.739580236637163
o da,6,0.03567394018669362,19.775254176823857
kaz kaz,6,0.03567394018669362,19.81092811701055
yaman,6,0.03567394018669362,19.846602057197245
bizi hasta listesine koysanız diyorum,6,0.03567394018669362,19.88227599738394
insaflı olun yüzbaşı,6,0.03567394018669362,19.917949937570633
peki haydi bitirelim,6,0.03567394018669362,19.953623877757327
hasta değilsiniz,6,0.03567394018669362,19.98929781794402
iyi ya işte,6,0.03567394018669362,20.024971758130715
hiç olmadınız,6,0.03567394018669362,20.06064569831741
neden hep hasta numarası yapıyorsun shears,6,0.03567394018669362,20.096319638504102
başımın üzerine böyle birşey istemediğimden herhalde,6,0.03567394018669362,20.131993578690796
yüzbaşı kanematsu sigaraya ne dersiniz,6,0.03567394018669362,20.16766751887749
bu sabah verdim ya,6,0.03567394018669362,20.203341459064184
ikinize de,6,0.03567394018669362,20.239015399250878
teğmen miurayı kastediyorum,6,0.03567394018669362,20.274689339437572
oturmaz mısınız,6,0.03567394018669362,20.310363279624266
evet clipton anlıyorum,6,0.03567394018669362,20.34603721981096
hepsi bu kadar değil,6,0.03567394018669362,20.381711159997653
albayı bir kerelik görmenize izin vermeye karar verdim,6,0.03567394018669362,20.417385100184347
bir çoğu ölecek,6,0.03567394018669362,20.488732980557735
iyiler efendim iyiler,6,0.03567394018669362,20.52440692074443
jennings öldü,6,0.03567394018669362,20.560080860931123
çavuş jennings ise,6,0.03567394018669362,20.595754801117817
hala cezalılar,6,0.03567394018669362,20.63142874130451
pek iyi değiller,6,0.03567394018669362,20.667102681491205
ya subaylar,6,0.03567394018669362,20.7027766216779
zor bela toparladığımız azıcık et ve hindistan cevizi getirdim,6,0.03567394018669362,20.738450561864592
adamlarım nasıl,6,0.03567394018669362,20.774124502051286
bunun da sorumlusu kendisi olacak,6,0.03567394018669362,20.80979844223798
size bazı şeyler getirdim,6,0.03567394018669362,20.845472382424674
benim clipton efendim,6,0.03567394018669362,20.881146322611368
sakinleş,6,0.03567394018669362,20.916820262798062
albayınızın inatçılığı yüzünden programın çok gerisinde kaldık,6,0.03567394018669362,20.952494202984756
kayıtlı mahkumlar işi sabote ettiler,6,0.03567394018669362,20.98816814317145
geç bir akşam yemeği yiyorum,6,0.03567394018669362,21.023842083358144
hepsini vurdurabilirdim,6,0.03567394018669362,21.059516023544838
onu uyarmıştım değil mi clipton,6,0.03567394018669362,21.09518996373153
iki kişi daha onbaşı weaver ve amerikalı,6,0.03567394018669362,21.130863903918225
faaliyetlerinizle ilgili tam bir rapor verme düşüncesindeyim,6,0.03567394018669362,21.16653784410492
öldürüldü kaçmaya çalışırken,6,0.03567394018669362,21.202211784291613
albayınız çılgın oldukça çılgın,6,0.03567394018669362,21.237885724478307
bir kriket oyunu değil,6,0.03567394018669362,21.273559664665
bu bir savaş,6,0.03567394018669362,21.309233604851695
bana kurallardan bahsetmeyin,6,0.03567394018669362,21.34490754503839
dediği gibi bu kurallara aykırı,6,0.03567394018669362,21.380581485225083
buna nicholson karar verir,6,0.03567394018669362,21.416255425411777
sizin subaylarınız onlarla çalışacak,6,0.03567394018669362,21.45192936559847
tüm çalışmalar boşuna gitmiş,6,0.03567394018669362,21.487603305785164
adamlar kendi subayları olmadan verimli çalışamıyorlardır,6,0.03567394018669362,21.523277245971858
sabotaj olduğundan emin misiniz ki,6,0.03567394018669362,21.558951186158552
o zaman köprünüzü kim inşa ederdi,6,0.03567394018669362,21.594625126345246
doktor ihtiyarı görmeye gidiyor,6,0.03567394018669362,21.63029906653194
beş dakika süreniz var,6,0.03567394018669362,21.665973006718634
gidin ve konuşun onunla,6,0.03567394018669362,21.701646946905328
reynolds hindistancevizini çaldı,6,0.03567394018669362,21.73732088709202
ihtiyarı dışarı çıkarıyorlar,6,0.03567394018669362,21.772994827278715
herhalde yine dövecekler,6,0.03567394018669362,21.80866876746541
tabii ki,6,0.03567394018669362,21.844342707652103
şunu söylemeliyim albay saito,6,0.03567394018669362,21.880016647838797
o yüzden sanattan mühendisliğe geçtim,6,0.03567394018669362,21.91569058802549
ona göre ben orduya aitmişim,6,0.03567394018669362,21.951364528212185
babam istemiyordu,6,0.03567394018669362,21.98703846839888
iyi bir sanatçı değildim,6,0.03567394018669362,22.022712408585573
daha sonra belki ha,6,0.03567394018669362,22.058386348772267
tüm doğu asyada bu tarihi kutluyoruz,6,0.03567394018669362,22.09406028895896
iyi akşamlar albay,6,0.03567394018669362,22.129734229145654
sakeye tercih ederim,6,0.03567394018669362,22.16540816933235
iskoç malı,6,0.03567394018669362,22.201082109519042
hayır teşekkür ederim,6,0.03567394018669362,22.236756049705736
ingiliz bifteği,6,0.03567394018669362,22.27242998989243
hey harry bak,6,0.03567394018669362,22.308103930079124
emir vermekten aciz biridir,6,0.03567394018669362,22.343777870265818
bu yüzden onu görevinden aldım,6,0.03567394018669362,22.37945181045251
kızılay,6,0.03567394018669362,22.415125750639206
size arasıra yiyecek getirebileceğiz,6,0.03567394018669362,22.4507996908259
gardiyanlardan birine rüşvet verdik,6,0.03567394018669362,22.486473631012593
hoşçakalın efendim,6,0.03567394018669362,22.522147571199287
yarın tekrar başlıyoruz,6,0.03567394018669362,22.55782151138598
hey bize kendi kızılay çantalarımızı vermiş,6,0.03567394018669362,22.593495451572675
bize kendi,6,0.03567394018669362,22.62916939175937
tabur dağılabilirsiniz,6,0.03567394018669362,22.664843331946063
yarın tekrar başlayacağız,6,0.03567394018669362,22.700517272132757
bölük dağılabilirsiniz,6,0.03567394018669362,22.73619121231945
işimizi seve seve yapalım,6,0.03567394018669362,22.771865152506145
göstereceğiniz çabadan ötürü saygı simgesi olarak hepinize hediyeler vereceğim,6,0.03567394018669362,22.80753909269284
hiç durmadan çalışan bir kişi sersemler ve sıkıcı biri olur,6,0.03567394018669362,22.843213032879532
bugün dinleniyoruz,6,0.03567394018669362,22.878886973066226
