word_en_translate,image_id,obj_names,obj_object_id,obj_synsets,obj_merged_object_ids,obj_height,obj_width,obj_x_koor,obj_y_koor,relationships_id,synsets,sub_name,sub_object_id,sub_synsets,sub_height,sub_width,sub_x_koor,sub_y_koor,predicate
information,2377197,information,2470175,information.n.01,"2305945 , 2470172",25,128,40,86,4007414,along.r.01,information,2470175,information.n.01,22,129,40,86,on
information,2364095,,2429210,electric_refrigerator.n.01,,287,144,264,87,4165988,along.r.01,information,2429211,information.n.01,49,19,270,119,on
information,2364267,,642130,toilet_seat.n.01,,117,144,140,0,1683289,be.v.01,information,642129,information.n.01,86,70,202,0,on
information,2364713,,2059843,sign.n.02,,58,79,254,40,4391737,along.r.01,information,3888218,information.n.01,23,76,254,47,on
information,2367791,,3872273,bus.n.01,,210,323,60,59,4355621,state.v.01,information,2470782,information.n.01,57,77,284,93,tells about
information,2375230,,2287420,bottom.n.01,,34,165,5,170,4304559,along.r.01,information,2287421,information.n.01,23,130,22,177,on
information,2367928,toilet,2122493,toilet.n.01,"2052624 , 2125408 , 3190579 , 2125012 , 3871546",354,177,61,134,4353906,,information,1790582,information.n.01,45,56,97,94,for
information,2370341,,1921119,desk.n.01,,57,335,0,181,4326164,along.r.01,information,3859147,information.n.01,109,83,278,169,on
information,2394972,,458993,sign.n.02,,52,111,297,230,1026277,,information,458992,information.n.01,10,61,321,244,vintage
information,2369822,,608917,bus.n.01,,134,161,198,145,1555525,be.v.01,information,608924,information.n.01,11,52,220,158,on front of
information,2334359,sign,2847478,sign.n.02,2864520,85,320,1,104,4003512,along.r.01,information,3051855,information.n.01,57,272,0,110,on
information,2326553,,3982831,,,210,90,3,113,4552933,,information,3982830,,67,63,13,129,on
information,3598,,4345116,,,475,248,39,14,4700055,,information,4345115,,305,100,164,88,attached to
information,2414326,sculpture,296617,sculpture.n.01,296630,149,196,48,351,402606,along.r.01,information,296629,information.n.01,44,68,278,449,on
information,2315475,,4251054,,,54,152,1,277,4662336,,information,4251053,,30,160,1,301,on
information,2318853,,2819807,screen.n.01,,15,42,279,98,3792776,along.r.01,information,2819806,information.n.01,15,43,279,99,on
information,2410939,,3814315,,,207,296,36,26,461114,along.r.01,information,318592,information.n.01,82,216,70,116,on
information,2410039,,227472,door.n.01,,241,128,43,2,233887,along.r.01,information,227492,information.n.01,42,27,94,17,on
information,2409825,,2156904,sign.n.02,,152,45,138,178,4275987,along.r.01,information,2156903,information.n.01,125,35,143,181,on
information,2409330,,244110,,,49,56,276,193,258558,,information,244109,information.n.01,146,227,105,46,from
information,2326961,,2837053,label.n.01,,16,42,171,166,4005677,along.r.01,information,2837052,information.n.01,9,30,177,170,on
information,2407954,,1095267,sink.n.01,,113,165,248,127,3224961,in.r.01,information,1095278,information.n.01,45,60,260,135,in
information,2324756,,4253820,,,98,94,43,193,4663400,,information,4253819,,40,46,65,247,on
information,2405196,,334166,label.n.01,,127,121,216,275,534738,along.r.01,information,334180,information.n.01,46,119,218,303,on
information,2369314,,612361,laptop.n.01,,191,217,260,63,4337679,along.r.01,information,3864090,information.n.01,81,155,314,85,visible on
information,2402769,,3816334,label.n.01,,44,205,234,162,4284579,along.r.01,information,3816335,information.n.01,20,181,249,175,printed on
information,2396567,cookie package,4349355,,"4349425 , 4349396 , 4349363",247,179,217,13,4701929,,information,4349424,,51,73,252,186,on
information,2325955,,984145,windshield.n.01,,32,82,131,135,2941559,be.v.01,information,984144,information.n.01,13,90,127,121,on top of
information,2326375,,3985200,,,473,304,7,14,4553901,,information,3985199,,35,285,6,452,written on
information,2326184,,4136758,,,225,148,103,120,4616781,,information,4136757,,79,90,139,176,on a
i,254,,1538214,sign.n.02,,96,131,382,38,4246447,be.v.01,i,3787579,iodine.n.01,64,26,445,50,on
i,2357947,,1659612,sign.n.02,,332,449,16,15,3695393,along.r.01,i,1659609,iodine.n.01,81,17,168,201,on a
i,2402502,,389121,letter.n.01,,67,91,208,161,778708,in.r.01,i,389133,iodine.n.01,12,7,245,168,in
i,2402356,,390237,india.n.01,,30,125,185,192,784980,be.v.01,i,390259,iodine.n.01,30,10,185,191,first in
i,2402356,,390240,sign.n.02,,198,310,91,113,784996,along.r.01,i,390262,iodine.n.01,33,12,261,240,painted on
i,2402356,,390240,sign.n.02,,198,310,91,113,784995,along.r.01,i,390261,iodine.n.01,30,14,186,241,painted on
i,2402356,,390240,sign.n.02,,198,310,91,113,784994,along.r.01,i,390260,iodine.n.01,31,8,270,190,painted on
i,2402356,,390240,sign.n.02,,198,310,91,113,784993,along.r.01,i,390259,iodine.n.01,30,10,185,191,painted on
i,2401916,,1142717,,,312,499,0,61,3284574,along.r.01,i,1142722,iodine.n.01,41,18,395,112,on
i,2401637,,1145798,boat.n.01,,83,204,223,110,3288522,be.v.01,i,1145814,iodine.n.01,17,9,284,151,on side of
i,2357947,,1659611,sign.n.02,,169,290,164,8,3695392,along.r.01,i,1659613,iodine.n.01,79,10,302,232,on a
i,2401213,,1150223,building.n.01,,496,326,3,1,3295427,along.r.01,i,1150228,iodine.n.01,15,6,225,149,letter on side of
i,2401213,,1150223,building.n.01,,496,326,3,1,3295426,write.v.01,i,1150228,iodine.n.01,15,6,225,149,letter written on
i,2372880,,3730715,object.n.01,,121,227,149,193,4142380,along.r.01,i,2275243,iodine.n.01,16,35,286,224,on
i,2359838,,790929,bus.n.01,,313,495,2,4,2203822,along.r.01,i,790932,iodine.n.01,17,5,61,97,on
i,2395096,,4392376,,,16,15,269,125,4720119,,i,4392375,,37,18,266,128,with
i,2394036,,1214755,bus.n.01,,185,482,15,93,3404143,along.r.01,i,1214775,iodine.n.01,23,8,357,216,on
i,2316234,,2936153,,,223,256,130,82,4524278,,i,2936152,iodine.n.01,20,6,329,253,on
i,2362308,,775341,clock.n.01,,117,31,426,120,2122153,confront.v.02,i,775363,iodine.n.01,17,7,430,135,on face of
i,2362308,,775339,clock.n.01,,126,114,108,70,2122152,confront.v.02,i,775362,iodine.n.01,26,13,182,73,on face of
i,2389028,,1264684,clock.n.01,,489,313,60,10,3483717,above.r.01,i,1264681,iodine.n.01,47,54,98,0,above
i,2385344,,688575,circle.n.01,,30,26,348,166,1822019,inside.r.01,i,688576,iodine.n.01,16,11,356,173,inside
i,2384230,,527877,sign.n.02,,206,494,2,120,1286848,along.r.01,i,527887,iodine.n.01,153,49,66,147,on
i,2378286,,2147124,airplane.n.01,,112,408,83,79,3846984,along.r.01,i,3614925,iodine.n.01,27,12,265,92,on
i,2375252,,1840712,heart.n.01,,24,25,282,247,4043423,,i,1840711,iodine.n.01,15,10,297,278,with a
i,2364810,,1915636,train.n.01,,230,180,80,268,4390514,along.r.01,i,3887713,iodine.n.01,11,4,201,427,on
i,2368692,,616654,airplane.n.01,,111,349,130,125,1585485,along.r.01,i,616667,iodine.n.01,30,10,394,177,on side of
i,2397824,,1186039,ad.n.01,,64,90,166,1,3347302,along.r.01,i,1186041,iodine.n.01,13,11,164,58,on
i,2354714,,836221,letter.n.01,,17,40,321,191,2360739,in.r.01,i,836227,iodine.n.01,16,4,328,193,in
i,2403378,,4248418,,,371,493,5,1,4661304,,i,4248434,,20,16,145,236,on
i,2403826,,1121089,shirt.n.01,,140,131,234,143,3255961,along.r.01,i,1121090,iodine.n.01,23,15,303,179,on
i,2413796,,166027,shirt.n.01,,288,267,63,210,159708,along.r.01,i,166035,iodine.n.01,39,12,227,300,on
i,2411441,,1079874,sign.n.02,,104,95,173,145,3206840,along.r.01,i,1079883,iodine.n.01,25,15,196,80,on
i,2408679,sign,1090740,sign.n.02,1090755,65,192,0,88,3219464,be.v.01,i,1090760,iodine.n.01,34,15,58,107,displayed on
i,2407996,,365983,truck.n.01,,192,440,31,97,672836,along.r.01,i,365985,iodine.n.01,45,16,323,147,on
i,2405241,,1109602,frisbee.n.01,,65,35,383,136,3243287,along.r.01,i,1109616,iodine.n.01,10,13,383,163,on
i,2404948,locomotive,655456,locomotive.n.01,655435,280,499,0,14,1714584,along.r.01,i,655447,iodine.n.01,17,8,150,147,on
i,2404234,,345100,cup.n.01,,156,154,65,0,573291,along.r.01,i,345105,iodine.n.01,18,8,173,98,on
i,2316446,,3116137,sign.n.02,,120,129,103,131,4521123,,i,3107994,iodine.n.01,18,17,183,196,on
i,2320535,,4231954,,,240,257,213,73,4752713,,i,4472843,,25,20,328,153,on
i,2322477,,3960829,clock.n.01,,130,209,2,206,3873036,along.r.01,i,2963443,,19,29,131,215,on
i,2323252,,4153860,,,158,387,45,32,4623544,,i,4153874,,10,8,125,133,on
i,2324776,,4026186,,,63,200,237,189,4570886,,i,4026181,,21,14,333,196,on
i,2368692,,616654,airplane.n.01,,111,349,130,125,1585468,be.v.01,i,616667,iodine.n.01,30,10,394,177,on
i,2327930,bike,3414714,bicycle.n.01,"3060734 , 3936827",299,389,12,58,3625150,along.r.01,i,2764266,iodine.n.01,20,7,252,292,on
i,2344961,address sign,2052048,,"2033036 , 3145956 , 2251055",138,198,166,109,3878350,along.r.01,i,3628270,iodine.n.01,18,11,292,181,on
i,2337346,,2122539,book.n.01,,107,97,240,160,4079731,along.r.01,i,3160584,iodine.n.01,11,6,267,248,on
i,2324776,,4026186,,,63,200,237,189,4570883,,i,4026174,,29,14,290,198,on
i,2407127,,3811052,,,43,38,171,150,4279425,be.v.01,man i,285038,man.n.01,42,34,173,151,wearing a
i,2330474,,3264829,keyboard.n.01,,179,457,18,100,3745150,along.r.01,i key,3404449,,20,20,272,150,on
short,2417993,,3786795,man.n.01,,229,134,130,76,4245018,along.r.01,short,3304492,short.n.01,93,93,134,249,on
short,2382693,,3831076,,,24,15,25,475,4293884,have.v.01,short,3831075,,47,112,26,451,has
short,2390235,tut,4467026,,4467053,130,227,85,27,4750476,,short,4467052,,153,244,82,44,pink tulle
short,2390675,,1248198,hair.n.01,,97,130,116,64,3457428,brown.v.01,short,1248197,short.n.01,58,112,140,81,brown
short,2390780,,1247217,pole.n.01,,37,28,13,74,3456042,whiten.v.01,short,1247216,short.n.01,24,20,13,75,white
short,2391029,fence,1244679,fence.n.01,1244697,47,500,0,87,3452795,,short,1244696,short.n.01,20,33,217,98,silver
short,2392246,,1232297,shirt.n.01,,44,133,314,420,3436219,,short,1232296,short.n.01,37,32,308,431,sleeve
short,2392563,,1228522,grass.n.01,,30,47,118,290,3430027,,short,1228546,short.n.01,19,19,161,281,green
short,2325769,,3997103,,,67,80,54,199,4558890,,short,3997102,,62,53,47,171,green and brown
short,2392940,,1224494,grass.n.01,,69,33,11,143,3421999,,short,1224493,short.n.01,14,22,19,192,green
short,2394867,,4399533,,,99,194,290,234,4723153,,short,4399534,,80,38,451,230,wall next to train
short,2362348,,3890542,part.n.01,,15,13,161,218,4394996,have.v.01,short,2051407,short.n.01,90,113,108,163,has
short,2395709,,4375061,,,301,449,29,157,4712834,,short,4375060,,86,72,125,254,hair on
short,2325769,,3997104,,,24,14,72,143,4558891,,short,3997105,,57,61,43,185,green and brown
short,2396433,,444374,man.n.01,,152,88,115,180,986232,along.r.01,short,444386,short.n.01,123,82,117,201,on
short,2325769,,3997107,,,55,27,60,182,4558892,,short,3997106,,63,46,66,144,green and brown
short,2325769,,3997100,,,90,117,37,159,4558889,,short,3997101,,120,78,55,179,green and brown
short,2325769,,3997108,,,60,69,56,184,4558893,,short,3997109,,62,84,92,189,green and brown
short,2328413,,4118029,,,224,41,83,219,4609373,,short,4118028,,137,43,80,239,white surf
short,2335219,,4633685,,,49,10,427,180,4814647,,short,4633683,,100,81,358,166,has
short,2353793,nose,843027,nose.n.01,843036,13,12,417,163,2391932,brown.v.01,short,843035,short.n.01,25,32,407,157,brown
short,2363700,,3744340,skateboarder.n.01,,348,221,0,1,4171906,along.r.01,short,762883,short.n.01,58,57,98,3,on
short,2352851,,2522014,topographic_point.n.01,,15,17,207,187,3769129,have.v.01,short,2522013,short.n.01,73,63,167,158,has
short,2364492,,3888843,part.n.01,,14,23,92,193,4392966,see.v.01,short,1836247,short.n.01,47,100,47,186,seen
short,2352113,,1697738,man.n.01,,326,132,110,120,3778130,,short,1697739,short.n.01,74,64,126,271,of
short,2368886,,3866495,part.n.01,,15,12,182,276,4342717,have.v.01,short,2387738,short.n.01,67,39,168,260,has
short,2349759,,872487,jersey.n.03,,53,65,189,98,2514520,,short,872488,short.n.01,36,75,140,99,sleeve
short,2349418,,1877204,trouser.n.01,,43,34,73,191,3812666,over.r.01,short,1877203,short.n.01,35,35,74,160,over her
short,2347968,,885903,girl.n.01,,355,149,43,71,2575263,,short,885916,short.n.01,64,68,62,210,of
short,2346529,,3616669,lady.n.01,,185,156,164,146,3850574,,short,2347587,short.n.01,58,87,195,235,of
short,2369774,people,2448772,people.n.01,"2222113 , 1731287",125,53,244,155,4332085,along.r.01,short,2222112,short.n.01,47,20,253,174,on
short,2370954,boy,2650367,male_child.n.01,"2190790 , 1667452",296,378,0,0,4318934,along.r.01,short,2577356,short.n.01,187,117,0,1,on
short,2373757,,3724782,jean.n.01,,107,105,228,10,4126502,stay.v.02,short,1814797,,57,73,237,28,sticking out
short,2374999,boy,1721801,male_child.n.01,"1834440 , 2292530 , 3695831",297,135,343,25,4047861,along.r.01,short,2292529,short.n.01,35,79,365,177,on
short,2335219,,4633684,,,86,10,368,167,4814646,,short,4633683,,100,81,358,166,has
short,2379104,,713157,shirt.n.01,,27,21,385,142,1903190,,short,713182,short.n.01,12,8,405,145,sleeved green
short,2325769,,3997111,,,48,39,134,223,4558894,,short,3997110,,14,67,83,194,green and brown
short,2394867,,4399533,,,99,194,290,234,4723152,,short,4399534,,80,38,451,230,wall next to train
short,2397832,,1185970,wall.n.01,,23,70,11,174,3347218,rock.v.01,short,1185969,short.n.01,15,16,192,117,rock
short,2413282,,298233,refrigerator.n.01,,154,94,205,152,407485,,short,298263,short.n.01,107,78,216,165,red
short,2410287,,221331,eight.n.01,,37,37,96,286,222252,have.v.01,short,221329,short.n.01,66,109,94,283,has number
short,2410373,,219197,tube.n.01,,115,160,0,146,219454,,short,219193,short.n.01,90,103,65,76,orange
short,2325769,,3997112,,,50,54,84,161,4558895,,short,3997113,,41,70,65,195,green and brown
short,2411363,,359594,,,5,12,131,128,635750,shirt.v.01,short,359593,short.n.01,5,10,135,130,sleeved shirt
short,2411671,cut grass,358321,,"358275 , 358318 , 358311",36,68,182,112,629110,brown.v.01,short,358274,short.n.01,32,67,205,116,brown and green
short,2408957,,251816,hair.n.01,,82,98,260,43,274673,,short,251815,short.n.01,64,50,316,63,gray
short,2412765,,1617952,man.n.01,,27,16,443,257,4270921,along.r.01,short,1617953,short.n.01,15,15,444,269,on
short,1592904,,4455462,,,29,53,493,338,4745825,,short,4455463,,132,96,488,313,cut gray
short,1160135,,1602210,child.n.01,,263,128,104,751,4075837,along.r.01,short,1602209,short.n.01,43,77,155,971,on
short,1159937,,1077458,post.n.01,,109,90,867,156,3204637,,short,1077457,short.n.01,61,113,848,212,wooden
ok,2386591,,1284604,remote_control.n.01,,309,365,72,39,3516270,along.r.01,ok,1284610,oklahoma.n.01,13,13,234,171,on
ok,2369051,,614371,control.n.01,,95,233,141,401,1577365,along.r.01,ok button,614380,button.n.01,22,21,341,435,on
ok,2354558,,2628660,remote_control.n.01,,277,122,377,60,3748818,along.r.01,ok button,2628659,button.n.01,50,77,391,85,on
ok,2348463,,1765191,telephone.n.01,,235,225,156,0,3826170,along.r.01,ok button,2370153,button.n.01,13,30,238,90,on
ok,2340822,,945751,remote_control.n.01,,394,197,110,104,2797338,along.r.01,ok button,945758,button.n.01,38,41,158,359,on
over,2411885,,3805482,pizza.n.01,,358,489,8,6,205162,cook.v.02,over,207754,over.n.01,48,273,85,3,cooked
over,2319587,,3316826,window.n.01,,194,219,57,75,4494042,,over,3945141,,36,182,94,157,hang outside
over,2378189,,1929776,strap.n.01,,63,43,76,274,4298186,shoulder.v.02,over,3836896,over.n.01,77,30,21,257,shoulder
over,2348994,,3601841,,,22,27,69,271,3818246,along.r.01,over hang,3601840,,6,9,72,274,on
over,2353021,rail,2681968,railing.n.01,1811037,81,484,7,257,3767153,,over pass,1811036,dad.n.01,97,492,7,248,with
over,2357745,,809152,gas_pump.n.01,,57,19,250,172,2272401,be.v.01,over hang,809164,,35,322,177,118,above
over,2357745,,809151,gas_pump.n.01,,31,13,424,178,2272400,be.v.01,over hang,809164,,35,322,177,118,above
over,2357745,,809144,gas_pump.n.01,,31,22,446,173,2272399,be.v.01,over hang,809164,,35,322,177,118,above
over,2368836,,2672922,train.n.01,,135,177,133,164,4343358,above.r.01,over pass,1800835,dad.n.01,177,432,0,86,above
over,2370754,,2424725,platform.n.01,,169,231,242,138,4321196,along.r.01,over hang,3856897,,90,175,205,1,on
over,2373635,ground,588305,land.n.04,588301,211,499,0,164,1471935,over.r.01,over pass,588322,dad.n.01,27,63,281,142,over
over,2373635,ground,588305,land.n.04,588301,211,499,0,164,1471922,cross.v.05,over pass,588322,dad.n.01,27,63,281,142,spanning
over,2373635,ground,588305,land.n.04,588301,211,499,0,164,1471908,over.r.01,over pass,588322,dad.n.01,27,63,281,142,over
over,2378431,train,1866515,train.n.01,"3669739 , 2143804",128,478,11,110,3982957,above.r.01,over pass,1858137,dad.n.01,96,495,3,35,above
over,2395673,,452079,window.n.01,,103,99,180,88,1006268,along.r.01,over hang,452125,,26,95,178,88,on
over,704,,1029261,doorway.n.01,,55,53,129,377,3074978,along.r.01,over hang,1029260,,27,93,114,372,on
over,2388030,,4523120,,,251,20,464,99,4770765,,over hang,4523119,,204,158,318,3,on side of
over,704,,1029271,porch.n.01,,64,113,107,379,3074985,along.r.01,over hang,1029260,,27,93,114,372,on
over,2407259,,282845,entrance.n.01,,48,42,357,76,344789,,over hang,282844,,19,125,326,55,to
over,2396829,,664361,train.n.01,,182,398,42,83,1742009,leave.v.01,over hang,664404,,90,85,2,80,to left of
over,2365486,,633893,,,11,81,55,204,1650574,along.r.01,steel over,633880,steel.n.01,53,84,41,159,on top of
over,2322527,,3652929,train.n.01,,91,149,217,202,3939279,travel.v.01,bridge over,3484875,bridge.n.01,84,287,102,117,moving
over,2406600,,652120,knob.n.02,,27,36,287,171,1704629,have.v.01,toaster over,652110,toaster.n.01,121,272,55,87,has
over,2406600,,652111,microwave.n.02,,195,313,40,226,1704627,along.r.01,toaster over,652110,toaster.n.01,121,272,55,87,on top of
over,2406600,,652111,microwave.n.02,,195,313,40,226,1704626,along.r.01,toaster over,652110,toaster.n.01,121,272,55,87,on
over,2406600,,652123,vent.n.01,,56,36,38,140,1704633,have.v.01,toaster over,652110,toaster.n.01,121,272,55,87,has
over,2406600,,652116,handle.n.01,,18,47,174,96,1704625,have.v.01,toaster over,652110,toaster.n.01,121,272,55,87,has
over,2406600,,652120,knob.n.02,,27,36,287,171,1704624,have.v.01,toaster over,652110,toaster.n.01,121,272,55,87,has
over,2406600,,652111,microwave.n.02,,195,313,40,226,1704618,along.r.01,toaster over,652110,toaster.n.01,121,272,55,87,on
over,2406600,,652124,control_panel.n.01,,104,60,313,255,1704637,have.v.01,toaster over,652110,toaster.n.01,121,272,55,87,has
over,2409967,,229215,,,31,172,326,219,236311,along.r.01,toaster over,229214,toaster.n.01,46,82,323,184,on
over,2406600,,652111,microwave.n.02,,195,313,40,226,1704630,along.r.01,toaster over,652110,toaster.n.01,121,272,55,87,on
over,2402773,,1131789,ski_pole.n.01,,40,6,183,305,3269473,be.v.01,bent over skier,1131782,"bent.n.01 , skier.n.01",38,39,155,302,balancing with
over,2413955,,162773,"road.n.01 , water.n.01",,49,36,99,165,156601,over.r.01,road over water,162772,"road.n.01 , water.n.01",67,57,85,156,water over road
half,2417067,,3496963,sandwich.n.01,,131,133,299,85,4146315,reduce.v.01,half,3732342,one-half.n.01,124,72,284,70,cut
half,2346322,,900562,sandwich.n.01,,44,26,211,113,2629951,,half,900575,one-half.n.01,13,11,31,49,of
half,2346322,,900562,sandwich.n.01,,44,26,211,113,2629952,,half,900575,one-half.n.01,13,11,31,49,of
half,2396641,,441976,pizza.n.01,,222,455,35,13,979601,,half,441999,one-half.n.01,224,249,241,13,of
half,2396641,,441976,pizza.n.01,,222,455,35,13,979600,,half,441999,one-half.n.01,224,249,241,13,a
half,2346322,,900562,sandwich.n.01,,44,26,211,113,2629953,,half,900575,one-half.n.01,13,11,31,49,of
half,2346322,,900562,sandwich.n.01,,44,26,211,113,2629954,,half,900575,one-half.n.01,13,11,31,49,of
half,2346322,,900562,sandwich.n.01,,44,26,211,113,2629955,,half,900575,one-half.n.01,13,11,31,49,of
half,2346322,,900562,sandwich.n.01,,44,26,211,113,2629956,,half,900575,one-half.n.01,13,11,31,49,of
half,2346322,,900562,sandwich.n.01,,44,26,211,113,2629957,,half,900575,one-half.n.01,13,11,31,49,of
half,2397774,,430858,kite.n.03,,24,213,164,351,946242,,half,430857,one-half.n.01,24,217,157,350,of
half,2346322,,900562,sandwich.n.01,,44,26,211,113,2629958,,half,900575,one-half.n.01,13,11,31,49,of
half,2346322,,900562,sandwich.n.01,,44,26,211,113,2629959,,half,900575,one-half.n.01,13,11,31,49,of
half,2329137,,974940,sandwich.n.01,,200,225,93,2,2911123,,half,974941,one-half.n.01,189,161,284,112,of
half,2325278,,4010057,,,119,152,134,179,4564352,,half,4010058,,157,107,166,195,of a sub
half,2322204,a,4176396,,"4176399 , 4176394",107,211,75,348,4632597,,half,4176395,,20,200,83,351,a loaf of bread that makes up
half,2401225,,4276518,,,221,145,28,101,4672569,,half,4276598,,228,157,28,95,of
half,2401225,,4276518,,,221,145,28,101,4672564,,half,4276598,,228,157,28,95,of
half,2401818,board,395641,board.n.02,395649,53,126,33,117,807765,,half,395653,one-half.n.01,40,56,114,116,of
half,2401874,,1143135,pizza.n.01,,227,499,0,234,3284962,,half,1143148,one-half.n.01,225,499,0,232,of
half,2321769,,4188326,,,107,101,398,186,4637547,,half,4188325,,99,106,392,185,of an
half,2402684,,387542,sandwich.n.01,,234,175,66,54,770920,,half,387553,one-half.n.01,208,183,65,76,of
half,2402684,,387542,sandwich.n.01,,234,175,66,54,770902,,half,387553,one-half.n.01,208,183,65,76,of
half,2402684,,387555,sandwich.n.01,,236,165,302,53,770903,,half,387554,one-half.n.01,167,156,293,62,of
half,2403168,,355973,,,104,371,0,176,617501,,half,355983,one-half.n.01,103,49,0,178,of
