word_en_translate,image_id,questions,que_and_anw_id,answers
owner,2358622,where is the owner,1604709,in vehicle
owner,2365018,where is owner written,1733393,on red and white sign
owner,2390552,where is the dog s owner,1358323,no in the picture
owner,2406001,where is the dog s owner,1173452,steering the motorcycle
owner,2398614,where is the dog s owner,1401686,in the store
owner,2398910,where is the cat s owner,668321,in the restroom
owner,2401611,where is the dog s owner,1247595,next to it
owner,2360774,where is the dog s owner,506963,driving the motorcycle
owner,2354796,where is the pet s owner,447250,taking a picture
owner,2386459,what is on the owner s arm,358461,a watch
owner,2410621,where is the horse s owner,171421,behind the bushes
owner,2369825,who is the owner of the jet,1831025,lufthansa regional
owner,2401103,how is the dog s owner named,1236700,barbara
owner,2361899,what is the motorcycle owner,1670623,police
owner,2329085,where is the owner of the car,852153,in the park
owner,2399830,who is the owner of the horse,667582,the man whose riding
owner,2395419,who is the owner of the plane,1384548,ryanair
owner,2400134,what area code is the owner in,467079,
owner,2374815,what is the shop owner selling,495723,food
owner,2329241,what bird does this owner like,340233,owl
owner,2358933,who is the owner of this zebra,572402,the owner of this house
owner,2392135,who is the owner of the luggage,1557885,travelers
owner,2392202,who is pulling owner into water,1558257,dog
owner,2397462,what is the desk owner working on,1394838,blogging
owner,2352924,when is the owner coming for them,833087,soon
owner,2402537,what is the cubicle owner s gender,1264326,male
owner,2388327,where is the owner of the computer,1475569,hidden
owner,2407709,who is the owner of the restaurant,1044125,jimmy
owner,2405886,what owner does the train belong to,1171116,canadian pacific
owner,2401103,when will the owner pick the dog up,1236708,after the picture is taken
owner,2392586,why did the owner leave the dog here,1560306,not aloud in building
owner,2396201,where was the owner of the skateboard,285903,not pictured
owner,2390873,how was the cat s owner trying to work,1426688,using the computer
owner,2389521,what color are the donut owner s pants,290765,blue
owner,2410092,where might the owner of the bicycle be,1096386,in building
owner,2369867,what beverage does the home owner enjoy,1831799,canada dry
owner,2412077,when does the owner wear the headphones,159770,to listen to music
owner,2319659,what color is the red board owner s hat,899080,beige
owner,2370126,what identifies the owner of the luggage,1836662,the luggage tags
owner,2399597,how can you tell the sheep have an owner,1530916,tags on their ears
owner,2391272,why doesn t the owner come for the clock,546566,they don t have the time
owner,2400154,where will owner of desk put orange peels,1215506,garbage can
owner,2400362,what kind of top is the dog owner wearing,219360,a sweater
owner,2374815,what fruit is hanging above the shop owner,495721,bananas
owner,2376838,why did the owner throw these items around,1974558,messy person
owner,2405098,how does the owner keep control of the dogs,1153301,the leashes
would be,2362944,what would be very cold,1691617,the snowy ground
would be,2399624,who would be buried here,795723,church members
would be,2412920,who would be in this bed,1136257,a traveler
would be,2379134,who would be on the plane,492276,travelers
would be,2391879,who would be eating these,1492280,customers
would be,2374956,who would be in this room,1936963,a traveler
would be,2364632,who would be in truck cab,1725766,driver
would be,2320983,who would be at this meeting,888485,computer techs
would be,2372216,who would be flying the plane,433717,pilot
would be,2411342,who would be driving the cars,165652,people
would be,2410619,who would be using this luggage,1106240,a man
would be,2388879,what would be behind the surfer,1348950,wave
would be,2362282,who would be receiving the ball,1678048,opponent
would be,2405347,what sport would be played here,1158311,tennis
would be,2400587,who would be allowed to sit here,1225324,members of the public
would be,2390260,who would be flying this machine,290193,a pilot
would be,2408675,who would be likely to play here,1065218,children
would be,2399208,who would be seeing zebra close up,1467585,driver and passengers
would be,2401274,what would be the color of the bowl,1240497,white
would be,2374018,who would be happy seeing this photo,1918019,a cheese candy and fruit lover
would be,2400509,what would be the color of the fence,1223381,brown
would be,2407066,who would be the leader in this room,199857,the teacher
would be,2401445,who would be fond of these surfboards,1244298,surfer
would be,2392892,what would be the color of the chairs,1370802,white
would be,2375502,who would be able to cross the bridge,239252,pedestrians
would be,2336724,who would be operating these airplanes,846044,pilots
would be,2363834,who would be playing with a teddy bear,1709537,child
would be,2376830,who would be interested in the picture,685985,a pizza maker
would be,2408232,who would be interested in these items,190531,people who need remotes
would be,2370963,what would be one forecast for this day,1853523,cloudy
would be,2397972,what would be the main color of the sky,1397639,blue
would be,2397972,what would be the main color of the sky,1397645,blue and white
would be,2395400,what would be the main color of the sky,1448221,blue
would be,2395400,what would be the main color of the sky,1448228,blue
would be,2393305,what would be the main color of the dog,1438399,brown and white
would be,2393104,what would be considered sweet on plate,1498954,potato
would be,2392166,what would be the main color of the sky,1433028,blue
would be,2388542,what would be the main color of the sky,1414152,blue
would be,2399249,what would be the main color of the sky,1404754,blue and white
would be,2390299,what would be the main color of the top,1484432,brown
would be,2390299,what would be the main color of the top,1484440,brown
would be,2387467,what would be the main color of the sky,1408619,white
would be,2387579,what would be the main color of the sky,1409254,blue
would be,2387784,what would be the main color of the rug,1410436,brown
would be,2388142,what would be the main color of the sky,1412239,blue
would be,2388263,what would be the main color of the dog,1412793,black and brown
would be,2392165,what would be the main color of the box,1433019,tan
would be,2392165,what would be the main color of the box,1433024,tan
would be,2371826,when would be a good time to fly a kite,753968,when it s windy
would be,2401941,what would be the main color of the sky,1408044,blue
information,2395312,where is information,1383893,side of boat
information,2362898,why an information sign,377312,traffic alerts
information,2363179,how many information stands,377085,two
information,107993,where is the information tag,997549,on the motorcycle
information,2361348,where is the information sign,1660153,beside the bench
information,2362023,how do signs give information,250029,number listings
information,2364606,where is the logo information,759741,top right corner
information,2370199,where is information displayed,1837947,on the monitor
information,2397023,how would information be found,222029,website
information,2400605,where is the information booth,1225715,on the sidewalk
information,2342993,where is the way to information,585106,up and left
information,2413334,where is the exhibit information,1146026,on a log beside the girl
information,2387976,where is the information placard,1474042,in front of the kitchen mock up
information,2340687,where is the information station,778871,in the background behind the woman
information,2408713,where is the website information,1066162,bottom right
information,2407122,what color is the information tag,199411,white
information,2397780,how is information being received,284785,on computer
information,2370385,what has information about zebras,1841581,the zoo signage
information,2391040,where is there flight information,1427513,on tv
information,2402850,where are the information placards,958111,to the right of each bike
information,2409660,where is the copyright information,1086534,bottom right
information,2391126,what information is the clock giving,1552592,the time
information,2405374,what information does the sign offer,1158948,traffic and route information
information,2377279,where is sign for tourist information,1982458,top sign on left of pole
information,2368012,what information is the street giving,1793313,the name of the street
information,2370364,what item is used to view information,1841153,a computer monitor
information,2409724,where is information on upcoming exits,1088183,on the green signs
information,2412516,where is the photographer s information,1126464,bottom left
information,2412469,where is the photographer s information,1125508,top right
information,2371725,what information so the brown signs show,1869694,street name
information,2375302,what item is used to display information,1943263,a monitor
information,2369243,where is the television with information,1819195,on the wall
information,2411608,what information does the blackboard show,1333190,snow conditions
information,2335950,what is the number to call for information,718669,
information,2358129,what numbered information is on the bumper,1594595,license plate
information,2368806,what information do the blackboards display,1810299,products and prices
information,2364080,where is the artist information card located,1714708,to the right of bottom suitcase
information,2377050,where is the traveling information of the bus,1978505,sign over windshield
information,2390841,what information is written on the green sign,1359945,street address
information,2389788,what information is on the top right of the sign,1420477,hours of operation
information,2397162,what information is on the sign on the lamp post,1456260,parking times
information,17,how is the information entered into the computer,988831,by the typing on the keyboard
information,2362925,where is the sign with information of the lemons,1691258,in the midst of the lemons
information,2371292,what object behind the skiers provides information,1860565,bulletin board
information,2324340,what information does the sign on top of train give,861627,destination
information,2401488,what illuminated part of the laptop displays information,1245081,screen
information,2381324,how would information be input using this computer system,810363,keyboard
information,2380499,what color are the words on the information indicator board,363229,red
information,2409330,where is the information on the projector screen coming from,1079856,laptop computer
information,2370199,what black item is used to input information into the computer,1837950,the keyboard
lets,2403641,what lets in light,1287135,the window
lets,2369285,what lets in light,819989,the window
lets,2372352,what lets in light,1882879,the window
lets,2369753,what lets in sunlight,1829659,the window
lets,2372351,what lets in sunshine,1882850,the skylights
lets,2370855,what item lets air out,1851287,a vent
lets,2366024,what lets the woman see,822607,glasses
lets,2369618,what item lets in light,1826992,a window
lets,2370757,what item lets in light,1849073,a window
lets,2374447,what item lets light in,1926263,a window
lets,2372024,what item lets light in,1875882,the window
lets,2370855,what item lets light in,1851292,a window
lets,2371304,what item lets light in,1860885,a window
lets,2413743,what lets in the daylight,1013088,the window
lets,2393003,what lets the sunlight in,1562626,sheer curtains
lets,2364454,what lets in natural light,1722305,the window
lets,2392020,what lets light in the bedroom,1432252,black and white window
lets,2370075,what object lets people in or out,1835724,door
lets,2383515,what lets you know how cold it is,488761,snow
lets,2369618,what item lets carbon monoxide out,1826993,a vent
lets,2371434,what lets you snow the fall is in action,1863542,the snow dust
lets,2390032,what lets you know this is not not summer,1546479,girls attire
lets,2370973,what is on the roof of the house that lets light in,1853696,a skylight
lets,2370029,what sign lets drivers know where a vehicle can turn,1834850,a blue and white sign
lets,2375319,what lets you know the photo was taken inside of a car,1943583,the dashboard
lets,2363880,what lets us know this is a police car even without the logo on the door,1710453,the bar of lights on the hood
gets,2359108,who gets the toys,1615259,winners
gets,2369697,who gets on the bus,435690,people
gets,2411592,who gets on the train,163653,passengers
gets,2371892,what gets drunk out of,1873161,the cup
gets,2398387,who gets on these planes,732709,passengers
gets,2364255,what gets hot on the stove,1718260,the burners
gets,2376616,what gets tangles out of hair,1970331,the hair brush
gets,2324333,what work gets done in this setting,861684,aircraft maintenance
gets,2391962,what gets closer together on the legs,1492697,stripes
gets,2334827,where is the dome where the pilot gets in,783560,on top of the plane
gets,2327352,what happens when this group gets together,597610,a whole lot of nothing
gets,2411798,why do we know the vacuum cleaner gets used,162006,the room is very clean
gets,2410550,where will the man be when the man gets to shore,1105156,in sand
gets,2388208,what would a person turn on when the room gets dark,1345686,the lamp
gets,2368273,who is the person who gets paid to protect these people,1799065,the bike policeman
i,2411341,where i the cat,1327439,on tv
i,2371873,who i in the pic,562043,no one
i,2373205,where i sthe wave,1901166,ocean
i,2372920,where i sthe bear,1895425,in the zoo
i,2361026,how i s the plane,1653972,large
i,2414978,what i in distant,1034836,city skyline
i,2373742,what is i nthe sky,1912257,balloons
i,2340269,what i on the wall,651222,tiles
i,2403127,what is i the photo,728915,tower clock
i,2318367,what i being played,909411,tennis
i,2414874,what had black on i,1032636,the handlebars
i,2408107,where is the sofa i,191535,n the living area
i,2376547,what is i the water,750183,boat
i,2394216,what i in the middle,1442099,a tube for pee
i,2401174,what says i love you,1238370,the heart
i,2365359,what i the cat color,1740265,black
i,2415548,who is i the picture,935530,pedestrians
i,2374444,where is the i phone,815870,between the keyboard and monitor
i,2338043,what color i the sky,269068,blue
i,2415213,where i she swimming,134643,a lake
i,2376421,what i the cat doing,1966381,laying down
i,2412938,what color i the bat,1136688,red
i,2373289,what is i nthe chair,1902823,bear
i,2396011,where is the letter i,1513904,on the shirt
i,2393989,where is the letter i,1376060,on the truck
i,2360391,what i the man s head,1640807,the back
i,2394569,where is the letter i,1506325,on the sign
i,2393928,where is the letter i,1440797,on the sign
i,2394569,where is the letter i,1443823,on the sign
i,2399634,where is the letter i,1406853,on the bus
i,2399349,where is the letter i,1529605,on the box
i,2399236,where is the letter i,1467724,on the tv
i,2377498,what i the white food,1985933,cauliflour
i,2394806,where is the letter i,1380909,on the plane
i,2398748,where is the number i,1465336,on the sign
i,2398699,where is the letter i,1465096,on the building
i,2398693,where is the letter i,1526689,on the plane
i,2393439,where is the letter i,1564636,on the shirt
i,2364811,how i sthe cozy sheet,1729140,white
i,2398210,where is the letter i,1590396,on the plate
i,2397047,where is the number i,1455687,on the clock
i,2395957,where is the letter i,1450624,on the shirt
i,2396934,where is the letter i,1455122,on the wall
i,2359889,where is the letter i,1630320,on the sign
i,2398545,where is the letter i,1525982,on the sign
i,2395403,where is the letter i,1575700,on the sign
i,2401970,where is the letter i,1471269,on the sign
i,2372715,what i white in color,1890838,a long fence
i,2366586,where i the ice drink,1764666,on the table
i,2413626,what color i the wall,147378,white
short,2409386,what is short,1080983,the fence
short,2410621,why is the short,1106256,maintained
short,2365421,what is cut short,1741541,nails
short,2359200,what is cut short,1617090,green grass
short,2367234,what is cut short,1776899,the grass
short,2366364,what is cut short,1760117,grass
short,2369177,what is cut short,1817849,hair
short,2370604,what is cut short,1845876,a piece of asparagus
short,2413806,what is short cut,1014277,the grass
short,2390488,who has short hair,1549140,a girl
short,2376676,who has short hair,1971392,the man
short,2362300,who has short hair,1678408,boy
short,2362211,who has short hair,1676689,woman and man
short,2397912,who has short hair,1460287,the man
short,2361301,who has short hair,1659326,the woman
short,2360964,who has short hair,1652634,the woman
short,2404028,who has short hair,1294770,a woman
short,2370852,who has short hair,1851229,woman in black
short,2408640,who has short hair,1064376,the man
short,2370868,who has short hair,1851590,the boy
short,2394539,who has short hair,1570462,the man
short,2370411,who has short hair,1842150,the boy
short,2370398,who has short hair,1841860,the man
short,2401384,who has short hair,1243050,the man
short,2394188,who has short hair,1568366,the woman
short,2402156,who has short hair,1257052,the woman on the right
short,2391636,who has short hair,1430272,a boy
short,2393931,who has short hair,1567013,child
short,2365065,who has short hair,1734280,a woman
short,2404945,who had short hair,1149825,a woman
short,2368720,who has short hair,1808495,the man
short,2375126,who has short hair,1940045,player
short,2368445,who has short hair,1802738,woman near man
short,2367302,who has short hair,1778374,little girl
short,2404396,what type of short,1303653,jeans
short,2403949,who has short hair,1293271,the woman
short,2404250,what is very short,1300109,grass
short,2406396,who has short hair,1183770,skater
short,2377089,who has short hair,1979217,the teen girl
short,2360825,who has short hair,1649837,the man standing next to the van
short,2377138,who has short hair,1980135,man in yellow shirt
short,2374191,who has short hair,1921242,the woman
short,2343639,who has short hair,392716,man
short,2374314,who has short hair,1923485,cat
short,2371465,who has short hair,1864211,the boy
short,2319059,who has short hair,903879,the man on the left
short,2414729,who has short hair,1029879,the woman
short,2374181,who has short hair,1921120,the surfer
short,2374368,who has short hair,1924614,the men
short,2414397,what has short fur,1339413,the teddy bear
ok,2347851,what kind of dogs are ok,709161,teacup poodles
ok,2406854,what shape is the ok button,1194256,a circle
ok,2406854,what color is the ok button,1194257,blue
ok,2371497,when is it ok to enter the train,434271,when it stops
ok,2402064,what does the cross walk sign say it s ok to do,1255301,walk
over,2348114,what is it over,517093,toilet
over,2363203,who is bent over,249082,two people
over,2398985,what is over dog,796232,blanket
over,2377015,who is bent over,1977948,person in front
over,2377304,who is bent over,1982875,the man on the left
over,2371463,who is bent over,1864186,the man
over,2392523,who is bent over,1434761,skier in foreground
over,2413232,what is over man,1143766,black umbrella
over,2369583,who is bent over,1826236,the man on the skateboard
over,2378188,what is all over,620913,dirt
over,2408442,who is bent over,188855,person on the bench
over,2374968,who is bent over,1937130,the man in the middle
over,2360241,what is over tub,1637702,white tile
over,2395273,what is over him,543352,unbrellla
over,2395228,who is bent over,1383442,man with blue shorts
over,2395134,who is bent over,1574110,the woman
over,2397152,what is over tub,1456210,the shower curtain
over,2363486,who is bent over,1702584,person holding leash
over,2375810,who is bent over,686798,the skier
over,2364656,who is bent over,439666,horses
over,2363794,what is over sink,1708729,microwave
over,2410435,what is over sink,1103360,the mirror
over,2406604,what is over hats,1188834,umbrella with wood pole
over,2392705,what is bent over,1496796,the man
over,2370546,what is bent over,1844677,flower stem
over,2392419,what is bent over,1495219,the giraffe
over,2361753,what is over door,1667976,clock
over,2345682,what is bent over,263056,a zebra
over,2361347,what is bent over,1660128,the baseball player
over,2371517,who is over a bed,1865349,a cat
over,2369640,what is over stove,1827477,black microwave
over,2364173,what is over woman,1716577,umbrella
over,2374235,what is over train,1922023,bridge
over,2374129,what if over water,1920135,bridge
over,2369432,what is over water,1823204,bridge
over,2394142,what is over plane,1503841,protective cover
over,2353331,what is over train,704772,bridge
over,2413692,what is over train,1012140,wires
over,2406440,what is piano over,1184936,stand
over,2392504,what is over water,1495664,long bridge
over,2374235,what is over train,1922021,bridge
over,2342346,what is under over,777552,
over,2368451,what is over grown,1802889,grass
over,2365596,what is over cliff,1745037,waterfall
over,2367663,what is over water,1785949,clear blue skies
over,2376503,who is arched over,1968111,the woman
over,2372929,what is over sized,1895661,tennis ball and raquet
over,2363315,who is bending over,1698916,a man
over,2376932,what is fallen over,1976399,the chair
over,2394840,who is hunched over,1445299,lady with dark hair
half,2405694,what is in half,1167268,banana
half,2362463,what is half full,1681766,glass
half,2374986,what is half open,1937522,the brown curtain
half,2413073,what is half open,1140016,the door
half,2411258,what is half full,1325856,glass of wine
half,2359571,what is half eaten,1624082,a party cake
half,2389947,what is half eaten,1421371,the donut
half,2409439,what is half eaten,1082068,banana
half,2376448,what is half eaten,1966957,pizza crusts
half,2389947,what is half eaten,1421369,a baked good
half,2402692,what is half eaten,1266942,the bread
half,2394301,what is half eaten,1504727,dessert
half,2374947,what is half eaten,1936792,a pizza
half,2367651,what is half eaten,1785666,slice of pizza
half,2405481,what is half eaten,1161363,the sandwich
half,2390697,what is half eaten,1550413,the donut
half,2412659,what is half eaten,1129716,croissant
half,2362463,what is half empty,1681765,glass
half,2407721,what is half eaten,1044401,a burger
half,2378641,what is half eaten,297755,avocado
half,2358968,what broke in half,1612453,the bat
half,2376227,what is cut in half,1962113,an orange
half,2407460,what is cut in half,1207229,the sandwich
half,2368309,what is cut in half,1799827,a burger
half,2376402,what is cut in half,1965996,sandwich bread
half,2406435,what is cut in half,1184772,the red tomato
half,2360583,what is cut in half,1644767,sandwich
half,2391194,what is cut in half,1552896,sandwich
half,2390778,what is cut in half,1550844,sandwich
half,2406996,what is cut in half,1197088,sandwich
half,2392076,what is cut in half,1493350,sandwich
half,2331902,what is cut in half,273908,a burger
half,2373540,what is cut in half,1907999,the sandwich
half,2386060,what is cut in half,293171,the sandwich
half,2371700,what is cut in half,308166,a pizza
half,2400884,what is cut in half,1231757,sandwich
half,2401138,what is cut in half,1237552,orange
half,2401338,what is cut in half,1242059,a sandwich
half,2401700,what is cut in half,1249312,a sandwich
half,2391608,what is cut in half,1490803,an apple
half,2401782,what is cut in half,1250876,sandwich
half,2401936,what is cut in half,1253833,a sandwich
half,2403168,what is cut in half,1276759,grapefruits
half,2393233,what is cut in half,1372580,a banana
half,2370275,what is cut in half,1839376,sandwich
half,2369998,what is cut in half,1834323,the sandwich
half,2407827,what is cut in half,1046642,sandwich
half,2375761,what is cut in half,1952382,pizza
half,2369690,what is cut in half,1828348,bread
half,2396111,what is cut in half,1451311,watermelons
on the subject,2339617,who would perform medical procedures on the subject of the photo,458011,veterinarian
look,2389214,how is the look,1541855,worried
look,2358714,how does it look,508611,delicious
look,2366182,how does he look,246705,burned
look,2350172,how does he look,579400,young
look,2347086,how does he look,773761,angry
look,2343218,how do they look,393062,happy
look,2408437,how does he look,188889,middle aged
look,2413153,how does it look,151161,packed
look,2407358,how does sky look,1204923,clear and blue
look,2406303,how does sky look,1181124,blue and clear
look,2404486,how does sky look,1305854,sky is blue
look,2358867,how does sky look,1610252,grey and cloudy
look,2371043,how the bear look,1855258,evil
look,2410920,how do trees look,1318895,green
look,2408163,how does sky look,1053861,hazy
look,2370622,how does sky look,243158,clear and bright blue
look,2407104,how does sky look,1199198,clear and blue
look,2408121,how does sky look,1052920,blue and cloudy
look,2402380,how do trees look,1261293,very healthy
look,2358362,how does sky look,1599009,cloudy
look,2396082,how does sky look,1387796,clear with white clouds
look,2367657,how does sky look,1785806,white and cloudy
look,2412521,how does bird look,1126597,has long black tail feathers
look,2388399,how does bird look,1537905,irritated
look,2412269,how does desk look,1121089,scattered with papers
look,2373669,how the grass look,1910751,there are dirt patches on the grass
look,2406177,how do shorts look,1177663,yellow bright
look,2334202,how they both look,272113,happy
look,2405368,how does coat look,1158803,very thick
look,2403898,how does bear look,1292360,sleepy
look,2409705,how s the sky look,1087712,overcast
look,2365276,how is the cat look,1738476,mouth open
look,2404264,how does fence look,1300463,it is painted
look,2368008,how do the sky look,1793235,bright blue
look,2364652,how is the bed look,1726166,no pillows
look,2364657,how does water look,1726297,tranquil
look,2365431,how is the sun look,1741753,rising
look,2397396,how does water look,1457515,mildly choppy
look,2410304,how does beach look,1100741,sandy
look,2389809,how do the men look,611612,happy
look,2378833,how do the men look,556481,the men look happy
look,2409197,how the donuts look,1076780,yummy
look,2358562,how does water look,1603329,calm
look,2414851,how do the sky look,137584,cloudy
look,2387833,how does grass look,1343717,green and cut
look,2344461,how do the men look,328078,angry
look,2402030,how do the men look,665822,the men look happy
look,2412258,how do the men look,158326,happy
look,2412258,how do the men look,1120851,distinguished
look,2361641,how is the sky look,1665697,clear blue sky
coming,2366738,what is coming,1767918,silver train
coming,2387866,what is coming,741133,train
coming,2406214,what is coming in,1178688,waves
coming,2412379,what is coming in,1123475,waves
coming,2413532,what is coming in,1008749,sunlight
coming,2387188,what is coming out,613713,smoke
coming,2376233,what is coming out,1962241,the landing gear
coming,2409145,what is coming down,1075625,rain
coming,2394727,what is coming down,1507296,raindrops
coming,2375644,what is coming soon,1950009,a restaurant
coming,2368554,what is coming ahead,1805156,train
coming,2327726,when is sun coming up,789245,sunrise
coming,2329679,what is coming at him,403887,a wave
coming,2372020,what is coming ashore,1875771,the waves
coming,2410429,what is coming at him,172954,a ball
coming,2390874,what is coming forward,1426695,a large wave
coming,2364176,what exit is coming up,1716652,exit to cypress creek rd
coming,2413153,when is the bus coming,151167,now
coming,2360577,how is the wave coming,1644627,in and about to break
coming,2372737,what is coming to shore,1891309,large foam
coming,2362616,who is coming down hill,1684801,skiers
coming,2402107,what is coming to shore,1256134,boat
coming,2379165,why is smoke coming out,812088,engine is working
coming,2403309,why is smoke coming out,1279873,power
coming,2393662,what is coming from jet,1565600,smoke
coming,2394560,what is coming out snow,1443776,shrubs
coming,2364173,what is coming to shore,1716589,a lot of small white waves
coming,2405712,why is the train coming,210693,to deliver goods
coming,2347165,why is smoke coming out,837683,exhaust
coming,2397263,why is the smoke coming,1519484,burning coal
coming,2399355,where is light coming in,1468293,windows
coming,2412740,how many cars are coming,1131866,
coming,2414209,why is the sun coming in,142713,it s day time
coming,2405636,what season is coming on,1165884,autumn
coming,2397413,where is light coming in,1520136,through the window
coming,2404666,what is coming from afar,1310155,a small wave
coming,2347256,when is the train coming,452834,no train
coming,2325870,what is coming at player,726737,tennis ball
coming,2388277,where is the wave coming,1346039,towards shore
coming,2397221,how is the animal coming,285162,in line
coming,2406185,who is coming up the tree,1177865,no one
coming,2399638,what s coming out the top,1531131,smoke
coming,2365417,what is light coming from,1741455,lamp
coming,2365454,where is snow coming from,1742201,sky
coming,2392094,what is coming from train,1493463,smoke
coming,2361132,where is the light coming,1656171,lamp
coming,2374177,what is coming from rocks,1921065,water
coming,2359258,what is smoke coming from,1618027,train
coming,2392821,what is coming onto shore,1436250,waves
coming,2408259,what is smoke coming from,1055929,a plane
ten,2412750,what is on ten plate,1132120,lunch
ten,2371866,where is ten picture taken,1872661,a ski slope
ten,2396536,what reads minutes past ten,1516183,the clock
ten,2370267,how are the ten signs arranged,1839249,in a row
ten,2367636,what color is the ten on the right,437298,white
ten,2372963,what ten boys posing for a picture on the bus,1896286,boys with hands raise
ten,2371044,how the ten gaps of the slats arranged on the bench,1855301,equally
ten,2362312,what man sitting under a white cover ten at the beach,1678679,man near the sand
with someone,2358383,how does the woman sit alone or with someone,1599446,alone
does,2378958,who does it,364471,expert boarders
does,2343097,who does this,455740,skateboarders
does,2377842,why does it fly,237383,the breeze propels it
does,2392373,where does a go,1559164,neath
does,2333083,what does it do,272971,it flies
does,2322145,why does it eat,879189,its hungry
does,2360877,why does it stop,442633,to load and unload passengers
does,2372363,how does it hear,241758,ears
does,2411142,how does it land,167252,flaps and landing gear deployed
does,2402821,what does it say,280936,dole
does,2408437,how does he look,188889,middle aged
does,2350686,what does it say,770875,stop
does,2380673,how does it work,555011,no indication
does,2316234,what does it say,962552,browning
does,2347392,what does it eat,581604,grasses
does,2403218,what does h mean,1277861,hate
does,2336839,how does he feel,398155,cold
does,2366182,how does he look,246705,burned
does,2350172,how does he look,579400,young
does,2349495,how does one cut,515975,with scissors
does,2413153,how does it look,151161,packed
does,2347086,how does he look,773761,angry
does,2393849,what does he eat,608380,fish
does,2367559,when does he eat,373579,when fed
does,2369519,what does it say,372013,sale
does,2358714,how does it look,508611,delicious
does,2408971,what does cow do,1071578,gives milk
does,2411519,how does he swim,164236,above water
does,2361638,how does it help,378321,people can tell time
does,2411424,what does it say,164994,sterling eu
does,2374415,what does he have,496042,a kite
does,2410930,when does it snow,168949,winter
does,2390548,what does bird do,1424868,fly
does,2397995,what does not run,1522899,truck
does,2398069,when does it grow,605000,when you water it
does,2369872,when does it stop,563655,at destination
does,2405737,when does it move,210490,when string is pulled
does,2413063,what does that do,151884,stops spread of contamination
does,2367657,how does sky look,1785806,white and cloudy
does,2358362,how does sky look,1599009,cloudy
does,2413099,what does av mean,1140629,avenue
does,2391025,what does cow eat,1552115,green grass in background
does,2383758,where does it say,360630,on the player s shirt
does,2378413,when does it snow,556820,winter
does,2360466,where does bus go,1642303,london city airport
does,2396082,how does sky look,1387796,clear with white clouds
does,2364199,when does he fall,376267,lost balance
does,2398668,what does tag say,1526595,april price s entry
does,2410638,what does cup say,1111353,hot be careful
does,2402738,where does he sit,345442,in the cab
per,2411106,how many pillows per bed,167543,
per,2409728,how many lights per pole,1088266,three
per,2342905,how many vases per shelf,841096,
per,150443,how many cows per paddock,1020724,
per,2391636,how many knobs per drawer,418262,
per,2399717,how many items per package,411834,one
per,2316276,what is the price per pound,926138,
per,2400539,how many doughnuts per line,347195,four
per,2417296,how many computers per desk,949521,
per,2401406,how many vest are per person,730305,
per,2388326,how many lights per stoplight,740767,
per,2329741,how many are allowed per cage,339837,
per,2403988,how many wood planks per bench,600278,
per,2402866,how much are the grapes per pound,1270394,
per,2376203,how many skis are used per person,238682,
per,2377501,what number of spoons per clear dish,1985964,one
per,2331021,how many players per side of the net,338812,
per,2393569,how many people are there per picture,608601,
per,2415886,how much per pound is the cauliflower,965340,
