lemma_en_translate,image_id,questions,que_and_anw_id,answers
owner,2358997,where is the owner,1612977,there is no one in the photo
owner,2358622,where is the owner,1604709,in vehicle
owner,2365018,where is owner written,1733393,on red and white sign
owner,2390552,where is the dog s owner,1358323,no in the picture
owner,2406001,where is the dog s owner,1173452,steering the motorcycle
owner,2398614,where is the dog s owner,1401686,in the store
owner,2398910,where is the cat s owner,668321,in the restroom
owner,2401611,where is the dog s owner,1247595,next to it
owner,2360774,where is the dog s owner,506963,driving the motorcycle
owner,2354796,where is the pet s owner,447250,taking a picture
owner,2386459,what is on the owner s arm,358461,a watch
owner,2410621,where is the horse s owner,171421,behind the bushes
owner,2369825,who is the owner of the jet,1831025,lufthansa regional
owner,2401103,how is the dog s owner named,1236700,barbara
owner,2361899,what is the motorcycle owner,1670623,police
owner,2329085,where is the owner of the car,852153,in the park
owner,2399830,who is the owner of the horse,667582,the man whose riding
owner,2395419,who is the owner of the plane,1384548,ryanair
owner,2400134,what area code is the owner in,467079,
owner,2374815,what is the shop owner selling,495723,food
owner,2329241,what bird does this owner like,340233,owl
owner,2358933,who is the owner of this zebra,572402,the owner of this house
owner,2392135,who is the owner of the luggage,1557885,travelers
owner,2392202,who is pulling owner into water,1558257,dog
owner,2397462,what is the desk owner working on,1394838,blogging
owner,2352924,when is the owner coming for them,833087,soon
owner,2402537,what is the cubicle owner s gender,1264326,male
owner,2388327,where is the owner of the computer,1475569,hidden
owner,2407709,who is the owner of the restaurant,1044125,jimmy
owner,2405886,what owner does the train belong to,1171116,canadian pacific
owner,2401103,when will the owner pick the dog up,1236708,after the picture is taken
owner,2392586,why did the owner leave the dog here,1560306,not aloud in building
owner,2396201,where was the owner of the skateboard,285903,not pictured
owner,2390873,how was the cat s owner trying to work,1426688,using the computer
owner,2389521,what color are the donut owner s pants,290765,blue
owner,2410092,where might the owner of the bicycle be,1096386,in building
owner,2369867,what beverage does the home owner enjoy,1831799,canada dry
owner,2412077,when does the owner wear the headphones,159770,to listen to music
owner,2319659,what color is the red board owner s hat,899080,beige
owner,2370126,what identifies the owner of the luggage,1836662,the luggage tags
owner,2399597,how can you tell the sheep have an owner,1530916,tags on their ears
owner,2391272,why doesn t the owner come for the clock,546566,they don t have the time
owner,2400154,where will owner of desk put orange peels,1215506,garbage can
owner,2400362,what kind of top is the dog owner wearing,219360,a sweater
owner,2374815,what fruit is hanging above the shop owner,495721,bananas
owner,2376838,why did the owner throw these items around,1974558,messy person
owner,2405098,how does the owner keep control of the dogs,1153301,the leashes
information,2395312,where is information,1383893,side of boat
information,2362898,why an information sign,377312,traffic alerts
information,2363179,how many information stands,377085,two
information,107993,where is the information tag,997549,on the motorcycle
information,2361348,where is the information sign,1660153,beside the bench
information,2362023,how do signs give information,250029,number listings
information,2364606,where is the logo information,759741,top right corner
information,2370199,where is information displayed,1837947,on the monitor
information,2397023,how would information be found,222029,website
information,2400605,where is the information booth,1225715,on the sidewalk
information,2342993,where is the way to information,585106,up and left
information,2413334,where is the exhibit information,1146026,on a log beside the girl
information,2387976,where is the information placard,1474042,in front of the kitchen mock up
information,2340687,where is the information station,778871,in the background behind the woman
information,2408713,where is the website information,1066162,bottom right
information,2407122,what color is the information tag,199411,white
information,2397780,how is information being received,284785,on computer
information,2370385,what has information about zebras,1841581,the zoo signage
information,2391040,where is there flight information,1427513,on tv
information,2402850,where are the information placards,958111,to the right of each bike
information,2409660,where is the copyright information,1086534,bottom right
information,2391126,what information is the clock giving,1552592,the time
information,2405374,what information does the sign offer,1158948,traffic and route information
information,2377279,where is sign for tourist information,1982458,top sign on left of pole
information,2368012,what information is the street giving,1793313,the name of the street
information,2370364,what item is used to view information,1841153,a computer monitor
information,2409724,where is information on upcoming exits,1088183,on the green signs
information,2412516,where is the photographer s information,1126464,bottom left
information,2412469,where is the photographer s information,1125508,top right
information,2371725,what information so the brown signs show,1869694,street name
information,2375302,what item is used to display information,1943263,a monitor
information,2369243,where is the television with information,1819195,on the wall
information,2411608,what information does the blackboard show,1333190,snow conditions
information,2335950,what is the number to call for information,718669,
information,2358129,what numbered information is on the bumper,1594595,license plate
information,2368806,what information do the blackboards display,1810299,products and prices
information,2364080,where is the artist information card located,1714708,to the right of bottom suitcase
information,2377050,where is the traveling information of the bus,1978505,sign over windshield
information,2390841,what information is written on the green sign,1359945,street address
information,2389788,what information is on the top right of the sign,1420477,hours of operation
information,2397162,what information is on the sign on the lamp post,1456260,parking times
information,17,how is the information entered into the computer,988831,by the typing on the keyboard
information,2362925,where is the sign with information of the lemons,1691258,in the midst of the lemons
information,2371292,what object behind the skiers provides information,1860565,bulletin board
information,2324340,what information does the sign on top of train give,861627,destination
information,2401488,what illuminated part of the laptop displays information,1245081,screen
information,2381324,how would information be input using this computer system,810363,keyboard
information,2380499,what color are the words on the information indicator board,363229,red
information,2409330,where is the information on the projector screen coming from,1079856,laptop computer
information,2370199,what black item is used to input information into the computer,1837950,the keyboard
lets,2403641,what lets in light,1287135,the window
lets,2369285,what lets in light,819989,the window
lets,2372352,what lets in light,1882879,the window
lets,2369753,what lets in sunlight,1829659,the window
lets,2372351,what lets in sunshine,1882850,the skylights
lets,2370855,what item lets air out,1851287,a vent
lets,2366024,what lets the woman see,822607,glasses
lets,2369618,what item lets in light,1826992,a window
lets,2370757,what item lets in light,1849073,a window
lets,2374447,what item lets light in,1926263,a window
lets,2372024,what item lets light in,1875882,the window
lets,2370855,what item lets light in,1851292,a window
lets,2371304,what item lets light in,1860885,a window
lets,2413743,what lets in the daylight,1013088,the window
lets,2393003,what lets the sunlight in,1562626,sheer curtains
lets,2364454,what lets in natural light,1722305,the window
lets,2392020,what lets light in the bedroom,1432252,black and white window
lets,2370075,what object lets people in or out,1835724,door
lets,2383515,what lets you know how cold it is,488761,snow
lets,2369618,what item lets carbon monoxide out,1826993,a vent
lets,2371434,what lets you snow the fall is in action,1863542,the snow dust
lets,2390032,what lets you know this is not not summer,1546479,girls attire
lets,2370973,what is on the roof of the house that lets light in,1853696,a skylight
lets,2370029,what sign lets drivers know where a vehicle can turn,1834850,a blue and white sign
lets,2375319,what lets you know the photo was taken inside of a car,1943583,the dashboard
lets,2363880,what lets us know this is a police car even without the logo on the door,1710453,the bar of lights on the hood
dirty,2388443,what is dirty,228894,the floor
dirty,2405841,what is dirty,1170266,the floor
dirty,2404957,what is dirty,1150087,zebra
dirty,2404933,what is dirty,1149597,road
dirty,2407295,what is dirty,1203437,blue gingham sleeve
dirty,2408795,what is dirty,1067799,the walls
dirty,2410201,what is dirty,1098657,the wall
dirty,2405849,what is dirty,1170416,the toaster oven
dirty,2344023,what is dirty,264360,tire
dirty,2405910,what is dirty,1171679,the suitcase
dirty,2414068,what is dirty,1018434,the ground
dirty,2376900,what is dirty,298807,sign with arrow on it
dirty,2324347,what is dirty,861570,toilet
dirty,2414773,what is dirty,1030642,uniform pants
dirty,2335226,why is it dirty,783243,no one cleaned it
dirty,2329004,why is it dirty,852223,no one cleaned it
dirty,2360232,what looks dirty,1637482,the toilet
dirty,2399782,what looks dirty,1470754,the stop sign
dirty,2359746,why is dog dirty,763628,mud
dirty,2397315,what appears dirty,1519717,the surfboards
dirty,2397746,what is very dirty,1396320,toilet bowl
dirty,2397765,what is very dirty,1459433,the toilet
dirty,2398236,what is dirty here,1524272,toilet
dirty,2362497,what is dirty here,1682458,the toilet
dirty,2371828,why is it so dirty,626001,it s abandoned
dirty,2393834,what is dirty here,1375242,the urinal
dirty,2388056,what is very dirty,1474409,the microwave door
dirty,2403948,what is very dirty,1293262,the floor
dirty,2371316,what knee is dirty,1861093,the right knee
dirty,2375316,what is very dirty,1943501,the road
dirty,2374498,what is dirty brown,1927420,the tile floor
dirty,2403362,why are socks dirty,1281144,they have been worn
dirty,2376045,who s face is dirty,1958475,the little boy s face
dirty,2367952,what is dirty brown,1792111,the water
dirty,2363979,how dirty is the bed,1712468,it is clean
dirty,2400566,what number is dirty,1224772,
dirty,2405611,why is the cup dirty,1165116,the girl was drinking
dirty,2373501,what animal is dirty,1907145,the elephant
dirty,2363086,who has a dirty tusk,1694303,the adult elephant
dirty,2415357,why is the pan dirty,934005,food was cooked on it
dirty,2414988,where is dirty water,1035032,watering hole
dirty,2400441,why is the tire dirty,1221863,it got covered in mud
dirty,2399151,why is the head dirty,1467333,he s playing in the mud
dirty,2368190,how dirty is the room,1797043,very dirty
dirty,2398296,what is dirty and old,1399721,bike
dirty,2402556,why is the bowl dirty,409584,the cook is cooking
dirty,2414625,how dirty is the room,1341084,very dirty
dirty,2407894,why is the bowl dirty,1048042,because it was used to mix something up
dirty,2346370,why are the men dirty,710348,they re racing dirt bikes
dirty,2396461,what is dirty and wet,1580839,the bath water
i,2411341,where i the cat,1327439,on tv
i,2371873,who i in the pic,562043,no one
i,2373205,where i sthe wave,1901166,ocean
i,2372920,where i sthe bear,1895425,in the zoo
i,2361026,how i s the plane,1653972,large
i,2414978,what i in distant,1034836,city skyline
i,2373742,what is i nthe sky,1912257,balloons
i,2340269,what i on the wall,651222,tiles
i,2403127,what is i the photo,728915,tower clock
i,2318367,what i being played,909411,tennis
i,2414874,what had black on i,1032636,the handlebars
i,2408107,where is the sofa i,191535,n the living area
i,2376547,what is i the water,750183,boat
i,2394216,what i in the middle,1442099,a tube for pee
i,2401174,what says i love you,1238370,the heart
i,2365359,what i the cat color,1740265,black
i,2415548,who is i the picture,935530,pedestrians
i,2374444,where is the i phone,815870,between the keyboard and monitor
i,2338043,what color i the sky,269068,blue
i,2415213,where i she swimming,134643,a lake
i,2376421,what i the cat doing,1966381,laying down
i,2412938,what color i the bat,1136688,red
i,2373289,what is i nthe chair,1902823,bear
i,2396011,where is the letter i,1513904,on the shirt
i,2393989,where is the letter i,1376060,on the truck
i,2360391,what i the man s head,1640807,the back
i,2394569,where is the letter i,1506325,on the sign
i,2393928,where is the letter i,1440797,on the sign
i,2394569,where is the letter i,1443823,on the sign
i,2399634,where is the letter i,1406853,on the bus
i,2399349,where is the letter i,1529605,on the box
i,2399236,where is the letter i,1467724,on the tv
i,2377498,what i the white food,1985933,cauliflour
i,2394806,where is the letter i,1380909,on the plane
i,2398748,where is the number i,1465336,on the sign
i,2398699,where is the letter i,1465096,on the building
i,2398693,where is the letter i,1526689,on the plane
i,2393439,where is the letter i,1564636,on the shirt
i,2364811,how i sthe cozy sheet,1729140,white
i,2398210,where is the letter i,1590396,on the plate
i,2397047,where is the number i,1455687,on the clock
i,2395957,where is the letter i,1450624,on the shirt
i,2396934,where is the letter i,1455122,on the wall
i,2359889,where is the letter i,1630320,on the sign
i,2398545,where is the letter i,1525982,on the sign
i,2395403,where is the letter i,1575700,on the sign
i,2401970,where is the letter i,1471269,on the sign
i,2372715,what i white in color,1890838,a long fence
i,2366586,where i the ice drink,1764666,on the table
i,2413626,what color i the wall,147378,white
short,2409386,what is short,1080983,the fence
short,2410621,why is the short,1106256,maintained
short,2365421,what is cut short,1741541,nails
short,2359200,what is cut short,1617090,green grass
short,2367234,what is cut short,1776899,the grass
short,2366364,what is cut short,1760117,grass
short,2369177,what is cut short,1817849,hair
short,2370604,what is cut short,1845876,a piece of asparagus
short,2413806,what is short cut,1014277,the grass
short,2390488,who has short hair,1549140,a girl
short,2376676,who has short hair,1971392,the man
short,2362300,who has short hair,1678408,boy
short,2362211,who has short hair,1676689,woman and man
short,2397912,who has short hair,1460287,the man
short,2361301,who has short hair,1659326,the woman
short,2360964,who has short hair,1652634,the woman
short,2404028,who has short hair,1294770,a woman
short,2370852,who has short hair,1851229,woman in black
short,2408640,who has short hair,1064376,the man
short,2370868,who has short hair,1851590,the boy
short,2394539,who has short hair,1570462,the man
short,2370411,who has short hair,1842150,the boy
short,2370398,who has short hair,1841860,the man
short,2401384,who has short hair,1243050,the man
short,2394188,who has short hair,1568366,the woman
short,2402156,who has short hair,1257052,the woman on the right
short,2391636,who has short hair,1430272,a boy
short,2393931,who has short hair,1567013,child
short,2365065,who has short hair,1734280,a woman
short,2404945,who had short hair,1149825,a woman
short,2368720,who has short hair,1808495,the man
short,2375126,who has short hair,1940045,player
short,2368445,who has short hair,1802738,woman near man
short,2367302,who has short hair,1778374,little girl
short,2404396,what type of short,1303653,jeans
short,2403949,who has short hair,1293271,the woman
short,2404250,what is very short,1300109,grass
short,2406396,who has short hair,1183770,skater
short,2377089,who has short hair,1979217,the teen girl
short,2360825,who has short hair,1649837,the man standing next to the van
short,2377138,who has short hair,1980135,man in yellow shirt
short,2374191,who has short hair,1921242,the woman
short,2343639,who has short hair,392716,man
short,2374314,who has short hair,1923485,cat
short,2371465,who has short hair,1864211,the boy
short,2319059,who has short hair,903879,the man on the left
short,2414729,who has short hair,1029879,the woman
short,2374181,who has short hair,1921120,the surfer
short,2374368,who has short hair,1924614,the men
short,2414397,what has short fur,1339413,the teddy bear
ok,2347851,what kind of dogs are ok,709161,teacup poodles
ok,2406854,what shape is the ok button,1194256,a circle
ok,2406854,what color is the ok button,1194257,blue
ok,2371497,when is it ok to enter the train,434271,when it stops
ok,2402064,what does the cross walk sign say it s ok to do,1255301,walk
over,2348114,what is it over,517093,toilet
over,2363203,who is bent over,249082,two people
over,2398985,what is over dog,796232,blanket
over,2377015,who is bent over,1977948,person in front
over,2377304,who is bent over,1982875,the man on the left
over,2371463,who is bent over,1864186,the man
over,2392523,who is bent over,1434761,skier in foreground
over,2413232,what is over man,1143766,black umbrella
over,2369583,who is bent over,1826236,the man on the skateboard
over,2378188,what is all over,620913,dirt
over,2408442,who is bent over,188855,person on the bench
over,2374968,who is bent over,1937130,the man in the middle
over,2360241,what is over tub,1637702,white tile
over,2395273,what is over him,543352,unbrellla
over,2395228,who is bent over,1383442,man with blue shorts
over,2395134,who is bent over,1574110,the woman
over,2397152,what is over tub,1456210,the shower curtain
over,2363486,who is bent over,1702584,person holding leash
over,2375810,who is bent over,686798,the skier
over,2364656,who is bent over,439666,horses
over,2363794,what is over sink,1708729,microwave
over,2410435,what is over sink,1103360,the mirror
over,2406604,what is over hats,1188834,umbrella with wood pole
over,2392705,what is bent over,1496796,the man
over,2370546,what is bent over,1844677,flower stem
over,2392419,what is bent over,1495219,the giraffe
over,2361753,what is over door,1667976,clock
over,2345682,what is bent over,263056,a zebra
over,2361347,what is bent over,1660128,the baseball player
over,2371517,who is over a bed,1865349,a cat
over,2369640,what is over stove,1827477,black microwave
over,2364173,what is over woman,1716577,umbrella
over,2374235,what is over train,1922023,bridge
over,2374129,what if over water,1920135,bridge
over,2369432,what is over water,1823204,bridge
over,2394142,what is over plane,1503841,protective cover
over,2353331,what is over train,704772,bridge
over,2413692,what is over train,1012140,wires
over,2406440,what is piano over,1184936,stand
over,2392504,what is over water,1495664,long bridge
over,2374235,what is over train,1922021,bridge
over,2342346,what is under over,777552,
over,2368451,what is over grown,1802889,grass
over,2365596,what is over cliff,1745037,waterfall
over,2367663,what is over water,1785949,clear blue skies
over,2376503,who is arched over,1968111,the woman
over,2372929,what is over sized,1895661,tennis ball and raquet
over,2363315,who is bending over,1698916,a man
over,2376932,what is fallen over,1976399,the chair
over,2394840,who is hunched over,1445299,lady with dark hair
half,2405694,what is in half,1167268,banana
half,2362463,what is half full,1681766,glass
half,2374986,what is half open,1937522,the brown curtain
half,2413073,what is half open,1140016,the door
half,2411258,what is half full,1325856,glass of wine
half,2359571,what is half eaten,1624082,a party cake
half,2389947,what is half eaten,1421371,the donut
half,2409439,what is half eaten,1082068,banana
half,2376448,what is half eaten,1966957,pizza crusts
half,2389947,what is half eaten,1421369,a baked good
half,2402692,what is half eaten,1266942,the bread
half,2394301,what is half eaten,1504727,dessert
half,2374947,what is half eaten,1936792,a pizza
half,2367651,what is half eaten,1785666,slice of pizza
half,2405481,what is half eaten,1161363,the sandwich
half,2390697,what is half eaten,1550413,the donut
half,2412659,what is half eaten,1129716,croissant
half,2362463,what is half empty,1681765,glass
half,2407721,what is half eaten,1044401,a burger
half,2378641,what is half eaten,297755,avocado
half,2358968,what broke in half,1612453,the bat
half,2376227,what is cut in half,1962113,an orange
half,2407460,what is cut in half,1207229,the sandwich
half,2368309,what is cut in half,1799827,a burger
half,2376402,what is cut in half,1965996,sandwich bread
half,2406435,what is cut in half,1184772,the red tomato
half,2360583,what is cut in half,1644767,sandwich
half,2391194,what is cut in half,1552896,sandwich
half,2390778,what is cut in half,1550844,sandwich
half,2406996,what is cut in half,1197088,sandwich
half,2392076,what is cut in half,1493350,sandwich
half,2331902,what is cut in half,273908,a burger
half,2373540,what is cut in half,1907999,the sandwich
half,2386060,what is cut in half,293171,the sandwich
half,2371700,what is cut in half,308166,a pizza
half,2400884,what is cut in half,1231757,sandwich
half,2401138,what is cut in half,1237552,orange
half,2401338,what is cut in half,1242059,a sandwich
half,2401700,what is cut in half,1249312,a sandwich
half,2391608,what is cut in half,1490803,an apple
half,2401782,what is cut in half,1250876,sandwich
half,2401936,what is cut in half,1253833,a sandwich
half,2403168,what is cut in half,1276759,grapefruits
half,2393233,what is cut in half,1372580,a banana
half,2370275,what is cut in half,1839376,sandwich
half,2369998,what is cut in half,1834323,the sandwich
half,2407827,what is cut in half,1046642,sandwich
half,2375761,what is cut in half,1952382,pizza
half,2369690,what is cut in half,1828348,bread
half,2396111,what is cut in half,1451311,watermelons
look,2389214,how is the look,1541855,worried
look,2358714,how does it look,508611,delicious
look,2366182,how does he look,246705,burned
look,2350172,how does he look,579400,young
look,2347086,how does he look,773761,angry
look,2343218,how do they look,393062,happy
look,2408437,how does he look,188889,middle aged
look,2413153,how does it look,151161,packed
look,2407358,how does sky look,1204923,clear and blue
look,2406303,how does sky look,1181124,blue and clear
look,2404486,how does sky look,1305854,sky is blue
look,2358867,how does sky look,1610252,grey and cloudy
look,2371043,how the bear look,1855258,evil
look,2410920,how do trees look,1318895,green
look,2408163,how does sky look,1053861,hazy
look,2370622,how does sky look,243158,clear and bright blue
look,2407104,how does sky look,1199198,clear and blue
look,2408121,how does sky look,1052920,blue and cloudy
look,2402380,how do trees look,1261293,very healthy
look,2358362,how does sky look,1599009,cloudy
look,2396082,how does sky look,1387796,clear with white clouds
look,2367657,how does sky look,1785806,white and cloudy
look,2412521,how does bird look,1126597,has long black tail feathers
look,2388399,how does bird look,1537905,irritated
look,2412269,how does desk look,1121089,scattered with papers
look,2373669,how the grass look,1910751,there are dirt patches on the grass
look,2406177,how do shorts look,1177663,yellow bright
look,2334202,how they both look,272113,happy
look,2405368,how does coat look,1158803,very thick
look,2403898,how does bear look,1292360,sleepy
look,2409705,how s the sky look,1087712,overcast
look,2365276,how is the cat look,1738476,mouth open
look,2404264,how does fence look,1300463,it is painted
look,2368008,how do the sky look,1793235,bright blue
look,2364652,how is the bed look,1726166,no pillows
look,2364657,how does water look,1726297,tranquil
look,2365431,how is the sun look,1741753,rising
look,2397396,how does water look,1457515,mildly choppy
look,2410304,how does beach look,1100741,sandy
look,2389809,how do the men look,611612,happy
look,2378833,how do the men look,556481,the men look happy
look,2409197,how the donuts look,1076780,yummy
look,2358562,how does water look,1603329,calm
look,2414851,how do the sky look,137584,cloudy
look,2387833,how does grass look,1343717,green and cut
look,2344461,how do the men look,328078,angry
look,2402030,how do the men look,665822,the men look happy
look,2412258,how do the men look,158326,happy
look,2412258,how do the men look,1120851,distinguished
look,2361641,how is the sky look,1665697,clear blue sky
ten,2412750,what is on ten plate,1132120,lunch
ten,2371866,where is ten picture taken,1872661,a ski slope
ten,2396536,what reads minutes past ten,1516183,the clock
ten,2370267,how are the ten signs arranged,1839249,in a row
ten,2367636,what color is the ten on the right,437298,white
ten,2372963,what ten boys posing for a picture on the bus,1896286,boys with hands raise
ten,2371044,how the ten gaps of the slats arranged on the bench,1855301,equally
ten,2362312,what man sitting under a white cover ten at the beach,1678679,man near the sand
come,2394137,who would come here,1441742,campers
come,2397890,who would come here,669136,wine tasters
come,2400728,who would come to park,602882,people
come,2372419,why did the crowd come,1884308,to watch a tennis game
come,2396208,when do lights come on,606494,when it s dark
come,2386415,when will it come down,486443,when the wind dies
come,2378468,when can honey come out,620692,when you squeeze it
come,2417708,why do people come here,952810,to buy fresh produce
come,2365539,why do people come here,1743855,for a relaxing vacation
come,2362666,where does ham come from,1685860,pig
come,2400086,how come the rock is wet,1214156,it s touching water
come,2395444,what letters come before,1511360,gj
come,2405261,when will the train come,214303,it will be here soon
come,2355673,when will water come out,574989,when it s opened
come,2382451,how come the sky is blue,681478,it s daytime
come,2414009,when did the sun come up,144312,early in the morning
come,2396847,when will the tv come on,1517569,tomorrow
come,2391191,where did this come from,674491,restaurant
come,2396619,what did the meal come in,1581519,the paper bag
come,2362791,where do zebras come from,1688558,africa
come,2368817,what does a pizza come in,1810492,a box
come,2393703,when do the lamps come on,1374593,at night
come,2374084,where does pork come from,816156,pigs
come,2330043,what can come out of this,275325,water
come,2368223,where do bananas come from,245068,a tree
come,2395478,where does water come from,1384888,the faucet
come,2366903,when will the sun come out,246125,when the clouds move away
come,2367841,what does the meal come in,302526,a basket
come,2408962,how come there are shadows,1071379,the sun is going down
come,2414974,why would people come here,1034768,to swim
come,2412159,how come the lights are on,1118825,its dark
come,2387129,when will the tide come in,613750,now
come,2349225,when will the men come down,836040,when they are finished
come,2388422,what come out of the fruits,228917,juice
come,2391191,what does the pizza come in,674487,box
come,2397968,where do the cows come from,1588862,from the field
come,2370075,what does water come out of,1835717,faucet
come,2372350,what does the shake come in,1882831,a glass
come,2362744,where do giraffes come from,1687600,africa
come,2412717,why would someone come here,154655,to buy vegetables
come,2379315,how much water can come out,492123,enough
come,2347106,who will come into the room,773742,a man or woman
come,2372862,what will come to this dock,1894089,boats
come,2395113,where did ripples come from,1382744,from current
come,2342650,who will come see the zebra,713325,visitors of the zoo
come,2367959,what do people come through,1792262,doors
come,2406450,where do the cats come from,1185165,neighborhood
come,2368751,when does the foam come from,1809156,the waves cause foam on the beach
come,2414568,where did the snow come from,1340924,clouds
come,2399839,where did the boat come from,1408000,shore
believe,2384429,who do you believe took this photo,615909,someone who appreciates the beauty of flowers
believe,2339478,what would make a person believe that they may be sheep,396049,color
believe,2375704,where looking at the flag would a person believe that this photo was taken,814864,united states of america
check,2316205,where is the check mark,926710,on the girls shirt
check,2370202,where is the check mark,1837990,behind the sign pole
check,2400752,where do you check the time,1228952,clocktower
check,2350869,what color is the check mark,642761,orange
check,2359610,what is on the blue check box,1624812,a cell phone
check,2374367,where is the check out counter,751929,there is not one
check,2386272,what number is written on the check,550541,thirty six
check,2389560,what crate has a visible check mark,1480746,the one holding the blue and white vase
check,2375309,what item is used to cover the check,1943406,a shirt
check,2358475,when do they check the fire hydrants,508797,on different times of year
check,2375348,what item is used to check one self out,1944170,mirror
check,2404231,what is the check number on the receipt,1299591,
check,2343084,what color is the nike check on his shirt,840959,white
check,2386272,what color is the background of the check,550542,white
check,2377815,what is black and has a white check symbol,1990681,the man s shoes
check,2372262,what body part is shaped like a check mark,1880911,the woman s arm
check,2371160,what color is the check on the man s shoes,308466,red
check,2365898,what type of check out system is featured here,374918,self checkout
check,2350309,how many check marks are visible on the colgate tube,643209,five
check,2392412,what are the green decorations draped above the check in counter,1495175,garland
sit down,2415198,where do you sit down,134764,the bench
sit down,2387835,where can you sit down,1534930,the chair
sit down,2412340,when did they sit down,157667,when reached bench
sit down,2370798,how can someone sit down,1849992,on the bench
sit down,2404523,when will the men sit down,1306706,after playing wii
sit down,2399445,where can someone sit down,1530088,a chair
sit down,2392529,where can a person sit down,1495799,bench
sit down,2414685,where could someone sit down,1029023,on the bench
sit down,2389540,where can you sit down and watch tv,290753,the couch
sit down,2370110,where can a person sit down to relax,1836348,on the sofa
sit down,2363486,what is stubborn and trying to sit down,1702572,a dog
sit down,2371404,where can the man wearing white sit down,1862877,on the green chair
sit down,2367586,how would people sit down on this boardwalk,757356,benches
sit down,2399842,when you sit down is there any visible toilet paper,1532216,no
big,2414243,what is big,1020247,the ocean
big,2409977,what are big,1093946,the wheels
big,2387198,how big is it,357873,huge
big,2372697,what is big ben,1890423,a clock tower
big,2413887,what is too big,1015631,the boy s hat
big,2413740,how big is calf,1013013,small
big,2411461,what is big ben,1330113,clock tower
big,2415270,how big is lake,1040900,large
big,2375282,what is very big,1942877,the elephant
big,2372583,who has big eyes,1888079,stuffed animal on right
big,2389859,who has big ears,355743,elephant
big,2396375,who has big ears,1389246,the elephants
big,2331621,who had big ears,338351,dumbo
big,2398716,how big are they,412643,pretty big
big,2401663,who has big ears,1248547,mickey mouse
big,2364510,where is big ben,1723447,straight forward
big,2358705,how big are they,828453,pretty big
big,2364210,what is big area,1717354,sky
big,2387763,who has big ears,1534495,the cat
big,2360693,who has big ears,570994,two elephants
big,2387463,what is big item,1532748,windshield
big,2375632,what is very big,1949776,the pillows
big,2353241,where is big ben,321053,england
big,2410278,who has big ears,1100218,elephant
big,2405497,who has big ears,1161769,the elephant
big,2390908,who has big ears,1426857,the elephants
big,2368765,who has big ears,1809408,the elephant
big,2414912,how big is plate,1033441,small
big,2391304,who has big ears,1553457,the elephants
big,2391927,what is big here,1365470,plate
big,2370348,where is big ben,1840816,in london
big,2396582,where is a big g,1581373,on orange cooler
big,2406638,how big is cloud,1189624,very large
big,2372175,who has big ears,1879112,the elephant
big,2406706,why is it so big,202743,to be seen from afar
big,2372168,who has big eyes,1878932,the child
big,2391447,what has big ears,1490050,the elephant
big,2343698,what has big ears,392678,three elephants
big,2391447,what has big ears,1490049,the elephant
big,2363297,who has big horns,1698535,cow
big,2391447,what has big ears,1490048,the elephant
big,2391447,what has big ears,1490047,the elephant
big,2391447,what has big ears,1490046,the elephant
big,2391447,what has big ears,1490045,the elephant
