sentence,frequency,code
herkes iyi mi,4436,G3-L13-F4436-1208
yok hayır,4418,G2-L9-F4418-1214
başka bir şey,4412,G3-L13-F4412-1218
bunu nereden biliyorsun,4407,G3-L23-F4407-1220
benim mi,4394,G2-L8-F4394-1222
aman,4376,G1-L4-F4376-1226
tekrar ediyorum,4365,G2-L15-F4365-1227
bir dakika bekle,4356,G3-L16-F4356-1230
hey çocuklar,4344,G2-L12-F4344-1232
geç oldu,4324,G2-L8-F4324-1237
hem de hiç,4324,G3-L10-F4324-1238
evet bu doğru,4317,G3-L13-F4317-1239
bu nasıl,4287,G2-L8-F4287-1247
herkes,4272,G1-L6-F4272-1250
geldi,4271,G1-L5-F4271-1251
güzel mi,4270,G2-L8-F4270-1252
başka bir şey var mı,4264,G5-L20-F4264-1256
her şey,4254,G2-L7-F4254-1260
son,4251,G1-L3-F4251-1261
böyle,4242,G1-L5-F4242-1263
bu da nedir,4236,G3-L11-F4236-1266
tamam gidelim,4234,G2-L13-F4234-1267
kabul ediyorum,4214,G2-L14-F4214-1272
ne oldu ki,4194,G3-L10-F4194-1276
bundan eminim,4183,G2-L13-F4183-1278
hazır ol,4159,G2-L8-F4159-1286
kabul,4141,G1-L5-F4141-1290
hadi git,4139,G2-L8-F4139-1292
üzgünüm efendim,4138,G2-L15-F4138-1293
böyle mi,4122,G2-L8-F4122-1294
ne oluyor burada,4099,G3-L16-F4099-1302
bunu,4066,G1-L4-F4066-1309
ben değil,4062,G2-L9-F4062-1312
şey ben,4059,G2-L7-F4059-1314
onu bana ver,4037,G3-L12-F4037-1322
oh aman tanrım,4030,G3-L14-F4030-1325
bir şey olmaz,4027,G3-L13-F4027-1326
kimse,4020,G1-L5-F4020-1329
özür dilerim efendim,4018,G3-L20-F4018-1331
ben değilim,4014,G2-L11-F4014-1334
ya siz,4004,G2-L6-F4004-1335
yok yok,3986,G2-L7-F3986-1344
nasıl olur,3980,G2-L10-F3980-1347
bence,3974,G1-L5-F3974-1351
bana,3961,G1-L4-F3961-1357
gel benimle,3954,G2-L11-F3954-1363
tanrım hayır,3937,G2-L12-F3937-1368
doğru değil,3915,G2-L11-F3915-1372
bu ne demek oluyor,3889,G4-L18-F3889-1383
gerçek,3851,G1-L6-F3851-1398
tam burada,3850,G2-L10-F3850-1399
kötü,3829,G1-L4-F3829-1403
lütfen yardım edin,3827,G3-L18-F3827-1405
hiç mi,3821,G2-L6-F3821-1407
nereden,3809,G1-L7-F3809-1413
tamam tamam tamam,3807,G3-L17-F3807-1416
evet bayan,3801,G2-L10-F3801-1420
burası mı,3796,G2-L9-F3796-1422
selam anne,3796,G2-L10-F3796-1423
hiç sorun değil,3762,G3-L15-F3762-1428
kesinlikle öyle,3747,G2-L15-F3747-1431
hayır bilmiyorum,3734,G2-L16-F3734-1434
nasıl oldu,3725,G2-L10-F3725-1436
o değil,3721,G2-L7-F3721-1439
bu senin için,3709,G3-L13-F3709-1444
bu ne böyle,3690,G3-L11-F3690-1449
hayır öyle değil,3652,G3-L16-F3652-1457
bana ver,3649,G2-L8-F3649-1460
evet baba,3636,G2-L9-F3636-1466
bir şey daha,3631,G3-L12-F3631-1469
herkes dışarı,3622,G2-L13-F3622-1471
bana mı,3593,G2-L7-F3593-1477
çok güzel değil mi,3578,G4-L18-F3578-1484
evet mi,3570,G2-L7-F3570-1489
bir kez daha,3564,G3-L12-F3564-1492
çocuk,3562,G1-L5-F3562-1494
hayır gerek yok,3554,G3-L15-F3554-1497
devam,3552,G1-L5-F3552-1500
yemek,3550,G1-L5-F3550-1502
benim için,3537,G2-L10-F3537-1512
evet ben,3533,G2-L8-F3533-1516
şimdi değil,3513,G2-L11-F3513-1521
sana ne oldu,3495,G3-L12-F3495-1529
bu çok önemli,3484,G3-L13-F3484-1533
bak sen,3472,G2-L7-F3472-1539
bekle bekle bekle,3470,G3-L17-F3470-1541
bu iyi değil,3432,G3-L12-F3432-1557
evet anne,3419,G2-L9-F3419-1560
öyle olmalı,3407,G2-L11-F3407-1565
çok önemli,3397,G2-L10-F3397-1572
lütfen dur,3391,G2-L10-F3391-1575
aman ne güzel,3389,G3-L13-F3389-1577
bu gerçek,3368,G2-L9-F3368-1590
ne yapmak istiyorsun,3358,G3-L20-F3358-1596
ama ne,3353,G2-L6-F3353-1597
hayır dostum,3352,G2-L12-F3352-1599
gerçek bu,3347,G2-L9-F3347-1604
ona ne oldu,3346,G3-L11-F3346-1605
ver,3338,G1-L3-F3338-1609
çok fazla,3335,G2-L9-F3335-1612
ediyorum,3335,G1-L8-F3335-1613
ama nasıl,3334,G2-L9-F3334-1614
haydi çocuklar,3327,G2-L14-F3327-1620
tamam olur,3314,G2-L10-F3314-1623
yapma bunu,3298,G2-L10-F3298-1626
ne söyledi,3297,G2-L10-F3297-1627
yapma ama,3286,G2-L9-F3286-1629
ne kadar güzel,3286,G3-L14-F3286-1630
bir dakika lütfen,3282,G3-L17-F3282-1632
hoş,3271,G1-L3-F3271-1638
peki neden,3269,G2-L10-F3269-1640
neden peki,3251,G2-L10-F3251-1646
evet sen,3248,G2-L8-F3248-1649
herkes nerede,3245,G2-L13-F3245-1651
ya da,3242,G2-L5-F3242-1652
ne hoş,3233,G2-L6-F3233-1657
ya sonra,3232,G2-L8-F3232-1658
harika olur,3226,G2-L11-F3226-1660
al işte,3220,G2-L7-F3220-1662
sen ne,3219,G2-L6-F3219-1664
hayır anne,3212,G2-L10-F3212-1672
evet dostum,3208,G2-L11-F3208-1675
üzgünüm dostum,3203,G2-L14-F3203-1677
tamam harika,3198,G2-L12-F3198-1678
bak şimdi,3195,G2-L9-F3195-1684
bir sorun var,3183,G3-L13-F3183-1687
eğer,3181,G1-L4-F3181-1688
bunu al,3175,G2-L7-F3175-1693
söyle bakalım,3169,G2-L13-F3169-1697
bunun için üzgünüm,3167,G3-L18-F3167-1701
al onu,3163,G2-L6-F3163-1703
bana bırak,3148,G2-L10-F3148-1710
ve sonra,3143,G2-L8-F3143-1712
var mı,3136,G2-L6-F3136-1714
sen değil,3129,G2-L9-F3129-1718
bu çok hoş,3116,G3-L10-F3116-1723
ne olduğunu bilmiyorum,3101,G3-L22-F3101-1730
pekala tamam,3080,G2-L12-F3080-1740
gerçekten öyle,3077,G2-L14-F3077-1741
beni bekle,3067,G2-L10-F3067-1747
biliyorsun değil mi,3059,G3-L19-F3059-1749
o yüzden,3058,G2-L8-F3058-1750
orada dur,3051,G2-L9-F3051-1756
bu nasıl oldu,3049,G3-L13-F3049-1759
sonra ne olacak,3049,G3-L15-F3049-1760
hayır baba,3032,G2-L10-F3032-1769
evet harika,3029,G2-L11-F3029-1771
evet gördüm,3013,G2-L11-F3013-1784
şimdi git,3008,G2-L9-F3008-1787
bu nasıl olabilir,3008,G3-L17-F3008-1785
ha ha,2980,G2-L5-F2980-1798
bu hiç iyi değil,2978,G4-L16-F2978-1800
ne olacak,2975,G2-L9-F2975-1802
kimse yok,2974,G2-L9-F2974-1803
ve ben,2970,G2-L6-F2970-1805
kız nerede,2969,G2-L10-F2969-1806
bu daha iyi,2969,G3-L11-F2969-1807
sorun mu var,2954,G3-L12-F2954-1814
yine,2945,G1-L4-F2945-1819
yardım et bana,2940,G3-L14-F2940-1822
ya ben,2936,G2-L6-F2936-1826
ama bu,2929,G2-L6-F2929-1829
dur bekle,2926,G2-L9-F2926-1832
peki ya ben,2920,G3-L11-F2920-1837
gün,2916,G1-L3-F2916-1843
benden bu kadar,2910,G3-L15-F2910-1848
söyle ona,2910,G2-L9-F2910-1849
hayır dedim,2896,G2-L11-F2896-1854
seni görmek çok güzel,2884,G4-L21-F2884-1857
yapma ya,2881,G2-L8-F2881-1859
bir şey söyle,2874,G3-L13-F2874-1862
doğru değil mi,2873,G3-L14-F2873-1864
tamam hadi,2859,G2-L10-F2859-1875
kaç tane,2859,G2-L8-F2859-1876
doğru mu bu,2857,G3-L11-F2857-1879
benim için mi,2853,G3-L13-F2853-1882
yardım,2836,G1-L6-F2836-1893
aslında hayır,2833,G2-L13-F2833-1894
böyle iyi,2825,G2-L9-F2825-1900
beni,2818,G1-L4-F2818-1906
ama sen,2814,G2-L7-F2814-1908
hey bekle,2803,G2-L9-F2803-1915
evet burada,2791,G2-L11-F2791-1920
tamam anne,2787,G2-L10-F2787-1927
gel haydi,2772,G2-L9-F2772-1936
beni mi,2765,G2-L7-F2765-1941
peki sen,2762,G2-L8-F2762-1945
şimdi ne var,2758,G3-L12-F2758-1947
tamam iyi,2757,G2-L9-F2757-1948
bırak şunu,2732,G2-L10-F2732-1962
olsun,2728,G1-L5-F2728-1965
daha sonra,2727,G2-L10-F2727-1967
tabii efendim,2719,G2-L13-F2719-1973
iyi misin,2715,G2-L9-F2715-1975
nerede bu,2710,G2-L9-F2710-1981
bir şeyi yok,2702,G3-L12-F2702-1990
