fourgram,frequency
asla böyle bir şey,1714
iyi bir zaman değil,1710
lütfen bana yardım et,1703
son bir şey daha,1698
hayır hiç de değil,1687
özür dilerim özür dilerim,1677
fazla bir şey yok,1677
peki şimdi ne olacak,1676
bu demek oluyor ki,1672
ne oldu sana böyle,1649
senin için ne kadar,1648
daha önce hiç bu,1644
bu doğru değil mi,1635
ne oldu biliyor musun,1627
çok güzel bir kız,1618
sizi görmek ne güzel,1587
bu hiç hoş değil,1578
bunun için çok geç,1578
gereken bir iş var,1573
o kadar da iyi,1556
onun burada ne işi,1553
burada bir şey yok,1546
bu çok kötü bir,1538
bunun gibi bir şey,1536
için bir neden yok,1536
neden bu kadar önemli,1525
benim için büyük bir,1522
bir gün değil mi,1521
o kadar çok şey,1519
onu daha önce hiç,1512
seni tekrar görmek güzel,1508
ya da öyle bir,1507
bu da demek oluyor,1504
ne kadar da güzel,1500
da demek oluyor ki,1499
bu ne zaman oldu,1497
için ne kadar önemli,1496
başka bir şey mi,1491
çok güzel bir şey,1485
var mı yok mu,1484
buna hiç gerek yok,1484
her şey hazır mı,1481
ben de senin gibi,1476
kadar zor olabilir ki,1468
ne demek şimdi bu,1468
bak sen şu işe,1445
her şey için teşekkür,1445
çok güzel bir yer,1436
dur dur dur dur,1435
o kadar kötü mü,1432
çok daha iyi bir,1428
bana bir dakika ver,1426
ne işi var burada,1424
devam et devam et,1422
her şey çok güzel,1421
ha ha ha ha,1419
önemli bir şey var,1417
daha iyi olmaz mı,1415
bu da ne şimdi,1408
bana bir şey olmaz,1397
ne zaman oldu bu,1382
var mısın yok musun,1381
sen benim en iyi,1380
bunun için özür dilerim,1377
seni bir daha görmek,1365
başka biri var mı,1364
ama o kadar da,1357
hiç bu kadar iyi,1354
başka şeyler de var,1353
ben de bu yüzden,1349
değil öyle değil mi,1349
yardım etmek ister misin,1342
hem de çok iyi,1341
bu şey de ne,1336
her şey güzel olacak,1328
başka kimse var mı,1326
önce hiç bu kadar,1322
benim için ne kadar,1310
sen burada ne yapıyorsun,1306
için artık çok geç,1305
çok güzel bir gün,1300
böyle bir şeyi nasıl,1295
ya da onun gibi,1295
bir tane daha mı,1294
kötü bir şey değil,1287
başka bir şey ister,1285
bir daha böyle bir,1281
çok iyi bir iş,1280
ne demek olduğunu biliyor,1277
burada bir şey var,1276
hiçbir şey yok mu,1265
ama gerçek şu ki,1265
belki de bu yüzden,1263
için daha iyi bir,1263
son bir kez daha,1257
o zaman sen de,1253
bir daha ne zaman,1249
hakkında bir şey biliyor,1247
başka bir tane daha,1240
da öyle bir şey,1237
ile ilgili bir şey,1226
ben senin gibi değilim,1218
niye böyle bir şey,1216
için iyi bir zaman,1212
ne güzel bir gün,1211
lütfen bana yardım edin,1210
ama bu doğru değil,1207
ne olduğunu bilmiyorum ama,1206
o kadar emin değilim,1196
şey için teşekkür ederim,1191
bunu sana kim söyledi,1191
bu çok önemli bir,1189
orada biri mi var,1189
o zaman ne olacak,1189
o zaman biz de,1170
şimdi beni iyi dinle,1166
az önce ne oldu,1162
en az senin kadar,1156
ne kadar güzel olduğunu,1156
seni görmek de güzel,1155
benim için sorun yok,1153
için iyi bir yer,1153
sen çok iyi bir,1153
için özür dilerim ama,1152
evet evet evet evet,1151
bu kötü bir şey,1151
bir sorun var mı,1150
o iyi bir çocuk,1146
o sadece bir çocuk,1145
sana teşekkür etmek istiyorum,1142
bu kadar büyük bir,1136
her şey için çok,1132
önemli bir şey yok,1131
o da ne öyle,1125
hadi hadi hadi hadi,1124
bu harika değil mi,1119
iyi bir şey mi,1118
bir şey yok ki,1113
ben de senin kadar,1111
gereken başka bir şey,1110
bana bir dakika izin,1109
bu o kadar da,1108
ve bir şey daha,1106
o kadar güzel ki,1103
o benim en iyi,1101
başka ne olabilir ki,1100
ne olur biliyor musun,1096
hiç bu kadar mutlu,1096
o çok iyi bir,1095
bana biraz zaman ver,1094
bir şeyler yemek ister,1094
sorun da bu zaten,1090
tam olarak ne olduğunu,1088
biraz daha ister misin,1084
teşekkür ederim teşekkür ederim,1083
ne demek bu şimdi,1083
ben de senin için,1078
bu da başka bir,1074
bir dakika izin ver,1070
için ne kadar zor,1065
ben de dedim ki,1062
bir yer değil mi,1060
ne demek oluyor şimdi,1057
özür dilerim tamam mı,1056
sorun yok sorun yok,1054
bir tane ister misin,1052
benden de o kadar,1048
o iyi bir adam,1046
bu adam da kim,1043
bir şey değil bu,1042
daha önce hiç bir,1039
için teşekkür etmek istiyorum,1036
ben yanlış bir şey,1035
için neden bu kadar,1034
bir kaç gün önce,1034
güzel bir gün değil,1034
al benden de o,1032
her an burada olabilir,1031
çok hoş değil mi,1029
nasıl böyle bir şey,1028
için çok iyi bir,1023
demek olduğunu biliyor musun,1017
bir şey değil ama,1015
sizi görmek çok güzel,1015
tekrar görmek çok güzel,1014
evet hem de çok,1010
benim için çok zor,1009
kadar güzel değil mi,1007
ben de bir şey,1000
bir şey görmek ister,998
o kadar da önemli,998
da onun gibi bir,997
bu benim için bir,995
biz diye bir şey,991
ne kadar büyük bir,990
senin hakkında çok şey,987
benim daha iyi bir,985
olan tek şey bu,983
şey yok değil mi,982
fazla bir şey değil,981
bu yüzden bu kadar,981
senin için bu kadar,977
bana öyle geliyor ki,972
çok güzel bir kadın,971
ne kadar güzel değil,970
ben böyle bir şey,969
daha ne kadar var,969
sen de benim kadar,968
şeyler yemek ister misin,968
bunu bir daha yapma,965
buraya gel buraya gel,964
seni bir daha asla,964
daha büyük bir şey,963
orada bir şey var,962
uzun bir gün oldu,960
bir kaç yıl önce,958
olarak kabul ediyor musun,958
senin için daha iyi,955
çok iyi değil mi,955
bu yüzden ben de,954
bu ne biliyor musun,953
bu kadar önemli olan,952
daha fazla bir şey,945
orada hiçbir şey yok,944
böyle bir şey yok,943
ben de bir tane,942
bu senin için çok,939
belki başka bir zaman,939
bekle bekle bekle bekle,937
ama yine de bir,929
bence bu iyi bir,925
bu yeni bir şey,924
yanlış bir şey yok,921
bir şeyler ister misin,918
belki de başka bir,917
hayır hiç de bile,913
bunun için biraz geç,912
ama bir sorun var,910
gibi bir şey bu,906
çok şey var ki,906
daha kötü bir şey,903
ne demek olduğunu biliyorum,901
oh hayır hayır hayır,901
bunu bana neden yapıyorsun,900
bundan daha iyi bir,898
diye bir şey var,897
yeni bir şey var,895
kim olduğunu bile bilmiyorum,895
ama sana bir şey,894
bu senin için bir,893
bir şey olduğu yok,889
sen de benim gibi,885
bir şeyler mi var,882
kadar da zor değil,879
bir o kadar da,876
senin için çok zor,873
bu kadar mı yani,868
çok daha büyük bir,867
iyi bak tamam mı,867
bu da bir şey,866
da bu değil mi,865
hayır bir şey yok,865
bu kadar çok mu,862
her zaman ki gibi,861
tam olarak ne demek,860
seni daha önce hiç,860
bir şey yok değil,859
niye bu kadar uzun,856
şey için özür dilerim,854
gibi bir şey değil,852
hiç de iyi değil,851
çok ama çok üzgünüm,850
gereken bir şey daha,849
olur ne olmaz diye,849
yanlış bir şeyler var,846
bunun için çok üzgünüm,845
ne kadar kötü olabilir,844
benim için önemli olan,843
orada bir şey yok,842
zor olduğunu biliyorum ama,841
sana daha önce de,839
ne olduğunu bile bilmiyorum,839
seni tekrar görmek çok,838
kötü ne olabilir ki,838
ne kadar iyi olduğunu,837
bunlar da ne böyle,836
daha önce de gördüm,836
senin için büyük bir,835
tam olarak ne oldu,835
burada olduğunu biliyor mu,829
neden bu kadar geç,828
için güzel bir gün,828
olur mu öyle şey,828
bir şey mi istiyorsun,826
en iyi şey bu,826
tam olarak emin değilim,825
kadar çok şey var,825
bu kadar güzel bir,824
ama başka bir şey,824
önemli olan bu değil,823
o kadar önemli değil,822
kim böyle bir şey,820
ya da belki de,819
daha önemli bir şey,818
bu çok daha iyi,818
hayır tam olarak değil,815
o daha bir çocuk,814
böyle bir şey için,814
ve bir daha asla,813
böyle bir şey nasıl,812
hakkında bir şey bilmiyorum,812
şey bu değil mi,811
ben hiç bir şey,811
çok özel bir şey,810
başka bir şey yoksa,808
benim için çok şey,808
tekrar görmek ne güzel,807
bütün bunlar da ne,807
kötü bir şey oldu,807
o da senin gibi,805
olmak nasıl bir şey,804
için bir şey var,799
hakkında her şeyi biliyorum,798
hayır hayır sorun değil,798
ilgili bir sorun var,794
bir tane daha ister,794
bundan pek emin değilim,791
en az benim kadar,789
bir şey mi vardı,785
nerede ve ne zaman,783
bana mı öyle geliyor,783
bana bir şey mi,782
şey görmek ister misin,779
daha böyle bir şey,778
sen ve ben birlikte,775
var öyle değil mi,775
o zaman her şey,774
için iyi bir şey,773
ilgili bir şey var,773
özel bir şey var,773
hiç de öyle değil,772
şu anda burada değil,770
ne kadar iyi bir,765
çok da önemli değil,765
asla öyle bir şey,764
ben de sana bir,762
bu bir şey değil,761
o kadar çok mu,761
ben bir şey bilmiyorum,759
peki sonra ne oldu,757
sen ne yapıyorsun burada,755
her zaman bu kadar,755
o zaman belki de,754
sen de aynı şeyi,754
neden bu kadar zor,753
o kadar da büyük,752
bir şey istiyor musun,750
tam olarak ne zaman,750
bu güzel bir şey,748
ne hoş değil mi,747
sen ne iş yapıyorsun,747
şu an burada değil,745
hakkında hiç bir şey,745
her şey tamam mı,745
kadar zor olduğunu biliyorum,745
beni dinle tamam mı,744
çok uzun bir zaman,744
için sorun olur mu,743
bir saat kadar önce,743
onu bir daha asla,742
yine de sağ ol,742
bunun için teşekkür ederim,740
aman tanrım aman tanrım,738
gereken bir şey mi,738
bu hiç de iyi,736
bana bak bana bak,736
sadece tek bir şey,735
bize bir dakika izin,735
hey bu da ne,733
bir şey olduğunu biliyorum,730
hiç bir şey bilmiyorum,730
daha iyi bir iş,728
sen de benim için,727
bu gece ne yapıyorsun,726
bir kaç gün içinde,726
bu çok iyi olur,722
için zor olduğunu biliyorum,719
için gerçekten çok üzgünüm,718
çok güzel çok güzel,718
tanrım bana yardım et,713
büyük bir şey değil,713
bu o değil mi,711
de bu değil mi,711
için çok önemli bir,711
daha iyi bir yere,711
için çok sağ ol,710
belki de o kadar,707
ama artık çok geç,706
seni ne kadar çok,705
bu önemli bir şey,703
ama ne var biliyor,703
bir kaç hafta önce,701
orada ne işi var,700
için çok büyük bir,699
bir şey değil ki,698
belki de daha fazla,698
son ne zaman bir,698
bir de bu var,696
bizim için çok önemli,694
onun hakkında ne biliyorsun,694
sadece bir tane var,691
gerçekten çok özür dilerim,690
hem evet hem hayır,689
yok bir şey yok,688
önce mi sonra mı,688
daha kötü ne olabilir,684
ben o kadar emin,683
o zaman başka bir,682
bunu evet olarak kabul,681
için daha iyi olur,681
kadar da önemli değil,681
için çok güzel bir,681
bana nerede olduğunu söyle,679
yeni bir şey değil,678
bu çok uzun zaman,676
daha ne kadar devam,676
böyle bir şeyi asla,676
çok fazla şey var,676
tane daha ister misin,674
bir tane daha ver,674
için harika bir yer,674
her şey çok iyi,670
bir gün sen de,670
onun için her şeyi,670
ne de başka bir,669
bu işi bana bırak,666
bir kaç dakika içinde,666
o zaman sorun ne,665
neden öyle bir şey,665
bu aynı şey değil,664
evet olarak kabul ediyorum,664
bir şey lazım mı,664
ilgili bir şey mi,664
kadar kötü olabilir ki,660
bu senin için de,660
ben de bir şeyler,658
başka bir şey için,658
harika bir şey bu,657
benim için de öyle,657
o şey de ne,656
peki o zaman neden,655
kimse bana bir şey,655
bu başka bir şey,653
o kadar zor değil,653
böyle bir şeyi kim,653
her şey için özür,651
başka kim olabilir ki,651
için bu kadar önemli,650
benim için önemli değil,650
ben de tam olarak,647
gerek yok değil mi,646
bir şey olabilir mi,645
her şey o kadar,645
biraz geç değil mi,645
daha önemli şeyler var,645
başka bir yere gidelim,644
sen de ben de,644
hakkında ne biliyorsun ki,644
senin için iyi bir,644
kötü bir zaman mı,644
benim için her şey,643
senin için zor olduğunu,640
tam olarak öyle değil,639
benim için hiçbir şey,639
hakkında daha çok şey,639
bunu daha ne kadar,638
her şey daha iyi,635
hiçbir şey hiçbir şey,635
bizim için büyük bir,635
uzun bir gece olacak,635
her şey bir anda,634
ya da bir şey,633
bu lanet şey de,633
için güzel bir yer,632
bunun hakkında bir şey,631
böyle bir şey hiç,631
için çok geç değil,630
olan her şey var,629
bu sana bir şey,628
pek çok şey var,628
ne zaman bu kadar,627
senin için sorun olur,626
nasıl oldu da bu,626
evet ben de seni,624
için sana teşekkür etmek,623
o da benim gibi,622
çok fazla insan var,621
ve sen de bunu,620
hem de tek bir,620
bunun için ne kadar,619
çok kötü değil mi,617
bir şey mi söyledi,617
gerçekten çok iyi bir,617
sana bir şey mi,617
bu kadar çok şey,616
o yüzden ben de,615
ona bir şey olmaz,615
pek de iyi bir,613
olan bir şey yok,613
çok iyi bir adam,613
bu daha önce hiç,612
onun kim olduğunu biliyor,612
ve ben de onu,611
bir şey daha vardı,610
bu da nedir böyle,607
ne demek olduğunu biliyorsun,606
bir şey yok ama,605
bu daha ne kadar,605
sana bir şey söyledi,605
iyi mi kötü mü,605
ben de seni çok,604
seni o kadar çok,604
bir kaç gün sonra,604
bir şey mi bu,603
bu hiç iyi bir,603
bu çok uzun bir,602
olan bir şey değil,602
o zaman burada ne,601
ne olduğu hakkında bir,600
bu çok zor bir,599
kadar da kötü bir,599
ben de aynı şekilde,599
bu senin için iyi,596
bu işe bir son,595
çok teşekkür ederim efendim,595
o kadar kötü bir,592
senin hakkında her şeyi,592
sizi tekrar görmek güzel,592
buna bir son ver,592
hiç bu kadar güzel,592
iki ya da üç,591
burada bir yerde olmalı,590
gereken bir yer var,590
ben öyle biri değilim,590
onun hakkında hiçbir şey,590
şey ne biliyor musun,589
bu çok özel bir,588
evet ama yine de,588
gece için özür dilerim,587
ne kadar kötü olduğunu,587
öyle değil mi bay,587
ne dedim ben sana,585
hey sen iyi misin,584
böyle bir şey yapmak,583
tüm bunlar da ne,583
bu da kim böyle,583
hayır ben özür dilerim,583
ben de özür dilerim,582
yeni bir şey yok,582
bana bir şey söyle,581
kadar kötü bir şey,580
senin için zor olmalı,580
görmek ne kadar güzel,579
en kötü ne olabilir,579
burası harika bir yer,579
bir şeyler yapmak istiyorum,579
senin için bir şeyler,578
ve bir daha geri,578
gerek yok tamam mı,577
bunlar ne demek oluyor,576
çok da kötü değil,574
bu benim için de,574
de bir tane var,574
bu benim için mi,574
bunu bir daha asla,574
bir kaç saat önce,574
bu da senin için,572
hayır buna gerek yok,572
o kadar oldu mu,572
zor bir şey değil,570
ona yardım etmek için,569
sorun değil sorun değil,569
ama bu sadece bir,568
böyle olmak zorunda değil,567
lütfen bize yardım edin,567
ilgili bir sorun mu,567
çok iyi çok iyi,567
çok büyük bir şey,567
bu hiç doğru değil,565
bir şey de yok,565
bu iyi değil mi,565
size yardım etmek için,564
senin için çok önemli,564
ya şimdi ya da,564
mı öyle geliyor yoksa,564
senin için özel bir,562
ne sen ne de,562
kabul et ya da,561
ne istiyorum biliyor musun,561
ne harika değil mi,561
çok çok özür dilerim,561
önemli bir şey mi,561
aslında o kadar da,561
ben hiçbir şey bilmiyorum,560
hey bekle bir dakika,560
ne demek olduğunu bilmiyorum,559
de seni seviyorum baba,559
burası da ne böyle,558
sen ve ben bir,557
bana ne oldu bilmiyorum,557
onu bir daha hiç,557
senin kim olduğunu biliyorum,556
bak burada kim var,555
çok iyi bir şey,555
o zaman sorun yok,554
o kadar iyi değil,554
küçük bir sorun var,554
hiç öyle bir şey,553
evet onun gibi bir,553
tam olarak ne kadar,552
tam da bu yüzden,552
başka kimse yok mu,551
yok artık daha neler,551
evet öyle bir şey,550
o kadar büyük bir,548
gel sana bir şey,548
ben sana bir şey,547
ne olduğunu biliyorsun değil,547
de ne demek oluyor,546
bu adam tam bir,546
ama böyle bir şey,544
o kadar iyi olur,544
onun hakkında bir şey,544
bir şey yok bir,543
bu çok kötü oldu,543
sana başka bir şey,543
yanlış olan bir şey,542
için çok zor olmalı,541
bunun benim için ne,540
her şey için sağ,540
hayır ben teşekkür ederim,540
hayır yok bir şey,539
ve ben de seni,539
bir şey yapmak zorunda,539
hey dur bir dakika,538
ama yine de çok,538
bir kaç saat içinde,537
ama sorun şu ki,536
hiç bu kadar çok,536
senin gibi bir adam,535
daha iyi bir insan,534
için her şey hazır,534
kim olduğunu bilmiyorum ama,533
ve bir daha da,533
bir şeyi daha önce,533
daha önce bu kadar,533
doğru ya da yanlış,533
bunun nasıl bir şey,532
burada neler oluyor böyle,531
için hiçbir neden yok,531
lanet şey de ne,530
sen de biliyorsun ki,530
benim için de bir,529
onun için bir şey,529
küçük bir kız gibi,528
özel bir şey yok,528
şey çok güzel olacak,527
bir gün ben de,527
bunun ne olduğunu bilmiyorum,527
gel buraya gel buraya,527
bu onun için çok,527
sen de bunu biliyorsun,524
her zaman iyi bir,524
seni seviyorum seni seviyorum,523
hiç de iyi bir,523
başka hiçbir şey yok,523
öyle bir şey işte,523
senin için de bir,522
devam et tamam mı,522
senden daha iyi bir,522
bunu neden daha önce,522
bu kadar zor mu,520
bir yıl kadar önce,520
göre bir yer değil,519
ne gerek var ki,518
senin için hiçbir şey,517
bana da bir tane,517
tanrım bu da ne,517
bu öyle değil mi,516
seni tekrar görmek ne,516
gerçekten çok güzel bir,516
senin için her şey,516
doğru değil değil mi,513
ben de sana aynı,513
güzel öyle değil mi,513
öyle bir yer yok,512
bir şey yapmak istiyorum,510
nasıl bu kadar iyi,507
her gün yeni bir,506
ben de sizin gibi,506
ne zaman ve nerede,506
çok zor bir şey,505
gereken çok önemli bir,505
o kadar çok seviyorum,504
ile ilgili bir şeyler,503
sen yanlış bir şey,503
yok öyle değil mi,503
her şey bu kadar,502
olan bir şeyler var,502
özür dilerim ama bu,502
benden daha iyi bir,501
ben de en az,501
evet öyle değil mi,501
en son o zaman,501
bence bu harika bir,500
şimdi ya da asla,500
tam sana göre bir,499
bir tane daha geliyor,499
gereken tek şey bu,498
yardım etmek mi istiyorsun,498
bunu yapmak istiyor musun,498
başka bir şey söyledi,496
şey yok bir şey,495
sen bunu nereden biliyorsun,494
evet o da var,493
bu benim için büyük,492
yine de teşekkür ederim,492
bunun ne olduğunu biliyorum,491
olduğunu sen de biliyorsun,491
de başka bir şey,491
bir de şu var,490
bu benim için önemli,490
sizi tekrar görmek ne,490
sen ve ben mi,488
olduğunu çok iyi biliyorum,488
ne demek istiyorsun sen,487
benden çok daha iyi,486
bir daha asla geri,486
senin için çok iyi,485
daha önce de oldu,484
sen ve ben bu,484
ben de tam seni,484
ona bir şey mi,484
bir iki bir iki,484
burada tam olarak ne,483
başka bir şey de,481
ve ben de sana,481
o kadar iyi bir,480
yardım edin yardım edin,480
daha çok şey var,480
bu bir sorun mu,479
beni bir daha asla,479
bu iş için çok,479
seni bu yüzden seviyorum,479
bir sorun yok değil,479
ben de sana bunu,478
gerçek şu ki ben,478
ne kadar zaman oldu,478
senin için küçük bir,478
ne kadar harika bir,478
her iki şekilde de,477
kadar çok seviyorum ki,477
özel bir şey değil,477
onu bana geri ver,477
sorun da bu ya,476
burada kimse var mı,476
o kadar uzun zaman,476
bu da iyi bir,476
kadar güzel bir şey,476
etmek için her şeyi,475
için çok özel bir,475
ya hep ya hiç,474
biliyorum ama yine de,473
ben de sana yardım,473
kötü bir şey olduğunu,473
tam olarak ne yapıyorsun,473
bana biraz daha zaman,473
pek fazla bir şey,472
eğer bana bir şey,470
böyle bir şey mi,470
çok iyi bir çocuk,470
bir şey var ki,470
her şey çok daha,469
kadar önemli olduğunu biliyorum,469
şey var değil mi,468
ne kadar hoş bir,468
bu çok hoş bir,468
her şeyi daha da,467
sorun ne o zaman,467
gereken birkaç şey var,467
sizin için bir şey,467
ama bu iyi bir,466
benim için iyi bir,466
ama çok iyi bir,466
bir şey yapmak için,466
size teşekkür etmek istiyorum,466
biraz fazla değil mi,465
bana yardım etmek için,465
çok fazla bir şey,465
git git git git,464
kadar önemli olan ne,464
bir şey mi biliyorsun,464
çok daha iyi olur,464
ne olduğu önemli değil,463
başka biri daha var,463
başka sorun var mı,462
burada bekle tamam mı,461
bu daha önce de,461
hayır tabii ki hayır,460
senin gibi güzel bir,460
çok da iyi bir,460
bugün güzel bir gün,460
böyle bir şey asla,458
çok bir şey değil,458
bunu o mu söyledi,458
için biraz geç değil,456
bu ne güzel bir,456
bu tam olarak ne,456
ama bu şekilde değil,455
ben de tam bunu,455
sana bir şey daha,454
daha ne kadar burada,454
var mı bir şey,453
bir tek şey var,452
şey yok tamam mı,452
sadece yardım etmek istiyorum,452
böyle bir şeyi hiç,451
bak sana bir şey,451
sen de bana yardım,451
tam olarak doğru değil,451
şey de ne böyle,450
ve bunu sen de,450
kötü değil değil mi,450
eğer ona bir şey,449
seni hiç bu kadar,449
hakkında pek bir şey,449
bir tane daha lütfen,449
senin için yeni bir,449
daha güzel bir şey,449
için büyük bir gün,449
bunun zor olduğunu biliyorum,449
bana biraz izin ver,448
benim için çok fazla,448
bunun içinde ne var,447
bütün bunlar ne demek,447
size yardım etmek istiyorum,446
hoş bir şey değil,446
o zaman bir şey,446
hem de her gün,445
iyi ya da kötü,445
evet bu iyi bir,445
bir kaç dakika sonra,445
ben de o yüzden,445
bir daha asla böyle,444
hem de çok kötü,444
bu kadar da değil,444
ve sen bunu biliyorsun,444
da da da da,444
ve bana yardım et,443
benim için bir şeyler,443
bu öyle bir şey,443
önce sana bir şey,442
bu nasıl olabilir ki,442
bir gece değil mi,442
bir tane de ben,441
bunu bir kez daha,441
her zaman başka bir,441
biraz daha biraz daha,439
her şey için üzgünüm,438
tam olarak nerede olduğunu,438
hepsi bu kadar değil,438
gereken bir şey yok,438
bu büyük bir sorun,438
onu bir daha görmek,437
sadece bir kaç dakika,437
tek kişi ben değilim,437
bunu uzun zaman önce,437
bir şey mi dedim,436
belki de bu bir,436
bir şey yok tamam,436
bir şey nasıl olabilir,436
için çok zor bir,435
çok kötü bir gün,435
aynı şeyi ben de,435
ben kötü biri değilim,435
için iyi bir gün,434
benim için sorun olmaz,434
sen de çok iyi,434
her gün daha da,434
neden burada olduğunu biliyorum,433
sağ ol sağ ol,433
ama bir o kadar,433
ama hiç bir şey,432
ve bu da benim,432
değil ama yine de,431
bir şey yok efendim,431
sanırım hepsi bu kadar,431
onun kim olduğunu bilmiyorum,431
şimdi çok daha iyi,431
bir tane de bana,430
bu sadece bir iş,430
için sana teşekkür ederim,430
bu tam olarak doğru,430
iyi olur değil mi,430
bir yer biliyor musun,430
o kadar da çok,429
ilgili bir şey biliyor,429
nasıl bir yer olduğunu,429
burada bir sorun var,429
peki sen ne yapıyorsun,429
o kadar da güzel,428
aynı şey değil mi,426
her şeyi olduğu gibi,426
senin hakkında hiçbir şey,426
çok şey mi istiyorum,426
ama bir şey var,426
çok iyi bir kız,426
başka bir şey istemiyorum,425
sen de bir şey,422
sadece bir tane mi,422
ya şimdi ya hiç,422
lütfen bize yardım et,422
hayır böyle bir şey,422
başka biri mi var,422
burada daha ne kadar,422
çok iyi bir insan,421
tek bir kişi var,421
oh oh oh oh,421
için bana yardım et,421
belki de yeni bir,420
hiçbir şey için söz,420
ilgili hiçbir şey bilmiyorum,419
doğru mu yanlış mı,419
yanlış bir şey var,419
güzel bir gün olacak,419
de çok iyi bir,417
de bu iyi bir,417
senin için o kadar,416
benim için de çok,415
evet bu çok iyi,415
ben de bunun için,415
için ne kadar istiyorsun,414
hakkında çok şey biliyorum,414
de seni seviyorum anne,414
hakkında bir şeyler biliyor,413
senin için iyi olur,412
bir daha asla görmek,412
beni bu yüzden mi,412
senin için sorun olmaz,412
az önce ne dedim,412
ne olduğunu tam olarak,411
sana bir kez daha,411
ilgili bir şey söyledi,411
çok ama çok özür,410
ama ben yine de,410
ama yine de bu,410
için de özür dilerim,410
hayır başka bir şey,409
hiç kimse bir şey,409
onunla en son ne,409
hayır tabii ki değil,408
onunla ilgili bir şey,408
para para para para,408
o zaman bana bir,408
hakkında daha fazla şey,408
evet hem de nasıl,407
senin için başka bir,407
seni tekrar ne zaman,407
saat kaç biliyor musun,407
senin için neden bu,407
o zaman neden bana,406
sen sen ve sen,406
tek bir şey bile,406
