fivegram,frequency
bu yeni bir şey değil,388
bana biraz daha zaman ver,387
ya şimdi ya da hiç,384
bu kadar şeyi nereden biliyorsun,383
böyle bir şeyi daha önce,381
bir şey var değil mi,377
hadi hadi hadi hadi hadi,377
da da da da da,376
o da bir şey mi,372
güzel bir yer değil mi,370
ne olduğunu çok iyi biliyorsun,369
çok önemli bir şey değil,366
senin hakkında her şeyi biliyorum,365
bu da ne demek böyle,359
bunu bir daha asla yapma,359
yanlış olan bir şey var,358
evet ben de seni seviyorum,356
evet ya da hayır de,355
gereken çok önemli bir şey,354
burası çok güzel bir yer,353
bunu sana o mu söyledi,350
onu bir daha görmek istemiyorum,346
ne kadar hoş değil mi,345
bunun ne işi var burada,345
ne yapmak istiyorum biliyor musun,344
ama bir o kadar da,339
oh hayır hayır hayır hayır,339
ben seni daha çok seviyorum,339
belki de bu iyi bir,338
ama bu iyi bir şey,336
sen de biraz ister misin,335
başka ne var biliyor musun,333
her şey bir anda oldu,332
onun ne olduğunu biliyor musun,331
sadece sana yardım etmek istiyorum,328
teşekkür ederim çok teşekkür ederim,327
en son ne zaman yemek,327
bu çok kötü bir şey,326
olan bir şey var mı,324
senin hakkında hiçbir şey bilmiyorum,324
başka bir tane daha var,323
bir ya da iki gün,323
güzel bir gece değil mi,322
gereken önemli bir şey var,321
öyle bir şey var mı,321
bunu daha önce de gördüm,320
şey yok bir şey yok,319
özür dilerim çok özür dilerim,319
de en az senin kadar,318
ama sen bunu zaten biliyorsun,317
özel bir şey var mı,316
için bir şey var mı,314
için sana teşekkür etmek istiyorum,313
ona ne olduğunu biliyor musun,313
ve sen de bunu biliyorsun,312
bunun senin için ne kadar,312
burada hiç bir şey yok,309
hiç iyi bir zaman değil,309
burada bir tane daha var,308
güzel bir şey değil mi,308
hayır önemli bir şey değil,306
sen o işi bana bırak,305
o kadar da emin değilim,304
bekle bekle bekle bekle bekle,304
bir ve iki ve üç,303
para para para para para,302
seni o kadar çok seviyorum,302
bu biraz fazla değil mi,301
hepsi bu kadar da değil,299
seni görmek ne kadar güzel,298
aman tanrım bu da ne,297
ne kadar zor biliyor musun,297
sen de biliyorsun ben de,296
bunun benim için ne kadar,295
nasıl bir şey olduğunu biliyorum,295
ben de bir tane istiyorum,295
bir daha asla görmek istemiyorum,294
nerede olduğunu biliyorsun değil mi,292
bir şey görmek ister misiniz,291
seni bir daha ne zaman,291
bu çok güzel değil mi,291
ben de en az senin,289
gel de bana yardım et,289
böyle bir şey olabilir mi,288
hiçbir şey yapmak zorunda değilim,288
yeni bir şeyler var mı,286
bu tam olarak ne demek,284
o kadar da büyük değil,284
için önemli olan tek şey,283
bir sorun mu var bay,283
bir şey var mı efendim,282
ve bir ve iki ve,281
ne kadar da güzel bir,281
için bir neden var mı,281
bu senin için büyük bir,281
tüm bunlar ne demek oluyor,279
bir şey değil değil mi,278
bir daha seni görmek istemiyorum,276
ilgili bir şey biliyor musun,275
ben de sana aynı şeyi,274
hayır hayır bu doğru değil,273
bunlar da ne demek oluyor,270
evet ben de öyle dedim,266
burada benden başka kimse yok,265
bu neden bu kadar önemli,265
o kadar çok var ki,265
bu iyi bir zaman değil,265
ne demek oluyor şimdi bu,264
aslında ne var biliyor musun,263
hem iyi hem de kötü,262
hakkında bir şey söyledi mi,260
tamam ben de seni seviyorum,260
ve bu iyi bir şey,259
bir şey olmaz değil mi,259
bundan o kadar emin değilim,258
bu onun için çok önemli,257
artık bunun için çok geç,256
yok başka gün tek bugün,256
o kadar kötü bir şey,256
ne şimdi ne de sonra,256
başka bir kadın mı var,256
ben de sana bir şey,256
sen de benim kadar biliyorsun,255
bir iyi bir de kötü,254
ne işi var onun burada,254
bir şeyi daha önce hiç,253
ne de başka bir şey,253
yanlış bir şey mi dedim,252
ne kadar önemli olduğunu biliyorsun,252
hiç bu kadar güzel bir,251
onun ne olduğunu bile bilmiyorum,251
başka bir yer var mı,251
bir şey yapmak ister misin,250
ama bugün o gün değil,249
kötü bir şey mi var,247
bu yer de ne böyle,246
bir şey oldu değil mi,246
bu çok önemli bir şey,246
gibi bir şey değil mi,245
o zaman bana yardım et,245
o da ne demek şimdi,243
bu daha iyi değil mi,243
neden bu kadar önemli ki,242
o kadar da büyük bir,240
şu an iyi bir zaman,240
harika bir gün değil mi,238
ama o kadar da kötü,238
gel ve bana yardım et,238
bunun senin için zor olduğunu,238
bu işte çok para var,237
hey ne var ne yok,237
burası çok güzel değil mi,237
da kötü değil değil mi,236
bunun ne kadar önemli olduğunu,235
o kadar da kötü biri,235
seni burada görmek ne güzel,234
en son o zaman gördüm,234
o daha küçük bir çocuk,233
kim olduğunu çok iyi biliyorum,232
bir şey olduğunu biliyor musun,232
nasıl bir şey biliyor musun,231
bu da bir şey mi,231
bu çok büyük bir şey,230
sen de çok iyi biliyorsun,230
selam ne var ne yok,230
o şey de ne öyle,230
bunun ne kadar zor olduğunu,229
bana yardım etmek istiyor musun,228
bana sadece bir dakika ver,228
az önce ne dedim ben,228
ne kadar güzel bir yer,228
sana bir şey mi söyledi,228
olan da bu değil mi,228
başka bir yere gidelim mi,227
hakkında hiç bir şey bilmiyorum,227
onun gibi bir şey evet,226
hey bu da ne böyle,226
kötü bir şey mi bu,225
nasıl bir şey olduğunu biliyor,225
o sadece küçük bir kız,224
başka bir şey istiyor musun,224
ben de ona dedim ki,222
bir şey var mı bay,222
çok uzun bir gün oldu,222
ve önemli olan da bu,221
bu kadar güzel bir şey,220
senin kim olduğunu bile bilmiyorum,219
bunu gerçekten yapmak istiyor musun,219
bir tane daha mı var,218
benim için bir şey var,218
seni görmek gerçekten çok güzel,218
benim için önemli olan tek,218
bundan daha kötü ne olabilir,218
ben de tam olarak bunu,218
pek iyi bir zaman değil,216
bu önemli bir şey değil,216
bu daha bir şey değil,216
git git git git git,216
onun gibi bir şey işte,216
böyle bir şey nasıl olur,216
belki öyle belki de değil,215
onun hakkında hiçbir şey bilmiyorum,215
bu o kadar kötü mü,214
başka bir tane daha mı,213
o kadar da güzel değil,212
bu bizim için büyük bir,212
böyle bir şey var mı,212
bu şekilde olmak zorunda değil,211
ne kadar çok o kadar,210
bu kadar önemli olan nedir,209
sonra ne oldu biliyor musun,208
tam olarak ne olduğunu bilmiyorum,207
seni bir daha asla görmek,207
önemli bir şey var mı,206
kötü bir şey değil mi,205
bu benim için çok fazla,204
ve bu da senin için,204
bugün çok güzel bir gün,203
bundan daha önemli ne olabilir,203
ilgili bir şey söyledi mi,202
önemli olan bu değil mi,202
ve iki ve üç ve,202
ama o gün bugün değil,202
onun kim olduğunu bile bilmiyorum,202
ne demek biliyorsun değil mi,201
bu hiç de doğru değil,200
sizi görmek ne kadar güzel,200
ne sen ne de ben,200
bunun hakkında bir şey bilmiyorum,199
bir daha asla böyle bir,199
önemli olan da bu zaten,199
an iyi bir zaman değil,199
hayır hiç de öyle değil,198
harika bir yer değil mi,198
hayır hayır hiç de değil,198
tam olarak ne iş yapıyorsun,198
ben de öyle dedim zaten,197
hem evet hem de hayır,197
çok önemli bir şey oldu,196
kadar da kötü bir şey,196
hala bir şey yok mu,196
bunun için çok özür dilerim,196
bunu daha fazla yapmak istemiyorum,195
önemli olan da bu değil,195
peki sen bunu nereden biliyorsun,195
bana yardım etmek mi istiyorsun,195
her an her şey olabilir,194
bir şey öyle değil mi,194
onun nerede olduğunu biliyor musun,194
hepsi bu kadar mı efendim,194
bu hiç de hoş değil,194
aman tanrım çok özür dilerim,194
ama bu demek değil ki,194
bunun ne olduğunu bile bilmiyorum,193
burası o kadar da kötü,193
nedir bu kadar önemli olan,193
benim için ne demek olduğunu,193
ne güzel bir gün değil,192
sen de biliyorsun değil mi,192
sana göre bir iş var,192
o zaman neden bu kadar,192
senin hakkında çok şey biliyorum,192
bana da yer var mı,192
o kadar da iyi değilim,192
demek olduğunu biliyorsun değil mi,191
senin için sorun değil mi,191
hem de hiç iyi değil,191
bir sorun mu var bayan,190
daha iyi bir şey var,190
ne kadar zor olduğunu biliyor,190
seni görmek çok güzel dostum,190
yarın büyük bir gün olacak,190
daha önce de oldu mu,189
başka bir şey oldu mu,189
burada da bir tane var,189
neden bana karşı bu kadar,188
tamam o zaman ben de,187
bunun gibi bir şey mi,187
bence bu iyi bir şey,187
benim için hiç sorun değil,187
bu iş bana göre değil,187
bir tane daha ister misiniz,186
benim için çok önemli bir,186
bu çok uzun bir zaman,186
için her şey hazır mı,186
seni öyle çok seviyorum ki,186
benim için önemli olan bu,186
bunun ne demek olduğunu biliyorum,186
o çok iyi bir çocuk,186
bunun hakkında bir şey biliyor,185
daha iyi bir yer var,185
öyle ya da böyle bu,185
ya da başka bir yere,185
burası nasıl bir yer böyle,185
pek fazla bir şey değil,184
sizi burada görmek ne güzel,184
benim için çok büyük bir,184
için size teşekkür etmek istiyorum,184
aslında o kadar da kötü,183
sen burada bekle tamam mı,183
ben senin kim olduğunu biliyorum,183
seni o kadar seviyorum ki,182
ne demek olduğunu biliyorsun değil,182
peki bu ne demek oluyor,182
bu kadar çok şeyi nereden,182
ona iyi bak tamam mı,182
ben de senin kadar biliyorum,181
şey için çok teşekkür ederim,181
bu daha önce de oldu,181
sadece evet ya da hayır,181
o kadar da uzun değil,180
kabul et ya da git,180
için daha iyi bir yer,180
hayır başka bir şey yok,180
o zaman başka bir şey,180
hadi başka bir yere gidelim,179
onu daha önce hiç böyle,178
kadar çok o kadar iyi,178
lanet olsun bu da ne,178
hakkında bir şey var mı,177
her şey için çok teşekkür,177
her şey için teşekkür etmek,177
o kadar da çok değil,177
gerçekten o kadar kötü mü,177
o kadar kötü biri değil,177
o çok iyi bir insan,177
evet bir sorun mu var,176
onu en son o zaman,176
şu ya da bu şekilde,176
bunun için sana teşekkür ederim,176
aslında bir şey daha var,176
kadar da kötü değil değil,175
bir şeyler yemek ister misiniz,175
nasıl oldu da bu kadar,175
gereken daha önemli şeyler var,174
kadın ben olabilir miyim söyle,174
ben bundan pek emin değilim,174
bu hiç de iyi bir,174
hayır bu iyi bir şey,173
her şeyi biliyorsun değil mi,173
gereken tek bir şey var,173
o kadar uzun zaman oldu,172
bu bir sorun olur mu,172
ama yine de sağ ol,170
sen en son ne zaman,170
bu o kadar zor mu,170
ne hakkında olduğunu biliyor musun,170
şimdi nerede olduğunu biliyor musun,170
için bu kadar önemli mi,170
için sorun olmaz değil mi,170
küçük bir şey daha var,169
yok bir şey yok bir,169
o kadar çok istiyorum ki,168
önemli bir şey değil mi,168
ama benim için bir şey,168
tam olarak nerede olduğunu biliyorum,168
benim de bir tane var,167
pek fazla bir şey yok,167
yani bu demek oluyor ki,167
ve ne oldu biliyor musun,167
ama sonra bir şey oldu,167
neden böyle bir şey yapmak,167
artık sadece sen ve ben,166
ben kötü bir adam değilim,166
onun orada ne işi var,166
bu senin için çok zor,165
peki bu ne zaman olacak,165
ne demek oluyor bu şimdi,165
bunun hakkında hiçbir şey bilmiyorum,165
benim için ne kadar zor,164
çok daha iyi bir şey,164
her şey daha güzel olacak,163
belki de o kadar kötü,163
benim için bir sorun yok,163
hakkında pek bir şey bilmiyorum,163
aynı şey senin için de,163
bu çok özel bir şey,163
bu çok zor bir şey,163
bence bu harika bir şey,162
o benim en iyi dostum,162
kadar zor olduğunu biliyor musun,162
burada ne işi var onun,162
hayır hayır öyle bir şey,162
bu kadar önemli olan şey,161
sizin için çok zor olmalı,161
ve ben de seni seviyorum,161
senin için önemli olduğunu biliyorum,160
ben iyi bir adam değilim,160
bu o kadar önemli değil,160
benden daha iyi olduğunu mu,160
bu senin için bir şey,160
o çok iyi bir kız,160
bunun için gerçekten çok üzgünüm,160
ama önemli olan bu değil,160
bir dakika dur bir dakika,159
o kadar da küçük değil,159
ben de bundan söz ediyorum,159
senin için bir iş var,159
kötü bir şey değil ki,158
oh oh oh oh oh,158
bana yardım mı etmek istiyorsun,158
hayır tam olarak öyle değil,158
size bir şey söyledi mi,158
bu senin için çok kötü,158
ne yani bu kadar mı,158
de ne var biliyor musun,158
bütün bunlar da ne demek,157
ne kadar kötü değil mi,157
ve bir o kadar da,157
o kadar da iyi bir,157
yanlış olan bir şey yok,157
diye bir şey var mı,157
benim için her şey demek,156
çok zor bir şey değil,156
bir de ne var biliyor,156
de en az onun kadar,155
ne demek olduğunu bile bilmiyorum,155
bize bir dakika izin ver,155
evet bu çok iyi olur,155
ki bu iyi bir şey,154
ne kadar uzun zaman oldu,154
bir şeyler biliyorsun değil mi,153
bana bir şey için söz,153
bu benim için yeni bir,153
bu senin için iyi bir,153
bana bir şey var mı,153
bu çok kötü değil mi,153
orada bir şey mi var,153
ama başka bir şey var,153
de en az benim kadar,152
ben asla böyle bir şey,152
çok büyük bir şey değil,152
olan bir şey mi var,152
öyle bir şey yok ki,151
bunun için bir neden yok,151
bunun için biraz geç değil,151
bir ya da iki saat,151
bu senin için çok önemli,151
sen de benim kadar iyi,151
gibi bir şey var mı,151
benim için de çok zor,150
benim için böyle bir şey,150
da önemli bir şey değil,150
daha önemli ne olabilir ki,150
nasıl olur da bu kadar,150
kadar çok şeyi nereden biliyorsun,150
başka şeyler de var mı,149
neden senin için bu kadar,149
bu bizim için çok önemli,148
o da ne demek öyle,148
sizi burada görmek çok güzel,148
bu senin için zor olmalı,148
kadar uzun zaman oldu ki,148
daha kötü şeyler de var,147
sanırım bu iyi bir şey,147
ne olduğunu çok iyi biliyorum,147
o çok güzel değil mi,147
bu şekilde olduğu için üzgünüm,147
bir sorun var değil mi,147
burada çok fazla insan var,147
benim için artık çok geç,146
oh bir şey daha var,146
bu çok iyi değil mi,146
seni görmek her zaman güzel,146
seni seviyorum biliyorsun değil mi,146
bu kadar çok mu istiyorsun,146
o çok iyi bir adam,146
evet çok güzel değil mi,146
gereken başka bir şey daha,146
seni çok ama çok seviyorum,146
benden bir şey mi istiyorsun,145
bu çok önemli tamam mı,145
hayır o kadar da değil,145
ama başka bir şey daha,145
en son ve en büyük,145
nasıl böyle bir şey olabilir,145
öyle bir şey mi var,145
o kadar da kötü değilim,145
gereken bir yer mi var,145
hakkında bir şeyler biliyor musun,144
onun ne demek olduğunu bilmiyorum,144
ben de seni seviyorum dostum,144
böyle bir şey daha önce,144
sana ne lazım biliyor musun,143
ben kötü bir insan değilim,143
ben küçük bir çocuk değilim,143
şimdi beni çok iyi dinle,143
artık küçük bir kız değilim,143
bu çok fazla değil mi,143
sizin için ne kadar zor,143
ve son bir şey daha,142
bu doğru öyle değil mi,142
ama ne oldu biliyor musun,141
burada da bir şey yok,141
burada ne işi var bunun,141
ne işi var bunun burada,141
bugün güzel bir gün olacak,141
bana tek bir şey söyle,141
benden tam olarak ne istiyorsun,141
bu o kadar kötü değil,141
bu mu yoksa bu mu,141
bütün bunlar da ne böyle,140
yardım etmek için her şeyi,140
o çok güzel bir kadın,140
ve bir de bu var,140
bu senin için çok iyi,140
ben de senin gibi bir,140
sana göre bir şey yok,140
onu hiç bu kadar mutlu,140
ona iyi bak olur mu,140
ne olduğunu tam olarak bilmiyorum,139
o zaman burada ne yapıyorsun,139
orada bir sorun mu var,139
da kötü bir şey değil,139
her şey çok iyi olacak,139
sizin için sorun olur mu,139
her şey için çok geç,138
hayır başka bir şey var,138
ne var ne yok bakalım,138
bir adam ve bir kadın,138
buna daha ne kadar devam,138
bu sorun olmaz değil mi,138
şimdi iyi bir zaman değil,138
tam bana göre bir yer,138
hiç hoş bir şey değil,137
bana onun nerede olduğunu söyle,137
o benim için çok önemli,137
ne kadar önemli olduğunu biliyor,137
sen mi yoksa ben mi,137
sen de en az benim,136
sen sen sen ve sen,136
bir şey daha var efendim,136
bana bir gün daha ver,136
daha önemli bir şey var,136
ama böyle olmak zorunda değil,136
hayır ne var biliyor musun,136
neden böyle bir şey yapıyorsun,136
tüm bunlar da ne demek,136
buna gerçekten gerek var mı,136
da başka bir şey ister,136
artık o kadar emin değilim,136
de benim kadar iyi biliyorsun,136
ne senin ne de benim,135
sadece bir ya da iki,135
senin için özel bir şey,135
o zaman ben de seninle,135
bana bir tane daha ver,135
diye bir şey yok mu,134
evet ama bu şekilde değil,134
neden bir sorun mu var,134
ne kadar iyi olabilir ki,134
önce benim için bir şey,134
ama küçük bir sorun var,134
bu ne kadar zor olabilir,134
de en az sizin kadar,134
bir şey değil tamam mı,134
böyle şeyler her zaman olur,134
bir şey mi oldu yoksa,134
hayır hayır hayır sorun değil,134
o zaman ben de sana,133
için en son ve en,133
tam olarak ne demek oluyor,133
bu doğru bir şey değil,133
eğer başka bir şey yoksa,132
git ve bir daha geri,132
bir tane daha var mı,132
bunun için biraz geç oldu,132
o kadar önemli bir şey,132
ama bu aynı şey değil,132
orada hiç bir şey yok,131
burada bir yerde olduğunu biliyorum,131
bu senin için neden bu,131
önce mi yoksa sonra mı,131
bugün çok özel bir gün,131
uzun zaman önce çok çok,131
bunun nasıl olduğunu biliyor musun,131
için ne güzel bir gün,131
bunun için çok teşekkür ederim,131
burada pek bir şey yok,131
benim için yeni bir şey,131
için iyi bir yer değil,131
onu daha önce de gördüm,131
hazır ol hazır ol hazır,130
sadece sen ve ben mi,130
bu seni mutlu mu ediyor,130
tek bir şey bile yok,130
ol hazır ol hazır ol,130
hadi ama o kadar da,129
kadar da kötü biri değil,129
bir ya da iki tane,129
yardım et ben de sana,129
bunu en son ne zaman,129
bu senin için bir sorun,129
hayır bu başka bir şey,129
daha ne kadar kötü olabilir,128
hiç iyi bir şey değil,128
fazla bir şey değil ama,128
ne kadar güzel bir kız,128
önemli olan tek şey o,128
için zor olduğunu biliyorum ama,128
bu iyi bir şey olabilir,128
olan tek bir şey var,128
öyle bir şey dedim mi,128
bu çok iyi bir şey,127
bu benim için de zor,127
çok ama çok teşekkür ederim,127
nasıl oluyor da bu kadar,127
her gün yeni bir şey,127
yardım edin lütfen yardım edin,127
nasıl bu kadar çok şey,127
bu da bir şey değil,127
yarın uzun bir gün olacak,127
da bir şey değil mi,127
gereken bir kaç şey var,127
daha önemli bir şey yok,127
bunun iyi bir şey olduğunu,127
ben küçük bir kız değilim,126
başka bir şey mi vardı,126
daha fazla para mı istiyorsun,126
bunu sen de biliyorsun ben,126
en son ne zaman böyle,126
ne kadar olduğunu biliyor musun,126
ben hiç bir şey bilmiyorum,126
ve bunun için özür dilerim,126
artık küçük bir çocuk değilim,126
yoksa bana mı öyle geliyor,126
da bunun gibi bir şey,125
yarın diye bir şey yok,125
kadar önemli olan şey ne,125
çünkü öyle bir şey yok,125
kadar kötü bir şey mi,125
başka ne var ne yok,124
bu her şeyi daha da,124
senin için çok zor olduğunu,124
ben de senin için aynı,124
bu hoş bir şey değil,124
sana çok önemli bir şey,124
çok ama çok kötü bir,124
çok güzel bir gün değil,124
bir daha asla ama asla,123
senin olduğu kadar benim de,123
ne kadar güzel bir şey,123
neden bu kadar önemli olduğunu,122
onun hakkında başka ne biliyorsun,122
gel de al o zaman,122
gel buraya gel buraya gel,122
teşekkür ederim her şey için,122
al sana bir tane daha,122
bana da bir tane ver,121
bunun gibi bir şey işte,121
bana yardım et ben de,121
gerçekten bunu yapmak istiyor musun,121
bu benim için çok şey,121
senin gibi güzel bir kız,121
bu kadar çok şey biliyorsun,121
hakkında bu kadar şeyi nereden,121
bu benim için sorun değil,120
başka da bir şey yok,120
şimdi beni dinle tamam mı,120
buraya gel buraya gel buraya,120
aman tanrım sen iyi misin,120
senin için daha iyi bir,120
belki de başka bir şey,120
hâlâ bir şey yok mu,120
benim için en önemli şey,120
en son ne zaman bu,120
ben de pek emin değilim,120
seni yine görmek ne güzel,119
çok güzel bir şey bu,119
siz bir şey ister misiniz,119
senin için sorun olmaz değil,119
şu anda nerede olduğunu biliyor,119
tanrım bu da ne böyle,119
bir şey yapma tamam mı,119
başka bir şey daha vardı,119
hayır hayır bir şey yok,118
olan her şey var mı,118
bu gece özel bir gece,118
dur dur dur bir dakika,118
ama yine de teşekkür ederim,118
daha fazla bir şey yok,118
bu yüzden mi bu kadar,118
bunu sana ne zaman söyledi,118
yani bu iyi bir şey,118
hayır hayır hiç de bile,118
bir daha burada görmek istemiyorum,117
şey için çok özür dilerim,117
tane daha bir tane daha,117
gerçekten çok güzel değil mi,117
seni burada görmek çok güzel,117
özel bir şey mi var,117
evet hem de çok iyi,117
ne kadar iyi değil mi,117
için çok geç değil mi,117
bunun benim için ne demek,117
yeni bir şey değil ki,117
bunun için çok geç artık,117
o kadar da önemli bir,117
çok daha iyi teşekkür ederim,117
bu çok zor bir iş,116
seni en son ne zaman,116
daha iyi olur değil mi,116
ben de öyle dedim ya,116
o çok güzel bir kız,116
evet ne var biliyor musun,116
bir tane daha bir tane,116
hiç bu kadar büyük bir,116
neden bir şey mi oldu,116
olacak diye bir şey yok,116
orada bir şey var mı,116
bundan daha iyi ne olabilir,116
orada pek bir şey yok,116
bunun için iyi bir zaman,115
sizi tekrar görmek ne hoş,115
hayır hayır hiç gerek yok,115
önce hiç bu kadar güzel,115
bu adam hakkında ne biliyorsun,115
tekrar ve tekrar ve tekrar,115
o da senin için aynı,115
senin için bir sorun mu,115
senin için iyi bir şey,115
çok çok uzun zaman önce,115
hem de çok büyük bir,114
ile ilgili bir sorun var,114
şimdi ne olacak biliyor musun,114
bir şey var mı bayan,114
en iyi şey bu mu,114
sizi tekrar görmek çok hoş,114
da bu değil mi zaten,114
sana bir şey mi oldu,114
öyle ya da böyle o,114
burada ne işi var ki,114
için iyi bir gün değil,113
buraya gel ve yardım et,113
yani hepsi bu kadar mı,113
orada bir tane daha var,113
bir şey için söz ver,113
bu hiç hoş değil dostum,113
bir gün öyle değil mi,113
için mi senin için mi,113
çok daha büyük bir şey,113
bunun için ne kadar istiyorsun,112
bu doğru mu değil mi,112
tek şey var o da,112
her şey için tekrar teşekkürler,112
ama bu çok uzun zaman,112
evet bunu daha önce de,112
bu o kadar da zor,112
peki sen burada ne yapıyorsun,112
burada senin için bir şey,112
hayır olur mu öyle şey,111
peki sen ne iş yapıyorsun,111
senin için önemli değil mi,111
senin için sorun olmaz mı,111
yani bu ne demek oluyor,111
ama bir de şu var,111
sizin için zor olduğunu biliyorum,111
başka bir şey de olabilir,111
bir tane de bana ver,111
seni daha önce hiç böyle,110
bir şey daha önce hiç,110
önemli bir şey mi var,110
bu çok büyük bir sorun,110
bu çok önemli bir an,110
biri bana burada neler olduğunu,110
evet ya da hayır diye,110
onun gibi bir şey mi,110
daha önce bunun gibi bir,110
burada yanlış bir şeyler var,109
sen de istiyorsun değil mi,109
