fourgram,fivegram,frequency
güzel öyle değil mi,çok güzel öyle değil mi,471
kadar önemli olduğunu biliyorum,ne kadar önemli olduğunu biliyorum,466
başka bir şey mi,yoksa başka bir şey mi,466
ne kadar önemli olduğunu,ne kadar önemli olduğunu biliyorum,466
o kadar da iyi,o kadar da iyi değil,462
ilgili bir şey var,ilgili bir şey var mı,461
bir şey var mı,ilgili bir şey var mı,461
için ne kadar önemli,senin için ne kadar önemli,460
senin için ne kadar,senin için ne kadar önemli,460
iyi bir zaman değil,için iyi bir zaman değil,459
için iyi bir zaman,için iyi bir zaman değil,459
çok önemli bir şey,çok önemli bir şey var,457
önemli bir şey var,çok önemli bir şey var,457
biraz geç değil mi,için biraz geç değil mi,456
için biraz geç değil,için biraz geç değil mi,456
ve bunu sen de,ve bunu sen de biliyorsun,450
bunu sen de biliyorsun,ve bunu sen de biliyorsun,450
her şey için çok,her şey için çok üzgünüm,448
senin için bir şey,senin için bir şey var,445
için bir şey var,senin için bir şey var,445
bu kötü bir şey,bu kötü bir şey değil,438
kötü bir şey değil,bu kötü bir şey değil,438
tekrar görmek çok güzel,sizi tekrar görmek çok güzel,436
gereken bir şey mi,gereken bir şey mi var,436
bir şey mi var,gereken bir şey mi var,436
bir şey ister misin,sen bir şey ister misin,434
ne demek olduğunu biliyorsun,bunun ne demek olduğunu biliyorsun,433
şimdi ya da asla,ya şimdi ya da asla,433
bunun ne demek olduğunu,bunun ne demek olduğunu biliyorsun,433
ya şimdi ya da,ya şimdi ya da asla,433
bir şey lazım mı,başka bir şey lazım mı,431
bir ya da iki,bir ya da iki kez,431
bu o kadar da,bu o kadar da kötü,427
için çok zor olmalı,senin için çok zor olmalı,427
o kadar da kötü,bu o kadar da kötü,427
olan bir şeyler var,yanlış olan bir şeyler var,427
senin için çok zor,senin için çok zor olmalı,427
her şey daha iyi,her şey daha iyi olacak,426
ne kadar güzel bir,ne kadar güzel bir gün,426
bir şey değil mi,harika bir şey değil mi,425
az önce ne oldu,az önce ne oldu öyle,417
bu benim için çok,bu benim için çok zor,413
benim için çok zor,bu benim için çok zor,413
ben de seni çok,ben de seni çok seviyorum,411
en son ne zaman,onunla en son ne zaman,409
için neden bu kadar,senin için neden bu kadar,407
bir sorun mu var,burada bir sorun mu var,405
ne var biliyor musun,tamam ne var biliyor musun,404
benim için büyük bir,bu benim için büyük bir,403
bu benim için büyük,bu benim için büyük bir,403
tam olarak ne demek,tam olarak ne demek istiyorsun,402
için daha iyi olur,senin için daha iyi olur,401
senin için daha iyi,senin için daha iyi olur,401
bir şey var mı,bir şey var mı diye,401
olduğunu biliyorsun değil mi,kim olduğunu biliyorsun değil mi,400
neden bu kadar önemli,için neden bu kadar önemli,399
için neden bu kadar,için neden bu kadar önemli,399
evet evet evet evet,evet evet evet evet evet,398
doğru değil değil mi,bu doğru değil değil mi,396
daha iyi değil mi,böyle daha iyi değil mi,395
bir şey daha var,ama bir şey daha var,393
ve bir şey daha,ve bir şey daha var,393
her şey için çok,her şey için çok teşekkürler,393
bir şey daha var,ve bir şey daha var,393
şey yok tamam mı,bir şey yok tamam mı,392
bu da iyi bir,bu da iyi bir şey,390
bu yeni bir şey,bu yeni bir şey değil,388
yeni bir şey değil,bu yeni bir şey değil,388
o kadar da değil,ama o kadar da değil,388
ama o kadar da,ama o kadar da değil,388
bu çok güzel bir,bu çok güzel bir şey,388
çok güzel bir şey,bu çok güzel bir şey,388
bana biraz daha zaman,bana biraz daha zaman ver,387
ya şimdi ya da,ya şimdi ya da hiç,384
bir şeyi daha önce,böyle bir şeyi daha önce,381
şey var değil mi,bir şey var değil mi,377
hadi hadi hadi hadi,hadi hadi hadi hadi hadi,377
da da da da,da da da da da,376
bir yer değil mi,güzel bir yer değil mi,370
önemli bir şey değil,çok önemli bir şey değil,366
çok önemli bir şey,çok önemli bir şey değil,366
hakkında her şeyi biliyorum,senin hakkında her şeyi biliyorum,365
senin hakkında her şeyi,senin hakkında her şeyi biliyorum,365
bunu bir daha asla,bunu bir daha asla yapma,359
bu da ne demek,bu da ne demek böyle,359
olan bir şey var,yanlış olan bir şey var,358
yanlış olan bir şey,yanlış olan bir şey var,358
evet ben de seni,evet ben de seni seviyorum,356
ben de seni seviyorum,evet ben de seni seviyorum,356
evet ya da hayır,evet ya da hayır de,355
çok önemli bir şey,gereken çok önemli bir şey,354
gereken çok önemli bir,gereken çok önemli bir şey,354
çok güzel bir yer,burası çok güzel bir yer,353
bir daha görmek istemiyorum,onu bir daha görmek istemiyorum,346
ne işi var burada,bunun ne işi var burada,345
oh hayır hayır hayır,oh hayır hayır hayır hayır,339
hayır hayır hayır hayır,oh hayır hayır hayır hayır,339
bir o kadar da,ama bir o kadar da,339
ama bu iyi bir,ama bu iyi bir şey,336
bu iyi bir şey,ama bu iyi bir şey,336
ne var biliyor musun,başka ne var biliyor musun,333
her şey bir anda,her şey bir anda oldu,332
ne olduğunu biliyor musun,onun ne olduğunu biliyor musun,331
sana yardım etmek istiyorum,sadece sana yardım etmek istiyorum,328
en son ne zaman,en son ne zaman yemek,327
çok kötü bir şey,bu çok kötü bir şey,326
bu çok kötü bir,bu çok kötü bir şey,326
bir şey var mı,olan bir şey var mı,324
olan bir şey var,olan bir şey var mı,324
hakkında hiçbir şey bilmiyorum,senin hakkında hiçbir şey bilmiyorum,324
bir ya da iki,bir ya da iki gün,323
başka bir tane daha,başka bir tane daha var,323
bir tane daha var,başka bir tane daha var,323
bir şey var mı,öyle bir şey var mı,321
önemli bir şey var,gereken önemli bir şey var,321
daha önce de gördüm,bunu daha önce de gördüm,320
bunu daha önce de,bunu daha önce de gördüm,320
şey yok bir şey,şey yok bir şey yok,319
yok bir şey yok,şey yok bir şey yok,319
en az senin kadar,de en az senin kadar,318
özel bir şey var,özel bir şey var mı,316
bir şey var mı,özel bir şey var mı,316
bir şey var mı,için bir şey var mı,314
için bir şey var,için bir şey var mı,314
sana teşekkür etmek istiyorum,için sana teşekkür etmek istiyorum,313
ne olduğunu biliyor musun,ona ne olduğunu biliyor musun,313
için sana teşekkür etmek,için sana teşekkür etmek istiyorum,313
sen de bunu biliyorsun,ve sen de bunu biliyorsun,312
ve sen de bunu,ve sen de bunu biliyorsun,312
senin için ne kadar,bunun senin için ne kadar,312
iyi bir zaman değil,hiç iyi bir zaman değil,309
hiç bir şey yok,burada hiç bir şey yok,309
bir tane daha var,burada bir tane daha var,308
bir şey değil mi,güzel bir şey değil mi,308
önemli bir şey değil,hayır önemli bir şey değil,306
bekle bekle bekle bekle,bekle bekle bekle bekle bekle,304
seni o kadar çok,seni o kadar çok seviyorum,302
o kadar çok seviyorum,seni o kadar çok seviyorum,302
biraz fazla değil mi,bu biraz fazla değil mi,301
bu kadar da değil,hepsi bu kadar da değil,299
görmek ne kadar güzel,seni görmek ne kadar güzel,298
tanrım bu da ne,aman tanrım bu da ne,297
nasıl bir şey olduğunu,nasıl bir şey olduğunu biliyorum,295
bir şey olduğunu biliyorum,nasıl bir şey olduğunu biliyorum,295
benim için ne kadar,bunun benim için ne kadar,295
ben de bir tane,ben de bir tane istiyorum,295
bunun benim için ne,bunun benim için ne kadar,295
olduğunu biliyorsun değil mi,nerede olduğunu biliyorsun değil mi,292
bir şey görmek ister,bir şey görmek ister misiniz,291
bir daha ne zaman,seni bir daha ne zaman,291
çok güzel değil mi,bu çok güzel değil mi,291
ben de en az,ben de en az senin,289
bir şey olabilir mi,böyle bir şey olabilir mi,288
bir şeyler var mı,yeni bir şeyler var mı,286
bu tam olarak ne,bu tam olarak ne demek,284
o kadar da büyük,o kadar da büyük değil,284
tam olarak ne demek,bu tam olarak ne demek,284
bir sorun mu var,bir sorun mu var bay,283
önemli olan tek şey,için önemli olan tek şey,283
bir şey var mı,bir şey var mı efendim,282
ne kadar da güzel,ne kadar da güzel bir,281
senin için büyük bir,bu senin için büyük bir,281
bunlar ne demek oluyor,tüm bunlar ne demek oluyor,279
bir şey biliyor musun,ilgili bir şey biliyor musun,275
ben de sana aynı,ben de sana aynı şeyi,274
hayır bu doğru değil,hayır hayır bu doğru değil,273
da ne demek oluyor,bunlar da ne demek oluyor,270
ben de öyle dedim,evet ben de öyle dedim,266
evet ben de öyle,evet ben de öyle dedim,266
iyi bir zaman değil,bu iyi bir zaman değil,265
neden bu kadar önemli,bu neden bu kadar önemli,265
ne demek oluyor şimdi,ne demek oluyor şimdi bu,264
ne var biliyor musun,aslında ne var biliyor musun,263
ben de seni seviyorum,tamam ben de seni seviyorum,260
bir şey söyledi mi,hakkında bir şey söyledi mi,260
bu iyi bir şey,ve bu iyi bir şey,259
o kadar emin değilim,bundan o kadar emin değilim,258
bu onun için çok,bu onun için çok önemli,257
ben de sana bir,ben de sana bir şey,256
kadar kötü bir şey,o kadar kötü bir şey,256
bunun için çok geç,artık bunun için çok geç,256
o kadar kötü bir,o kadar kötü bir şey,256
sen de benim kadar,sen de benim kadar biliyorsun,255
de başka bir şey,ne de başka bir şey,253
ne de başka bir,ne de başka bir şey,253
bir şeyi daha önce,bir şeyi daha önce hiç,253
yanlış bir şey mi,yanlış bir şey mi dedim,252
ne kadar önemli olduğunu,ne kadar önemli olduğunu biliyorsun,252
bu kadar güzel bir,hiç bu kadar güzel bir,251
ne olduğunu bile bilmiyorum,onun ne olduğunu bile bilmiyorum,251
hiç bu kadar güzel,hiç bu kadar güzel bir,251
bir yer var mı,başka bir yer var mı,251
bir şey mi var,kötü bir şey mi var,247
kötü bir şey mi,kötü bir şey mi var,247
bu çok önemli bir,bu çok önemli bir şey,246
çok önemli bir şey,bu çok önemli bir şey,246
bir şey değil mi,gibi bir şey değil mi,245
gibi bir şey değil,gibi bir şey değil mi,245
o da ne demek,o da ne demek şimdi,243
daha iyi değil mi,bu daha iyi değil mi,243
da ne demek şimdi,o da ne demek şimdi,243
neden bu kadar önemli,neden bu kadar önemli ki,242
o kadar da büyük,o kadar da büyük bir,240
senin için zor olduğunu,bunun senin için zor olduğunu,238
ve bana yardım et,gel ve bana yardım et,238
bir gün değil mi,harika bir gün değil mi,238
ama o kadar da,ama o kadar da kötü,238
o kadar da kötü,ama o kadar da kötü,238
çok güzel değil mi,burası çok güzel değil mi,237
ne var ne yok,hey ne var ne yok,237
kötü değil değil mi,da kötü değil değil mi,236
o kadar da kötü,o kadar da kötü biri,235
ne kadar önemli olduğunu,bunun ne kadar önemli olduğunu,235
en son o zaman,en son o zaman gördüm,234
olduğunu çok iyi biliyorum,kim olduğunu çok iyi biliyorum,232
bir şey biliyor musun,nasıl bir şey biliyor musun,231
bu da bir şey,bu da bir şey mi,231
o şey de ne,o şey de ne öyle,230
bu çok büyük bir,bu çok büyük bir şey,230
ne var ne yok,selam ne var ne yok,230
çok büyük bir şey,bu çok büyük bir şey,230
ne kadar zor olduğunu,bunun ne kadar zor olduğunu,229
sana bir şey mi,sana bir şey mi söyledi,228
bir şey mi söyledi,sana bir şey mi söyledi,228
ne kadar güzel bir,ne kadar güzel bir yer,228
da bu değil mi,olan da bu değil mi,228
hiç bir şey bilmiyorum,hakkında hiç bir şey bilmiyorum,227
hakkında hiç bir şey,hakkında hiç bir şey bilmiyorum,227
başka bir yere gidelim,başka bir yere gidelim mi,227
onun gibi bir şey,onun gibi bir şey evet,226
bu da ne böyle,hey bu da ne böyle,226
hey bu da ne,hey bu da ne böyle,226
bir şey mi bu,kötü bir şey mi bu,225
nasıl bir şey olduğunu,nasıl bir şey olduğunu biliyor,225
kötü bir şey mi,kötü bir şey mi bu,225
bir şey istiyor musun,başka bir şey istiyor musun,224
bir şey var mı,bir şey var mı bay,222
uzun bir gün oldu,çok uzun bir gün oldu,222
önemli olan da bu,ve önemli olan da bu,221
kadar güzel bir şey,bu kadar güzel bir şey,220
bu kadar güzel bir,bu kadar güzel bir şey,220
kim olduğunu bile bilmiyorum,senin kim olduğunu bile bilmiyorum,219
ben de tam olarak,ben de tam olarak bunu,218
için bir şey var,benim için bir şey var,218
bir tane daha mı,bir tane daha mı var,218
daha kötü ne olabilir,bundan daha kötü ne olabilir,218
benim için önemli olan,benim için önemli olan tek,218
benim için bir şey,benim için bir şey var,218
önemli bir şey değil,bu önemli bir şey değil,216
git git git git,git git git git git,216
iyi bir zaman değil,pek iyi bir zaman değil,216
böyle bir şey nasıl,böyle bir şey nasıl olur,216
onun gibi bir şey,onun gibi bir şey işte,216
bu önemli bir şey,bu önemli bir şey değil,216
hakkında hiçbir şey bilmiyorum,onun hakkında hiçbir şey bilmiyorum,215
onun hakkında hiçbir şey,onun hakkında hiçbir şey bilmiyorum,215
o kadar kötü mü,bu o kadar kötü mü,214
bir tane daha mı,başka bir tane daha mı,213
başka bir tane daha,başka bir tane daha mı,213
bir şey var mı,böyle bir şey var mı,212
bizim için büyük bir,bu bizim için büyük bir,212
bu kadar önemli olan,bu kadar önemli olan nedir,209
ne oldu biliyor musun,sonra ne oldu biliyor musun,208
tam olarak ne olduğunu,tam olarak ne olduğunu bilmiyorum,207
seni bir daha asla,seni bir daha asla görmek,207
önemli bir şey var,önemli bir şey var mı,206
bir şey var mı,önemli bir şey var mı,206
bir şey değil mi,kötü bir şey değil mi,205
kötü bir şey değil,kötü bir şey değil mi,205
benim için çok fazla,bu benim için çok fazla,204
bu da senin için,ve bu da senin için,204
bu benim için çok,bu benim için çok fazla,204
çok güzel bir gün,bugün çok güzel bir gün,203
bir şey söyledi mi,ilgili bir şey söyledi mi,202
kim olduğunu bile bilmiyorum,onun kim olduğunu bile bilmiyorum,202
önemli olan bu değil,önemli olan bu değil mi,202
ne sen ne de,ne sen ne de ben,200
görmek ne kadar güzel,sizi görmek ne kadar güzel,200
iyi bir zaman değil,an iyi bir zaman değil,199
hakkında bir şey bilmiyorum,bunun hakkında bir şey bilmiyorum,199
önemli olan da bu,önemli olan da bu zaten,199
bunun hakkında bir şey,bunun hakkında bir şey bilmiyorum,199
bir daha asla böyle,bir daha asla böyle bir,199
bir yer değil mi,harika bir yer değil mi,198
hiç de öyle değil,hayır hiç de öyle değil,198
hayır hiç de değil,hayır hayır hiç de değil,198
ben de öyle dedim,ben de öyle dedim zaten,197
kadar da kötü bir,kadar da kötü bir şey,196
için çok özür dilerim,bunun için çok özür dilerim,196
çok önemli bir şey,çok önemli bir şey oldu,196
bir şey yok mu,hala bir şey yok mu,196
yardım etmek mi istiyorsun,bana yardım etmek mi istiyorsun,195
önemli olan da bu,önemli olan da bu değil,195
sen bunu nereden biliyorsun,peki sen bunu nereden biliyorsun,195
hepsi bu kadar mı,hepsi bu kadar mı efendim,194
nerede olduğunu biliyor musun,onun nerede olduğunu biliyor musun,194
bu kadar önemli olan,nedir bu kadar önemli olan,193
ne olduğunu bile bilmiyorum,bunun ne olduğunu bile bilmiyorum,193
o kadar da kötü,burası o kadar da kötü,193
güzel bir gün değil,ne güzel bir gün değil,192
senin hakkında çok şey,senin hakkında çok şey biliyorum,192
o kadar da iyi,o kadar da iyi değilim,192
ne güzel bir gün,ne güzel bir gün değil,192
olduğunu biliyorsun değil mi,demek olduğunu biliyorsun değil mi,191
bir sorun mu var,bir sorun mu var bayan,190
seni görmek çok güzel,seni görmek çok güzel dostum,190
ne kadar zor olduğunu,ne kadar zor olduğunu biliyor,190
daha iyi bir şey,daha iyi bir şey var,190
bir şey oldu mu,başka bir şey oldu mu,189
daha önce de oldu,daha önce de oldu mu,189
bunun gibi bir şey,bunun gibi bir şey mi,187
gibi bir şey mi,bunun gibi bir şey mi,187
bence bu iyi bir,bence bu iyi bir şey,187
o zaman ben de,tamam o zaman ben de,187
bu iyi bir şey,bence bu iyi bir şey,187
bu çok uzun bir,bu çok uzun bir zaman,186
çok iyi bir çocuk,o çok iyi bir çocuk,186
için her şey hazır,için her şey hazır mı,186
ne demek olduğunu biliyorum,bunun ne demek olduğunu biliyorum,186
için çok önemli bir,benim için çok önemli bir,186
çok uzun bir zaman,bu çok uzun bir zaman,186
bunun ne demek olduğunu,bunun ne demek olduğunu biliyorum,186
o çok iyi bir,o çok iyi bir çocuk,186
benim için çok önemli,benim için çok önemli bir,186
bir tane daha ister,bir tane daha ister misiniz,186
benim için önemli olan,benim için önemli olan bu,186
her şey hazır mı,için her şey hazır mı,186
bunun hakkında bir şey,bunun hakkında bir şey biliyor,185
öyle ya da böyle,öyle ya da böyle bu,185
hakkında bir şey biliyor,bunun hakkında bir şey biliyor,185
daha iyi bir yer,daha iyi bir yer var,185
ya da başka bir,ya da başka bir yere,185
