threegram,frequency
ben de onu,10742
harika değil mi,10734
için iyi bir,10733
peki o zaman,10722
sen de mi,10685
bu değil mi,10578
kadar da kötü,10556
ne olduğunu biliyor,10553
senin için ne,10526
ben de senin,10454
böyle bir şeyi,10435
kim var orada,10413
ne güzel bir,10396
daha büyük bir,10288
o zaman ne,10261
size bir şey,10222
hakkında bir şey,10174
yardım etmek için,10091
görmek ister misin,10040
ne var ne,10026
ben de bunu,10004
seni görmek güzel,9941
tabii ki hayır,9936
artık çok geç,9899
şey mi oldu,9880
o kadar iyi,9854
sen de biliyorsun,9798
çok uzun zaman,9746
nasıl bir şey,9654
ya da bir,9633
bu harika bir,9590
belki de bu,9576
hadi hadi hadi,9566
gerçek şu ki,9534
sen de öyle,9495
evet evet evet,9481
ne var biliyor,9425
biri var mı,9330
pek bir şey,9314
var ne yok,9292
teşekkür ederim efendim,9268
ne kadar çok,9268
her şey çok,9265
her zaman bir,9169
o kadar kötü,9126
bir şey bu,9058
dur dur dur,9015
için çok üzgünüm,8936
evet tabii ki,8922
olan var mı,8906
hem de nasıl,8858
bu büyük bir,8768
ne olduğunu bilmiyorum,8729
seni çok seviyorum,8665
güzel bir şey,8630
ne yapıyorsun burada,8594
bir şey söyle,8582
senin için çok,8555
tek bir şey,8546
bu kadar uzun,8470
senin gibi bir,8462
görmek çok güzel,8437
ne demek olduğunu,8370
bir tane var,8358
güzel bir gün,8335
sen iyi bir,8334
kim olduğunu biliyorum,8320
hayır teşekkür ederim,8282
bu da kim,8281
ona bir şey,8269
bu da bir,8259
sonra ne oldu,8258
seni bir daha,8254
çok ama çok,8238
ne oldu sana,8202
harika bir şey,8196
görmek ne güzel,8096
o zaman bu,8075
bunu yapmak zorunda,8062
başka bir yere,8039
belki de bir,7981
bir yer var,7978
bir saat içinde,7899
ne kadar kötü,7896
o zaman ben,7837
benden ne istiyorsun,7806
tek şey bu,7786
neler oluyor burada,7771
nerede olduğunu biliyor,7748
benim için de,7722
sizin için ne,7704
hem de hiç,7628
doğru değil mi,7614
niye bu kadar,7580
bu iş için,7572
hiç de değil,7556
hayır sorun değil,7551
yardım etmek istiyorum,7539
hakkında hiçbir şey,7464
bir şey ister,7437
bunu neden yapıyorsun,7394
neden biliyor musun,7330
sana ne oldu,7329
tam olarak değil,7297
bu çok önemli,7267
hiç iyi değil,7263
nasıl oldu da,7254
buna gerek yok,7218
bunun ne olduğunu,7184
neden böyle bir,7171
bir adam var,7169
onun gibi bir,7162
ben de bu,7132
ne olduğunu biliyorum,7115
başka bir yerde,7092
için büyük bir,7055
olan bir şey,7039
için bir şeyler,7004
fazla bir şey,6998
yeni bir şey,6946
ve şimdi de,6940
özel bir şey,6925
sadece bir tane,6896
hiçbir şey bilmiyorum,6879
bir şey için,6825
ne kadar iyi,6800
şey değil mi,6776
sorun olur mu,6747
iyi değil mi,6742
özür dilerim ama,6726
nasıl olur da,6661
ver şunu bana,6651
hakkında ne biliyorsun,6636
ben de seninle,6600
etmek ister misin,6597
ne kadar zor,6589
için çok önemli,6587
bir dakika bekle,6566
o iyi mi,6557
ne var ki,6553
ne demek şimdi,6504
çok özel bir,6434
de öyle değil,6430
benim için mi,6385
hiç gerek yok,6382
sen de benim,6370
şey yok mu,6363
sana yardım etmek,6356
hiç böyle bir,6337
emin olmak için,6325
ne yapmak istiyorsun,6316
ver onu bana,6313
o zaman bir,6269
burada ne işi,6237
bu kadar iyi,6206
çok daha fazla,6199
bu o mu,6184
hiç de bile,6183
ben de tam,6171
ben hiçbir şey,6160
ol tamam mı,6154
olan tek şey,6153
ya da geç,6145
güzel bir yer,6136
de aynı şeyi,6128
bir şeyi yok,6120
senin için de,6116
ama bir şey,6097
o iyi bir,6084
çok hoş bir,6081
o sadece bir,6038
pek emin değilim,6005
için çok geç,5988
ve o da,5938
hiç bir zaman,5935
hiç sorun değil,5924
ben de aynı,5919
sen de bir,5914
ama şu anda,5900
ve bir de,5896
üç iki bir,5869
bekle bekle bekle,5864
olduğunu biliyorum ama,5848
bir saat önce,5829
sadece sen ve,5821
bunun için çok,5806
daha iyi olacak,5802
bir şey söyledi,5764
bir şey olmalı,5750
çok iyi olur,5733
sorun şu ki,5722
büyük bir şey,5684
ve bir daha,5668
sonra ne olacak,5665
her şey hazır,5657
ne oldu ki,5632
yok tamam mı,5620
bir şey bilmiyorum,5619
bu hiç iyi,5608
bir saat sonra,5607
istiyorsun değil mi,5605
ben de ona,5580
ama şu an,5579
kim olduğunu biliyor,5573
özür dilerim efendim,5565
bir şey yapmak,5534
bu daha iyi,5513
bunu benim için,5512
peki şimdi ne,5509
yardım et bana,5501
bir şeyler oluyor,5495
bu çok hoş,5494
bundan emin misin,5492
onu bir daha,5485
bunu bir daha,5483
bir kaç gün,5475
bu da benim,5450
hakkında bir şeyler,5447
çok uzun bir,5438
bu da nedir,5410
bir şey vardı,5407
hayır sağ ol,5403
da kötü değil,5401
bir sorun yok,5367
gibi değil mi,5366
ama değil mi,5356
evet ama bu,5340
ne kadar oldu,5320
onu bana ver,5318
bunu nereden biliyorsun,5314
her şey iyi,5285
bir tane de,5278
var mı diye,5268
da başka bir,5264
ne kadar zaman,5257
pek iyi değil,5235
iyi bir adam,5223
benim en iyi,5187
bir yer değil,5151
nasıl oluyor da,5136
ya da başka,5134
çok güzel değil,5131
sadece tek bir,5115
benden bu kadar,5062
beni iyi dinle,5052
evet bu doğru,5049
bu yüzden bu,5018
bir yere mi,5014
teşekkür etmek istiyorum,5010
bu iyi değil,4980
değil tamam mı,4975
burada bir şey,4974
ha ha ha,4968
bu kadar önemli,4966
şey ister misin,4952
bana yardım edin,4941
bu yüzden de,4933
bu kötü bir,4932
ve sonra da,4930
çok sağ ol,4927
bunun iyi bir,4920
ne olabilir ki,4918
bay ve bayan,4912
seni görmek çok,4911
çok zor bir,4885
küçük bir kız,4861
en iyi şey,4854
tamam tamam tamam,4838
bunu sen mi,4830
sen de bana,4808
ne kadar var,4808
o da kim,4806
herkes iyi mi,4802
hakkında çok şey,4799
ne oluyor burada,4794
tane daha var,4780
bu gece burada,4755
ne oldu böyle,4728
seni görmek istiyor,4725
için en iyi,4721
nerede olduğunu bilmiyorum,4719
sen de beni,4717
ile ilgili bir,4701
iyi bir iş,4657
bu ne böyle,4653
başka ne var,4651
buna bir son,4647
oh aman tanrım,4644
bu ne kadar,4643
iyi bir yer,4643
şu an için,4642
seni görmek ne,4628
hiç hoş değil,4626
ona ne oldu,4617
daha önce böyle,4607
için bu kadar,4599
ben de bilmiyorum,4598
da bir şey,4585
o zaman sen,4583
ben teşekkür ederim,4569
ve her şey,4568
ben her zaman,4560
bir an için,4560
benim de bir,4541
bunun için üzgünüm,4534
zor olduğunu biliyorum,4504
lütfen yardım edin,4504
bana her şeyi,4499
bunu senin için,4494
bir de bana,4494
benim için önemli,4490
de bir şey,4489
bu nasıl bir,4477
demek oluyor ki,4473
o da bir,4467
ama bu çok,4459
bunlar da ne,4443
için harika bir,4435
bir iş var,4433
bir gün daha,4432
başka bir zaman,4431
bu güzel bir,4419
istiyorum tamam mı,4414
peki ya bu,4412
sadece bir kez,4406
gerçekten çok üzgünüm,4402
benim için değil,4400
için güzel bir,4398
o ne demek,4393
oldu değil mi,4390
ama bu bir,4388
ne iş yapıyorsun,4388
bir kez olsun,4375
sorun da bu,4373
bu mu yani,4371
yer var mı,4353
seni tekrar görmek,4351
tabii ki de,4344
çok fazla şey,4344
ne zaman oldu,4343
şey bu mu,4332
birkaç gün önce,4330
için daha iyi,4328
hayır öyle değil,4323
bu yüzden onu,4323
bir şey yapma,4311
az önce ne,4310
şu anda bir,4306
gerçekten çok güzel,4302
ne kadar büyük,4299
bunun gibi bir,4298
bu o kadar,4277
bu çok fazla,4275
bunu sen de,4268
bu kadar emin,4267
kadar güzel bir,4266
sadece bir kaç,4260
o zaman bana,4258
de bu yüzden,4253
aynı şey değil,4251
kim olduğunu bilmiyorum,4251
bir yer yok,4248
ben de o,4244
benden daha iyi,4239
için çok teşekkür,4237
önce hiç böyle,4225
bana göre değil,4224
bu nasıl oldu,4218
ben sadece bir,4213
belki bir gün,4200
bir daha hiç,4189
bir hafta önce,4182
ben de çok,4175
güzel bir kız,4175
bir şey biliyor,4155
pek çok şey,4153
nerede olduğunu söyle,4145
kimse bir şey,4128
de ne demek,4126
her zaman böyle,4105
benim için ne,4098
peki ya ben,4096
olmaz değil mi,4094
birkaç yıl önce,4092
için yeni bir,4090
için bir neden,4088
hiç önemli değil,4079
hayır gerek yok,4076
sizin için bir,4059
şey de ne,4057
için çok teşekkürler,4052
kim bu adam,4046
sadece küçük bir,4045
bir şeyler mi,4029
senin için iyi,4011
için başka bir,4010
daha da kötü,4009
yapmak ister misin,4006
var tamam mı,4005
bunun için mi,4002
onun için çok,3976
şey söyledi mi,3972
öyle ya da,3953
başka bir tane,3939
de iyi bir,3929
bu nasıl olabilir,3926
ama hiçbir şey,3919
kadar büyük bir,3917
bana bir dakika,3905
harika bir iş,3904
onu daha önce,3904
nerede olduğunu biliyorum,3883
ya da böyle,3875
bir zaman değil,3873
yine de bir,3872
bu yüzden sana,3868
ama o kadar,3867
bir yıl önce,3863
aman ne güzel,3844
bir dakika lütfen,3838
son bir kez,3834
bu hiç de,3830
bunu yapmak için,3819
her yerde seni,3808
için üzgünüm ama,3807
böyle daha iyi,3805
yemek ister misin,3799
onun kim olduğunu,3795
gereken tek şey,3794
ya da daha,3794
peki sen ne,3793
önemli olan bu,3788
olan da bu,3783
ya da belki,3779
benim için sorun,3775
daha önce bir,3772
bir şeyler söyle,3766
beni bir daha,3754
bu gerçekten çok,3753
sadece bir dakika,3751
ne zaman bir,3751
seni daha önce,3741
o zaman da,3737
da bu zaten,3734
bak sana ne,3730
o da benim,3722
bir şeyler yapmak,3715
bir dakika izin,3707
sorun var mı,3704
ama ben de,3703
hayır tabii ki,3697
bu yeni bir,3663
bana hiçbir şey,3658
o zaman onu,3657
sana ne kadar,3654
o kadar mı,3653
ve bu yüzden,3652
her şey bir,3649
belki de o,3645
o kadar uzun,3641
sana hiçbir şey,3634
ilgili bir şeyler,3634
gerçekten çok iyi,3620
için çok fazla,3618
şimdi daha iyi,3613
biri mi var,3609
ama sen de,3605
hiç bir yere,3601
teşekkür ederim bay,3598
yapıyorsun değil mi,3597
de çok iyi,3595
de o kadar,3591
bir kaç dakika,3576
ne kadar para,3573
kadar kötü değil,3572
bunu ben de,3568
bir kız var,3568
bu yüzden seni,3565
tamam bu kadar,3564
burada kimse yok,3562
en önemli şey,3559
daha çok şey,3554
senin için her,3552
için de bir,3540
olan her şey,3533
bu tam bir,3532
ben de bundan,3527
bu gece bir,3525
bunun için bir,3522
onun için bir,3518
birkaç hafta önce,3503
bir hafta sonra,3494
son bir şey,3492
her şeyi biliyorum,3483
bunun ne kadar,3463
önce böyle bir,3450
daha mı iyi,3448
bir dakika içinde,3447
ve ben bir,3445
sana her şeyi,3443
her ne kadar,3441
çok iyi biliyorum,3437
emin olmak istiyorum,3434
hakkında her şeyi,3428
bu gece için,3428
orada neler oluyor,3422
bir tek sen,3418
bizim için bir,3405
için çok zor,3392
bana bir şeyler,3386
hayır hiç de,3382
kötü bir gün,3366
harika bir yer,3365
başka bir yer,3363
bir daha söyle,3360
ne kadar önemli,3348
bu her şeyi,3340
doğru mu bu,3331
iyi bir zaman,3331
eğer bir şey,3327
kabul ediyor musun,3322
hoş değil mi,3319
kendini daha iyi,3319
ben de sizi,3316
benim gibi bir,3314
beni mi görmek,3314
lütfen bana yardım,3311
gerçekten iyi bir,3307
ne oldu peki,3302
bir şey olabilir,3300
şimdi beni dinle,3298
neden daha önce,3295
orada bir şey,3294
için her şey,3292
şimdi ne var,3291
ve biz de,3286
olan her şeyi,3279
zaman ben de,3278
iyi bir çocuk,3274
evet ama ben,3272
sana bir şeyler,3264
bu gerçek bir,3264
sağ ol dostum,3262
olduğunu biliyorsun değil,3261
daha ister misin,3261
bu sen misin,3258
o zaman beni,3255
ne o zaman,3255
ben iyi bir,3254
ama benim için,3241
o kadar emin,3240
ben de böyle,3230
belki de sadece,3228
siz iyi misiniz,3222
onu en son,3221
şu an bir,3215
bu çok büyük,3213
sen her zaman,3212
belki de onu,3210
başka şeyler de,3204
bu yüzden bir,3199
bir kadın var,3199
sen de bu,3192
senden daha iyi,3192
ve her şeyi,3190
bize bir şey,3189
bana neler olduğunu,3189
şu işe bak,3189
ben daha çok,3182
ben de onun,3180
başka kimse yok,3180
bu ne zaman,3179
şeyler var mı,3175
yok etmek için,3170
bu çok zor,3167
ve şu anda,3164
de bir şeyler,3151
her şey kontrol,3151
hiçbir şey için,3148
senden bir şey,3147
için özel bir,3142
az önce bir,3136
bir adam vardı,3134
bu o değil,3133
gereken şeyler var,3129
şey için teşekkürler,3124
mi hayır mı,3121
bir kaç saat,3119
bir şey de,3117
evet mi hayır,3115
bu da senin,3108
daha iyi misin,3105
bunu bana neden,3104
bunu sana kim,3091
evet teşekkür ederim,3089
sana daha önce,3089
bu sizin için,3087
haydi haydi haydi,3086
o zaman bunu,3084
bunu biliyorsun değil,3077
de bir tane,3074
ama başka bir,3069
ama bu gece,3068
bana söz ver,3061
biz de öyle,3059
başka hiçbir şey,3055
sen tam bir,3048
gerek var mı,3047
için hiçbir şey,3044
ama bu benim,3043
ne büyük bir,3043
bu kadar güzel,3041
sen bir şey,3039
o zaman niye,3037
için çok iyi,3030
ne kadar hoş,3026
sen burada ne,3021
bir şeyler olmalı,3021
sen de onu,3020
evet çok güzel,3017
biri değil mi,3017
ne demek biliyor,3008
bana ne olduğunu,3005
neler oluyor böyle,3005
bir şey gördüm,3004
bu kadar kötü,3004
seni ne kadar,2997
bu özel bir,2994
küçük bir çocuk,2994
sen devam et,2981
ve hiçbir şey,2981
biraz ister misin,2979
her şey daha,2978
sen de bunu,2978
belki başka bir,2964
ben her şeyi,2958
bu adam bir,2957
evet ya da,2957
küçük bir şey,2955
bir daha görmek,2953
ne hoş bir,2951
ne olduğunu biliyorsun,2951
ama her şey,2947
daha iyi değil,2945
bu kadar zor,2941
şu an burada,2934
birkaç gün içinde,2931
burada hiçbir şey,2926
bir tek ben,2913
belki de sen,2911
en az bir,2911
bir yerde olmalı,2910
olduğunu bilmiyorum ama,2904
ne olacak peki,2903
değil mi bay,2902
olur böyle şeyler,2900
değil mi bu,2898
ama belki de,2897
bir daha da,2897
her şey tamam,2889
ya da ne,2881
ve bir şey,2879
sizi görmek istiyor,2877
onu görmek istiyorum,2877
güzel bir kadın,2875
sen de çok,2875
seni seviyorum baba,2873
oh öyle mi,2871
de başka bir,2868
bir yer biliyorum,2868
bundan daha iyi,2867
böyle bir yerde,2866
o yüzden bu,2866
bir şey geldi,2865
ve iyi bir,2863
ama o zaman,2859
ama iyi bir,2843
kadar önemli olduğunu,2842
şey de bu,2840
yardım ister misin,2840
ya da bu,2833
hey ne yapıyorsun,2831
ben senin için,2831
ama her zaman,2827
bu gece ne,2820
o çok iyi,2816
bize yardım et,2813
hayır bu doğru,2812
o da mı,2812
tek kişi benim,2810
hadi ama dostum,2809
hayır önemli değil,2804
her şey burada,2799
kadar çok şey,2796
aman tanrım bu,2790
seni görmek için,2789
kadar iyi bir,2775
o zaman sana,2766
olduğunu bile bilmiyorum,2764
bir hafta içinde,2763
bir tane bile,2761
senin için sorun,2759
için küçük bir,2757
biri bana yardım,2756
ya da iki,2750
ve her zaman,2748
bana yardım etmek,2748
her şey var,2746
evet ama o,2745
her zaman çok,2744
çok daha kötü,2744
hayır hayır ben,2742
hiçbir şey mi,2741
üç yıl önce,2737
yine de bu,2732
bu bizim için,2731
hadi gidelim buradan,2729
şu anda burada,2721
bana bir daha,2719
bu gece olmaz,2716
belki de daha,2713
ne kadar istiyorsun,2713
demek oluyor bu,2712
iyi bir insan,2711
bir gün olacak,2710
bunu yapmak istemiyorum,2710
ve siz de,2703
bir de bu,2698
o da beni,2698
o zaman seni,2695
ne dedim ben,2691
olmalı değil mi,2690
olur değil mi,2689
peki ya siz,2688
bunun ne demek,2683
bir ya da,2681
ve bunun için,2681
hemen buraya gel,2679
onun hakkında ne,2677
evet çok iyi,2674
ya da ben,2672
hadi eve gidelim,2671
çok iyi biliyorsun,2671
bu kadar geç,2670
seni bu kadar,2670
ne olur ne,2664
bir iş değil,2663
ona yardım et,2662
neden bir şey,2660
bu gece çok,2660
bunu biliyor musun,2659
lütfen yardım et,2658
ve benim için,2657
bu kadar büyük,2655
de ister misin,2653
biraz daha zaman,2652
sen nereden biliyorsun,2651
daha fazla para,2650
bir dakika sonra,2644
evet bence de,2642
başka bir iş,2639
bir daha böyle,2638
vardı değil mi,2637
şey bu değil,2636
orada olduğunu biliyorum,2635
bir adam için,2633
senin için daha,2627
orada ne yapıyorsun,2627
evet sanırım öyle,2626
demek biliyor musun,2624
nasıl biri olduğunu,2617
daha çok var,2616
bizim için çok,2615
her şey olabilir,2610
bakalım ne oldu,2609
görmek ister misiniz,2605
lanet olsun sana,2602
artık her şey,2601
daha çok bir,2599
sana küçük bir,2591
bir de şu,2588
bunu daha sonra,2586
hayır hiçbir şey,2585
biliyor musun bu,2583
kadar zor olduğunu,2580
zor bir gün,2572
bir çocuk gibi,2570
birkaç gün sonra,2566
daha da iyi,2564
nedir biliyor musun,2562
evet hem de,2558
şu an çok,2556
o yüzden mi,2552
tamam sorun değil,2550
bu her zaman,2545
olacak değil mi,2539
olduğunu biliyor mu,2537
bir iş için,2535
o kadar zor,2533
kadar da değil,2530
bu gece mi,2529
olduğunu nereden biliyorsun,2527
olmak nasıl bir,2525
de senin için,2524
bu önemli değil,2518
ne zaman geri,2515
biraz daha fazla,2515
ilgili bir sorun,2514
bu yüzden ben,2511
evet belki de,2511
senin için zor,2511
için daha fazla,2507
olur ne olmaz,2506
hiç de iyi,2505
çünkü ben de,2503
belki de ben,2502
hayır bir şey,2500
ama bu doğru,2499
senin için değil,2497
şey iyi olacak,2496
bu şekilde mi,2491
geliyor değil mi,2490
ve ben bu,2489
kontrol etmek için,2489
biraz zaman ver,2488
burada her şey,2488
daha çok seviyorum,2486
için teşekkür etmek,2485
o değil mi,2479
ne gerek var,2478
bu bir sorun,2476
için sorun değil,2474
ne olduğunu bile,2472
ki bu da,2467
için o kadar,2460
şu anda çok,2459
çok geç oldu,2457
daha iyi mi,2457
ben de biraz,2457
çok geç değil,2456
daha kötü bir,2453
şu anda ne,2450
ben de senden,2444
önemli olan da,2441
şey biliyor musun,2441
bu önemli bir,2437
onu ne kadar,2435
bu harika olur,2434
ya da hayır,2427
bir şey olacak,2426
bunu bana nasıl,2426
git git git,2421
gerçekten de çok,2419
de senin gibi,2419
benim için büyük,2419
tabii ki öyle,2418
hadi o zaman,2418
sen neden söz,2415
o da senin,2413
ya da öyle,2408
ilgili hiçbir şey,2407
için her zaman,2405
daha güzel bir,2404
sana teşekkür etmek,2403
ama biliyor musun,2402
belki de bunu,2402
sen de ona,2402
emin değilim ama,2401
olduğu için mi,2400
bu yüzden beni,2399
o da bana,2399
için daha çok,2398
ben o kadar,2396
ben de burada,2396
istemiyorum tamam mı,2396
sanırım bir şey,2391
sana kim söyledi,2385
bundan çok daha,2383
orada ne var,2381
hayır sorun yok,2376
büyük bir sorun,2375
sen ben ve,2373
yok öyle bir,2371
yardım edin lütfen,2368
sadece senin için,2367
de çok güzel,2365
ama senin için,2363
ben öyle bir,2363
senin ve benim,2362
hayır bu bir,2361
evet her şey,2358
bu onun için,2357
gibi ben de,2357
ama bunun için,2352
sana yeni bir,2349
daha fazla şey,2347
ilgili her şeyi,2347
yeni bir tane,2347
bu nasıl olur,2346
çok güzel olacak,2345
bana da bir,2341
sen de ister,2340
senin kim olduğunu,2337
asla böyle bir,2334
en kötü şey,2334
teşekkür ederim ama,2333
bir dakika bir,2333
üç gün önce,2332
ve ben bunu,2329
peki ya o,2328
ama o da,2328
hiç kimse yok,2322
hayır ben sadece,2321
pek iyi bir,2321
sonra her şey,2320
daha iyi olduğunu,2316
bu da beni,2314
o da seni,2308
tam olarak bu,2307
nasıl bir yer,2306
o her zaman,2305
ben de istiyorum,2304
sadece biraz daha,2301
daha sonra da,2301
burası çok güzel,2300
için hazır mısın,2300
seni seviyorum anne,2299
ama bu kadar,2299
evet işte bu,2299
söz ver bana,2297
biliyorum ama bu,2296
oh hayır hayır,2296
o kadar güzel,2294
hem de hemen,2293
bu ne şimdi,2291
ve ne zaman,2291
ne kadar uzun,2290
gereken her şeyi,2289
sadece bir kişi,2286
et tamam mı,2278
bir gün değil,2276
olmak ister misin,2276
çünkü seni seviyorum,2275
bir daha geri,2275
bir tek şey,2272
neden burada olduğunu,2271
başka biri var,2271
kaç kişi var,2270
için çok şey,2269
bu ne için,2267
benden daha çok,2267
ama ben bir,2262
buna daha fazla,2261
iki gün önce,2261
bu yüzden ona,2259
bu tam olarak,2256
teşekkür ederim bayan,2254
ya da hiç,2253
bunu mu istiyorsun,2253
hiç bir şeyi,2252
büyük bir iş,2252
sen benim için,2250
şey oldu mu,2247
değilim tamam mı,2244
hayır hayır bu,2241
demek istiyorum ki,2240
sonra bir gün,2239
pekala o zaman,2239
bir adam olduğunu,2238
bir şey istemiyorum,2237
her şeyi biliyor,2237
çok iyi değil,2232
bu çok daha,2231
her şey güzel,2230
bir dakika ver,2229
bir kaç hafta,2228
lütfen bunu yapma,2227
şeyler de var,2227
daha fazla zaman,2224
her zaman olduğu,2223
ben de size,2222
peki ne oldu,2222
gel buraya gel,2219
bu gerçek değil,2219
zaman olduğu gibi,2218
o kadar önemli,2218
ve güzel bir,2218
çok daha büyük,2215
bir şey lazım,2214
tekrar görmek güzel,2213
birkaç saat önce,2213
o zaman o,2202
ne gibi bir,2201
olmak zorunda değil,2200
bir gün oldu,2197
ne olduğunu söyle,2197
şu an nerede,2194
önce bir şey,2192
harika bir gün,2192
önemli olan tek,2191
hem de bir,2191
burada ne kadar,2189
çok iyi iş,2188
benden bir şey,2185
daha iyi oldu,2185
ona iyi bak,2183
için çok özür,2182
şimdi her şey,2182
bir şeyler olduğunu,2179
güzel bir gece,2179
ama o bir,2177
seni her zaman,2175
ne kadar harika,2173
biraz daha iyi,2173
pek de iyi,2170
pek çok insan,2170
ne oldu ona,2170
de benim için,2170
bu hiç hoş,2169
daha önce bu,2169
bir çocuk var,2165
bu daha önce,2162
o burada değil,2162
ama sadece bir,2161
ben özür dilerim,2158
da iyi bir,2157
ne de bir,2157
hayır öyle bir,2156
çok iş var,2153
ne harika bir,2152
için biraz geç,2152
kadar da zor,2151
sen kim olduğunu,2151
ama sorun değil,2150
şu an ne,2150
iyi olmaz mı,2148
bir kez bile,2147
sen de onun,2146
gereken çok şey,2142
sen de benimle,2141
ben de biliyorum,2138
ve ben onu,2135
hem de her,2135
oldu biliyor musun,2134
başka bir gün,2134
bir yıl sonra,2133
burada ne var,2132
ya da en,2130
şimdi de bu,2122
tam olarak nerede,2119
burada neler olduğunu,2119
ne oldu bilmiyorum,2118
yardım lazım mı,2113
falan var mı,2113
sizi görmek güzel,2108
bu yüzden bana,2108
bir gün bile,2107
seni görmek de,2105
birkaç saat içinde,2102
bir şeyler oldu,2102
ya da her,2100
uzun bir zaman,2100
senin için en,2097
içinde ne var,2095
kaç tane var,2094
bir çok şey,2094
hayır o değil,2094
burada bir yerde,2093
zor bir şey,2093
bir kaç tane,2092
tamam hadi gidelim,2092
bir şey gibi,2090
bu bir şey,2090
bir gün bir,2089
uzun bir gün,2081
bu da nereden,2079
şimdi ne oldu,2076
gidip bir şeyler,2073
ya da onun,2071
bir yer olduğunu,2070
ver tamam mı,2067
peki bu ne,2066
bir daha yapma,2065
yine ne var,2063
şey ister misiniz,2063
en iyi şekilde,2063
en güzel şey,2062
herkes hazır mı,2060
seninle olmak istiyorum,2060
ve bir gün,2057
o kadar büyük,2057
ona hiçbir şey,2056
sizi görmek ne,2054
için değil mi,2050
şu anda bu,2049
tam olarak nasıl,2048
gereken bir iş,2046
böyle devam et,2043
şu anda nerede,2043
ve yeni bir,2040
bir şey olduğu,2040
bu şekilde devam,2038
daha iyi olmaz,2034
belki daha sonra,2033
evet bu o,2032
buraya gel ve,2030
bana biraz zaman,2027
ben böyle bir,2027
sen ne istiyorsun,2026
aslında ben de,2023
git o zaman,2023
sen burada bekle,2023
bunu ne zaman,2019
bir neden yok,2018
bu kadar mutlu,2017
de bu zaten,2016
ve biraz da,2015
sadece bir şey,2015
ve şu an,2013
ben senin gibi,2012
yeni bir iş,2011
olarak kabul ediyorum,2010
çok da iyi,2006
zor bir iş,2006
ben de kendi,2006
iyi bir kız,2005
sen harika bir,2005
buna hiç gerek,2004
o tam bir,2003
ona yardım etmek,2001
seni bu yüzden,1999
bu gerçek mi,1998
bu çok uzun,1998
bir kız vardı,1998
sen gerçek bir,1996
sana başka bir,1994
olan ne biliyor,1991
ama ben seni,1990
o zaman daha,1985
bir şeyi nasıl,1982
bir kadın için,1981
