twogram,frequency
tane var,10196
onu bir,10193
şey olmaz,10174
hazır mı,10171
için her,10100
üzgünüm ama,10079
bu kötü,10074
pek değil,10073
daha büyük,10066
birkaç gün,10062
çünkü o,10056
ne biliyorsun,10048
hayır ama,9998
daha kötü,9992
bunu biliyor,9992
hayır öyle,9945
harika değil,9940
de sana,9930
artık çok,9925
her ne,9923
kontrol et,9909
çok da,9899
bile değil,9891
de iyi,9878
sadece biraz,9874
ama onu,9851
şey bilmiyorum,9834
sen söyle,9811
neden yapıyorsun,9793
ve beni,9778
hayır sadece,9778
de bana,9776
yani bu,9758
çok doğru,9757
geri gel,9756
geç oldu,9727
sadece bu,9688
en az,9684
evet kesinlikle,9676
siz ne,9653
bundan emin,9615
neden söz,9614
sen git,9614
önce bir,9611
hayır olmaz,9594
işi var,9587
ederim efendim,9557
bize bir,9543
ve bunu,9543
de o,9539
beni buradan,9534
beni çok,9531
olan bu,9509
çok çok,9506
neden bunu,9434
geri ver,9434
lütfen yapma,9407
bundan daha,9363
olduğu için,9348
bu son,9321
bir bakın,9300
yok ki,9300
ne o,9299
o sadece,9281
ben onu,9271
burası çok,9268
bunu kim,9268
demek öyle,9267
sen bana,9230
kadar uzun,9228
sonra bir,9219
var biliyor,9203
yapmak için,9194
doğru ya,9193
var ne,9192
peki neden,9184
zaman ne,9149
görmek ister,9141
en çok,9139
buraya nasıl,9137
ve çok,9135
sanırım bir,9127
bana bırak,9123
hiç böyle,9090
neden ki,9089
buna izin,9074
bana biraz,9044
bunlar da,9021
ve bana,9011
de hiç,9006
şu lanet,8993
seni sonra,8969
hazır ol,8965
git hadi,8914
o gün,8913
görmek için,8903
de nasıl,8892
ya ben,8891
mı bu,8890
onu çok,8889
tamam hadi,8869
bu sizin,8865
neden burada,8848
bundan sonra,8838
ama benim,8793
hayır bunu,8776
de senin,8747
bak sen,8736
daha değil,8731
bunun gibi,8720
seni tekrar,8718
onu seviyorum,8712
da mı,8704
buna gerek,8694
o nedir,8685
daha mı,8675
son ne,8675
sorun olmaz,8668
ve ne,8651
çünkü sen,8650
iyi oldu,8642
artık değil,8635
o nasıl,8633
söyledi mi,8631
neden ben,8627
biliyor mu,8608
olduğu gibi,8604
şey oldu,8585
için bu,8578
peki şimdi,8576
ama bana,8558
bana göre,8554
evet işte,8546
tam da,8543
ve benim,8532
tüm bu,8525
ne hoş,8511
burada olduğunu,8490
mutlu musun,8479
bana neden,8477
haydi bakalım,8467
nasıl bu,8465
dedim ki,8456
sizi görmek,8435
dakika sonra,8435
şimdi beni,8411
benim değil,8406
zaman bir,8390
bunu hiç,8384
saat içinde,8359
sadece sen,8340
işte bu,8325
çünkü bu,8324
öyle demek,8312
bile yok,8303
var ya,8262
en kötü,8261
onu gördüm,8256
yok değil,8228
sana bunu,8227
beni bir,8223
tekrar ediyorum,8219
tamam bu,8202
hoş değil,8197
evet iyi,8197
onu buradan,8195
dakika içinde,8188
tam burada,8175
geldi mi,8172
bırak da,8170
ben böyle,8161
ben değil,8147
olarak değil,8123
bir işe,8120
değil bu,8104
ama seni,8101
tek kişi,8095
gel de,8087
bu kız,8085
hep böyle,8071
sen değil,8070
neden biliyor,8052
bu büyük,8048
hadi ya,8034
da değil,8031
kabul et,8030
bu önemli,8028
hayır teşekkür,8020
ya siz,8004
hoş geliyor,7980
mi sen,7975
ne dedim,7969
evet mi,7956
size yardım,7939
yok yok,7938
zaman önce,7934
saat sonra,7934
görmek çok,7923
ya bu,7911
ben ve,7906
bütün bu,7891
o gece,7877
bir son,7876
bu çocuk,7875
ve seni,7870
sana iyi,7862
ne diye,7844
ama beni,7820
ve her,7815
seni küçük,7803
teşekkürler efendim,7793
şey çok,7760
da nedir,7755
tanrım bu,7745
neden mi,7737
aman ne,7735
onlar için,7734
daha az,7714
hepsi benim,7678
nerede bu,7662
evet lütfen,7633
hayır bekle,7630
ne olabilir,7622
ol dostum,7621
yapıyorsun burada,7613
onun hakkında,7598
demek ki,7596
artık bir,7595
sadece birkaç,7589
tamam ben,7575
al bunu,7570
orada mı,7536
merhaba tatlım,7535
ben ben,7534
hiç bu,7527
tamam peki,7506
şunu bana,7502
şimdi bu,7492
ne yok,7489
görmek istiyor,7488
güzel güzel,7482
çok mutlu,7475
var ve,7474
oldu sana,7473
şey de,7465
hadi çocuklar,7455
falan mı,7450
harika olur,7439
bakalım ne,7434
görmek ne,7414
eğer bu,7410
bunlar ne,7396
neden öyle,7395
bana karşı,7395
kötü mü,7392
ben hiç,7389
yapmak istiyorum,7371
merhaba anne,7349
yer var,7335
emin olmak,7331
şimdi bir,7327
iyi misiniz,7318
ama daha,7312
eğer bir,7301
da benim,7296
ben hiçbir,7282
seni bu,7268
değil ki,7252
hayır değilim,7246
biri değil,7214
bu hafta,7214
de benim,7205
birkaç dakika,7182
kaç kişi,7177
hepsi senin,7164
hayır bir,7164
en önemli,7162
mi bu,7151
bütün bunlar,7148
ile ilgili,7145
gün önce,7142
bile bilmiyorum,7137
neden bir,7136
ama sana,7131
hadi git,7119
yapmak istiyorsun,7087
lütfen yardım,7045
için biraz,7028
böyle iyi,7027
bu yeni,7023
evet sen,7010
git git,6987
yüzden mi,6981
bunu kabul,6969
mi yoksa,6957
eve gidelim,6937
üç iki,6926
onlara ne,6924
gerçekten iyi,6915
ben onun,6901
merhaba baba,6900
saat önce,6896
ben biliyorum,6877
onu buraya,6874
gidelim hadi,6872
bu bana,6871
hey ne,6871
iki tane,6866
bir kişi,6851
bak bu,6849
selam çocuklar,6848
senin hakkında,6847
yer yok,6844
gerçek değil,6841
kesinlikle hayır,6830
al ve,6817
güzel mi,6804
da iyi,6796
hayır dur,6788
var ama,6770
selam tatlım,6769
bir çok,6753
başka biri,6738
sen nasıl,6734
üç gün,6713
görmek istemiyorum,6709
pek bir,6707
beni nasıl,6706
bunu ona,6699
için daha,6694
hakkında hiçbir,6690
gerçekten üzgünüm,6690
çok para,6684
hey dostum,6671
ondan sonra,6668
hiç sorun,6664
bu lanet,6654
her yere,6651
hadi dostum,6650
evet bunu,6640
gerçek mi,6621
ilk kez,6617
seni burada,6602
bir anda,6601
sadece ben,6588
seni daha,6584
merhaba ben,6577
bu kez,6573
söyle ona,6569
önce sen,6567
benden daha,6566
söyle bakalım,6558
ne söyledi,6554
bana bu,6548
de biliyorsun,6543
onu nasıl,6540
tüm bunlar,6538
senin mi,6517
haydi gel,6515
tamam efendim,6503
size ne,6502
hafta önce,6497
tabii tabii,6484
o şey,6474
demek şimdi,6467
şey söyle,6464
kadar zor,6450
ama nasıl,6449
her gece,6407
şey ister,6407
de yok,6388
şeyi yok,6377
şey ben,6373
ve senin,6370
söz mü,6335
hayır sağ,6329
de beni,6325
mı yoksa,6308
seni eve,6302
ben daha,6300
ama burada,6276
için en,6271
zaman neden,6270
şimdi değil,6261
seninle bir,6257
bunun hakkında,6240
ama öyle,6239
biz mi,6234
başka kim,6215
beni bu,6213
için sana,6209
bana çok,6207
oldu ki,6201
de ben,6190
için para,6182
biz bir,6180
tamam güzel,6178
bak bak,6174
başka kimse,6168
sen öyle,6164
için beni,6154
biraz önce,6154
da çok,6148
onu hiç,6147
hiç mi,6146
ama senin,6129
bir doktor,6128
var değil,6117
emin ol,6117
adam var,6105
sen hiç,6104
sen bunu,6103
var mısın,6100
için bana,6093
gidip bir,6093
sana çok,6093
olmak zorunda,6080
beni iyi,6079
da yok,6068
beni burada,6045
ben o,6040
benim mi,6033
herkes iyi,6025
sana kim,6023
sen sadece,6006
üzgünüm efendim,5996
dakika bekle,5989
de ona,5985
ama biz,5983
ama sonra,5975
şu işe,5972
sana nasıl,5972
tekrar görmek,5961
bize ne,5956
teşekkür etmek,5954
senden bir,5948
ve işte,5947
iş için,5925
sen bu,5922
kadar emin,5919
kadar önemli,5913
hayır yapma,5907
kadar büyük,5903
niye ki,5902
ama şu,5887
de bile,5884
biraz da,5865
iş var,5855
hiç gerek,5841
sana karşı,5823
gerçek bu,5820
olan var,5817
olmak istemiyorum,5814
şimdi bana,5810
en fazla,5806
etmek ister,5802
iki bir,5800
gerçekten öyle,5763
ne işe,5761
biri bana,5759
onu sen,5758
hemen hemen,5755
evet eminim,5755
şimdi git,5752
de seninle,5746
öyle de,5740
tanrım hayır,5739
fazla bir,5731
hey çocuklar,5729
sen onu,5726
o beni,5725
olan şey,5719
bunu asla,5716
seni hiç,5715
bak ben,5713
birkaç saat,5711
geri istiyorum,5710
tamam bir,5705
kesinlikle olmaz,5701
göre değil,5700
senden daha,5699
eve git,5698
yapma bunu,5697
ve daha,5695
ne istiyor,5689
nasıl olabilir,5679
beni neden,5669
geliyor mu,5653
ama her,5649
oldu bu,5645
bu her,5640
ve onun,5639
onlar benim,5635
adam mı,5634
bana söz,5633
böyle devam,5632
tamam şimdi,5623
onu görmek,5619
bu küçük,5617
sana söz,5616
miyim lütfen,5614
seni buraya,5610
iyi dinle,5601
seni buradan,5591
evet teşekkürler,5585
ne ne,5577
değil değil,5574
ve ona,5573
sizin gibi,5557
önce ben,5554
evet bayan,5548
bu sen,5533
ben her,5532
bu tam,5524
tamam teşekkürler,5522
de böyle,5520
o kız,5514
ve de,5509
daha önemli,5507
neden onu,5506
ve sana,5493
bunu çok,5474
bak şimdi,5468
senin bir,5457
de burada,5456
tamam işte,5445
fazla değil,5444
ne peki,5424
bu kadın,5424
bak sana,5419
iyi iş,5409
çok özel,5400
yıl sonra,5394
kesinlikle öyle,5383
daha bir,5370
şeyler oluyor,5366
orada dur,5342
neden buraya,5337
de sen,5329
çok sağ,5328
burası mı,5325
sana göre,5325
bu zaten,5323
ona iyi,5314
yok hayır,5309
gel benimle,5300
ki o,5289
önce ne,5283
tamam iyi,5282
ya şimdi,5274
evet harika,5269
selam baba,5266
al onu,5266
şimdi daha,5249
onu daha,5244
ama hiç,5244
biri olduğunu,5241
tamam ama,5241
gün sonra,5241
herkes dışarı,5240
neden sen,5229
evet ya,5226
biz sadece,5226
sadece seni,5223
misin lütfen,5221
gel ve,5221
beni hiç,5216
ki ben,5209
gerçekten harika,5207
kız mı,5203
gibi geliyor,5188
için önemli,5188
merhaba çocuklar,5186
son kez,5185
yapmak istemiyorum,5176
pek de,5173
benim en,5163
nasıl yardım,5158
para mı,5157
tanrım çok,5154
daha uzun,5146
ya sonra,5139
belki bu,5129
biraz fazla,5111
elbette hayır,5101
ben iyi,5094
için sorun,5088
bak bana,5080
çünkü seni,5079
için hazır,5066
üç yıl,5062
o daha,5058
dilerim efendim,5049
şey olduğunu,5047
o bizim,5045
şey ne,5045
bir söz,5042
para için,5040
şimdi nerede,5035
hiç hoş,5005
beni buraya,5001
biri değilim,4998
zaman yok,4990
bana nasıl,4989
size nasıl,4989
bence çok,4986
neden o,4983
evet onu,4979
evet her,4977
da beni,4977
bundan eminim,4970
bu böyle,4969
bizim gibi,4964
harika olacak,4958
de tam,4953
burası bir,4952
de biraz,4944
selam dostum,4937
ol tamam,4936
bu onu,4934
o bana,4928
dedim ya,4924
onu bu,4924
olacak mı,4922
hey bu,4921
ve iyi,4917
olduğunu bile,4911
sağ olsun,4906
ve şu,4904
kötü şeyler,4903
ne şimdi,4902
kontrol edin,4902
nasıl biri,4900
hayır gerçekten,4898
sadece iki,4894
hafta sonra,4891
kadar oldu,4882
lütfen bunu,4880
niye bu,4875
işte böyle,4875
evet biraz,4871
buna bir,4868
sen daha,4863
onunla ne,4861
şey gibi,4860
tamam gidelim,4858
gel gel,4851
ve siz,4851
burada kimse,4843
yemek için,4842
tanrım ne,4838
dakika önce,4833
size iyi,4830
da senin,4829
yani sen,4829
öyle olduğunu,4819
daha güzel,4819
zaman bu,4813
ne vardı,4811
size de,4811
hayır çok,4806
devam etmek,4806
mu bu,4799
iyi olduğunu,4796
iyi biri,4789
birkaç hafta,4775
misiniz lütfen,4770
oh bu,4769
güzel olacak,4767
et bana,4763
o seni,4760
ben ona,4760
da böyle,4754
öyle olmalı,4754
senin kadar,4751
oh aman,4747
iyi bakın,4739
gün daha,4730
ne büyük,4724
demek olduğunu,4724
yok ama,4722
iki gün,4718
ama önce,4717
al sana,4711
zaman değil,4704
evet ve,4703
evet neden,4693
ama sadece,4689
evet gerçekten,4688
olur musun,4682
hayır daha,4681
bana hiç,4681
ki öyle,4672
için büyük,4669
iki kez,4665
bunu al,4664
burada mısın,4655
an önce,4651
göre bir,4646
sana bu,4641
hadi bir,4629
aynı şekilde,4628
yere mi,4623
bunu niye,4621
şey bir,4620
üç tane,4612
beni bekle,4606
küçük kız,4606
da bana,4601
gece için,4599
hayır dedim,4592
bunu benim,4592
kadar var,4587
aslında ben,4585
ya o,4584
kimse bir,4583
mısın sen,4576
evet belki,4575
mu yani,4574
sadece o,4573
da seni,4572
şey hazır,4564
lanet bir,4564
hala burada,4554
falan değil,4554
yani ben,4541
hep aynı,4529
oldu böyle,4527
nasıl oluyor,4526
biraz para,4524
olan tek,4520
olsun diye,4519
olan her,4518
yok ya,4507
ama iyi,4501
gidip onu,4501
artık bu,4500
hayır onu,4496
gün içinde,4484
aynı anda,4478
sorun da,4466
seni kim,4466
ederim ki,4465
da o,4461
sana daha,4448
çok küçük,4444
gerçek şu,4444
hemen buraya,4441
ne ki,4438
neden şimdi,4437
artık yok,4437
orada olduğunu,4433
için seni,4426
biri yardım,4425
bana her,4423
da nereden,4421
kimse bana,4420
evet güzel,4418
hayır pek,4413
tamam sorun,4412
oldu işte,4407
gece mi,4405
da ben,4399
haydi çocuklar,4398
her yer,4396
yapma ama,4395
gece burada,4394
geri mi,4390
hayır dostum,4387
sorun olur,4387
kişi var,4382
bana neler,4377
artık benim,4375
ama en,4373
al işte,4371
sanırım ben,4370
ediyor musun,4368
belki daha,4367
o artık,4365
yani bir,4357
kadar değil,4356
an için,4353
o lanet,4353
ver şu,4340
hepsi de,4335
etmek mi,4333
olarak kabul,4332
orada neler,4329
de kim,4326
ben artık,4324
lütfen dur,4322
benimle birlikte,4301
onun bir,4300
için fazla,4296
şey iyi,4296
siz mi,4290
bunu ne,4288
evet burada,4286
adam bir,4280
böyle daha,4276
belki biraz,4264
yani ne,4261
sen o,4261
dur bekle,4253
benden bu,4250
olsun ki,4247
ama sanırım,4242
lütfen bir,4240
bunu senin,4231
hakkında çok,4226
oluyor böyle,4222
ki bir,4222
sana teşekkür,4220
ve en,4214
biz ne,4213
mutlu bir,4209
senin olsun,4207
ben biraz,4197
kimse beni,4197
olabilir ama,4195
onu ne,4189
yine ne,4186
de bilmiyorum,4185
edin lütfen,4185
hiç bilmiyorum,4184
ona karşı,4182
bu ilk,4178
diye mi,4176
peki nasıl,4173
burada da,4170
onu nerede,4167
hayır benim,4157
ben gidip,4153
beni eve,4151
birkaç tane,4142
hey bekle,4139
ama bunun,4135
bana o,4126
sanırım bunu,4118
merhaba de,4113
ama onun,4109
bu kesinlikle,4102
hayır gerek,4102
evet baba,4102
onun da,4099
yok efendim,4098
üzgünüm dostum,4098
sizi seviyorum,4095
yoksa seni,4095
ben eve,4093
ve biz,4091
sana her,4087
de onun,4086
burası da,4082
zaman ben,4081
selam anne,4081
nasıl da,4072
başka zaman,4058
bunlar benim,4055
iş yapıyorsun,4051
burada çok,4050
burası senin,4048
beni görmek,4047
daha neler,4045
pek emin,4043
sen olduğunu,4038
mu beni,4035
nasıl olacak,4033
merhaba bay,4033
için onu,4033
peki peki,4030
sonra mı,4025
bu en,4011
seni geri,4011
gibi geldi,4010
herkes için,4003
seni asla,3996
zor değil,3994
gerçekten güzel,3994
kimse seni,3992
seni ne,3986
bu şeyi,3985
ben teşekkür,3985
bak dostum,3984
zor olduğunu,3984
onu hemen,3984
bugün çok,3984
o kadın,3982
hep birlikte,3981
ve tüm,3980
buradan gidelim,3967
onu burada,3966
adam kim,3963
ama siz,3963
gece bir,3963
hayır böyle,3960
bak bakalım,3959
sen sen,3959
ki sen,3946
bize biraz,3943
için geri,3935
seninle birlikte,3931
iyi değilim,3930
hayır bilmiyorum,3927
sen nereden,3923
kadar zaman,3923
ve iki,3922
dur benden,3921
hiçbir yerde,3916
buraya mı,3911
sorun bu,3910
hayır anne,3904
çok var,3899
beni ne,3898
dakika daha,3896
hayır baba,3892
ediyor mu,3886
yok etmek,3886
oldu da,3885
bir yanlış,3884
bir başka,3870
şey olabilir,3869
burada olmak,3869
birini mi,3867
olarak mı,3863
yok oldu,3862
hey dur,3860
iyi biliyorsun,3860
bakın ne,3849
seni gördüm,3849
aslında bu,3846
bırak ben,3844
için burada,3842
evet anne,3842
evet seni,3828
siz misiniz,3827
yapma lütfen,3817
öyle oldu,3815
seni istiyorum,3812
biraz izin,3810
benim küçük,3810
evet dostum,3805
değilim ben,3797
da aynı,3793
biliyorsun ki,3792
de her,3789
kız nerede,3788
başka birini,3787
de bundan,3769
gece ne,3768
kendini nasıl,3763
niye böyle,3756
yok et,3752
evet bay,3752
fakat bu,3751
şey o,3751
hepsi burada,3749
sadece bana,3747
zaman da,3746
tamam bak,3737
bu yanlış,3734
tamam çocuklar,3734
bunun iyi,3734
biraz geç,3729
kabul ediyor,3729
bu pek,3728
için bunu,3728
ama değil,3725
