twogram,threegram,frequency
çok kötü,bu çok kötü,11808
bu çok,bu çok kötü,11808
bir şey,bir şey olduğunu,11771
değil mi,değil değil mi,11716
de sana,ben de sana,11522
ben de,ben de sana,11522
çok iyi,bu çok iyi,11444
bu çok,bu çok iyi,11444
sen ne,sen ne yapıyorsun,11375
ne yapıyorsun,sen ne yapıyorsun,11375
bir şey,ilgili bir şey,11333
ilgili bir,ilgili bir şey,11333
bu mu,hepsi bu mu,11291
hepsi bu,hepsi bu mu,11291
burada neler,burada neler oluyor,11131
neler oluyor,burada neler oluyor,11131
hey hey,hey hey hey,11084
önemli bir,çok önemli bir,11035
çok önemli,çok önemli bir,11035
bu benim,bu benim için,10928
benim için,bu benim için,10928
var biliyor,var biliyor musun,10795
biliyor musun,var biliyor musun,10795
ben de,ben de onu,10742
de onu,ben de onu,10742
değil mi,harika değil mi,10734
harika değil,harika değil mi,10734
için iyi,için iyi bir,10733
iyi bir,için iyi bir,10733
o zaman,peki o zaman,10722
peki o,peki o zaman,10722
de mi,sen de mi,10685
sen de,sen de mi,10685
bu değil,bu değil mi,10578
değil mi,bu değil mi,10578
kadar da,kadar da kötü,10556
da kötü,kadar da kötü,10556
ne olduğunu,ne olduğunu biliyor,10553
olduğunu biliyor,ne olduğunu biliyor,10553
senin için,senin için ne,10526
için ne,senin için ne,10526
de senin,ben de senin,10454
ben de,ben de senin,10454
böyle bir,böyle bir şeyi,10435
bir şeyi,böyle bir şeyi,10435
kim var,kim var orada,10413
var orada,kim var orada,10413
ne güzel,ne güzel bir,10396
güzel bir,ne güzel bir,10396
büyük bir,daha büyük bir,10288
daha büyük,daha büyük bir,10288
o zaman,o zaman ne,10261
zaman ne,o zaman ne,10261
size bir,size bir şey,10222
bir şey,size bir şey,10222
bir şey,hakkında bir şey,10174
hakkında bir,hakkında bir şey,10174
etmek için,yardım etmek için,10091
yardım etmek,yardım etmek için,10091
görmek ister,görmek ister misin,10040
ister misin,görmek ister misin,10040
ne var,ne var ne,10026
var ne,ne var ne,10026
de bunu,ben de bunu,10004
ben de,ben de bunu,10004
seni görmek,seni görmek güzel,9941
görmek güzel,seni görmek güzel,9941
ki hayır,tabii ki hayır,9936
tabii ki,tabii ki hayır,9936
artık çok,artık çok geç,9899
çok geç,artık çok geç,9899
şey mi,şey mi oldu,9880
mi oldu,şey mi oldu,9880
kadar iyi,o kadar iyi,9854
o kadar,o kadar iyi,9854
de biliyorsun,sen de biliyorsun,9798
sen de,sen de biliyorsun,9798
çok uzun,çok uzun zaman,9746
uzun zaman,çok uzun zaman,9746
nasıl bir,nasıl bir şey,9654
bir şey,nasıl bir şey,9654
ya da,ya da bir,9633
da bir,ya da bir,9633
bu harika,bu harika bir,9590
harika bir,bu harika bir,9590
de bu,belki de bu,9576
belki de,belki de bu,9576
hadi hadi,hadi hadi hadi,9566
şu ki,gerçek şu ki,9534
sen de,sen de öyle,9495
de öyle,sen de öyle,9495
evet evet,evet evet evet,9481
var biliyor,ne var biliyor,9425
ne var,ne var biliyor,9425
var mı,biri var mı,9330
biri var,biri var mı,9330
pek bir,pek bir şey,9314
bir şey,pek bir şey,9314
var ne,var ne yok,9292
ne yok,var ne yok,9292
ederim efendim,teşekkür ederim efendim,9268
ne kadar,ne kadar çok,9268
teşekkür ederim,teşekkür ederim efendim,9268
kadar çok,ne kadar çok,9268
şey çok,her şey çok,9265
her şey,her şey çok,9265
zaman bir,her zaman bir,9169
her zaman,her zaman bir,9169
kadar kötü,o kadar kötü,9126
o kadar,o kadar kötü,9126
bir şey,bir şey bu,9058
şey bu,bir şey bu,9058
dur dur,dur dur dur,9015
için çok,için çok üzgünüm,8936
çok üzgünüm,için çok üzgünüm,8936
tabii ki,evet tabii ki,8922
evet tabii,evet tabii ki,8922
var mı,olan var mı,8906
de nasıl,hem de nasıl,8858
hem de,hem de nasıl,8858
bu büyük,bu büyük bir,8768
büyük bir,bu büyük bir,8768
olduğunu bilmiyorum,ne olduğunu bilmiyorum,8729
ne olduğunu,ne olduğunu bilmiyorum,8729
çok seviyorum,seni çok seviyorum,8665
seni çok,seni çok seviyorum,8665
güzel bir,güzel bir şey,8630
bir şey,güzel bir şey,8630
yapıyorsun burada,ne yapıyorsun burada,8594
ne yapıyorsun,ne yapıyorsun burada,8594
şey söyle,bir şey söyle,8582
bir şey,bir şey söyle,8582
senin için,senin için çok,8555
için çok,senin için çok,8555
tek bir,tek bir şey,8546
bir şey,tek bir şey,8546
kadar uzun,bu kadar uzun,8470
bu kadar,bu kadar uzun,8470
gibi bir,senin gibi bir,8462
senin gibi,senin gibi bir,8462
çok güzel,görmek çok güzel,8437
görmek çok,görmek çok güzel,8437
ne demek,ne demek olduğunu,8370
bir tane,bir tane var,8358
tane var,bir tane var,8358
bir gün,güzel bir gün,8335
güzel bir,güzel bir gün,8335
sen iyi,sen iyi bir,8334
iyi bir,sen iyi bir,8334
olduğunu biliyorum,kim olduğunu biliyorum,8320
kim olduğunu,kim olduğunu biliyorum,8320
hayır teşekkür,hayır teşekkür ederim,8282
teşekkür ederim,hayır teşekkür ederim,8282
bu da,bu da kim,8281
da kim,bu da kim,8281
bir şey,ona bir şey,8269
ona bir,ona bir şey,8269
da bir,bu da bir,8259
bu da,bu da bir,8259
ne oldu,sonra ne oldu,8258
sonra ne,sonra ne oldu,8258
seni bir,seni bir daha,8254
bir daha,seni bir daha,8254
ama çok,çok ama çok,8238
oldu sana,ne oldu sana,8202
ne oldu,ne oldu sana,8202
harika bir,harika bir şey,8196
bir şey,harika bir şey,8196
görmek ne,görmek ne güzel,8096
ne güzel,görmek ne güzel,8096
o zaman,o zaman bu,8075
bunu yapmak,bunu yapmak zorunda,8062
yapmak zorunda,bunu yapmak zorunda,8062
başka bir,başka bir yere,8039
bir yere,başka bir yere,8039
belki de,belki de bir,7981
de bir,belki de bir,7981
yer var,bir yer var,7978
bir yer,bir yer var,7978
saat içinde,bir saat içinde,7899
bir saat,bir saat içinde,7899
ne kadar,ne kadar kötü,7896
kadar kötü,ne kadar kötü,7896
o zaman,o zaman ben,7837
ne istiyorsun,benden ne istiyorsun,7806
benden ne,benden ne istiyorsun,7806
şey bu,tek şey bu,7786
tek şey,tek şey bu,7786
oluyor burada,neler oluyor burada,7771
neler oluyor,neler oluyor burada,7771
nerede olduğunu,nerede olduğunu biliyor,7748
olduğunu biliyor,nerede olduğunu biliyor,7748
için de,benim için de,7722
benim için,benim için de,7722
için ne,sizin için ne,7704
sizin için,sizin için ne,7704
de hiç,hem de hiç,7628
hem de,hem de hiç,7628
değil mi,doğru değil mi,7614
doğru değil,doğru değil mi,7614
bu kadar,niye bu kadar,7580
bu iş,bu iş için,7572
de değil,hiç de değil,7556
hiç de,hiç de değil,7556
sorun değil,hayır sorun değil,7551
hayır sorun,hayır sorun değil,7551
yardım etmek,yardım etmek istiyorum,7539
etmek istiyorum,yardım etmek istiyorum,7539
hakkında hiçbir,hakkında hiçbir şey,7464
hiçbir şey,hakkında hiçbir şey,7464
bir şey,bir şey ister,7437
şey ister,bir şey ister,7437
bunu neden,bunu neden yapıyorsun,7394
neden yapıyorsun,bunu neden yapıyorsun,7394
neden biliyor,neden biliyor musun,7330
biliyor musun,neden biliyor musun,7330
ne oldu,sana ne oldu,7329
sana ne,sana ne oldu,7329
olarak değil,tam olarak değil,7297
tam olarak,tam olarak değil,7297
çok önemli,bu çok önemli,7267
bu çok,bu çok önemli,7267
iyi değil,hiç iyi değil,7263
hiç iyi,hiç iyi değil,7263
nasıl oldu,nasıl oldu da,7254
buna gerek,buna gerek yok,7218
gerek yok,buna gerek yok,7218
ne olduğunu,bunun ne olduğunu,7184
bunun ne,bunun ne olduğunu,7184
böyle bir,neden böyle bir,7171
neden böyle,neden böyle bir,7171
bir adam,bir adam var,7169
onun gibi,onun gibi bir,7162
gibi bir,onun gibi bir,7162
ben de,ben de bu,7132
de bu,ben de bu,7132
olduğunu biliyorum,ne olduğunu biliyorum,7115
ne olduğunu,ne olduğunu biliyorum,7115
başka bir,başka bir yerde,7092
bir yerde,başka bir yerde,7092
büyük bir,için büyük bir,7055
olan bir,olan bir şey,7039
bir şey,olan bir şey,7039
bir şeyler,için bir şeyler,7004
için bir,için bir şeyler,7004
bir şey,fazla bir şey,6998
yeni bir,yeni bir şey,6946
bir şey,yeni bir şey,6946
ve şimdi,ve şimdi de,6940
şimdi de,ve şimdi de,6940
bir şey,özel bir şey,6925
özel bir,özel bir şey,6925
sadece bir,sadece bir tane,6896
bir tane,sadece bir tane,6896
hiçbir şey,hiçbir şey bilmiyorum,6879
şey bilmiyorum,hiçbir şey bilmiyorum,6879
bir şey,bir şey için,6825
şey için,bir şey için,6825
ne kadar,ne kadar iyi,6800
kadar iyi,ne kadar iyi,6800
şey değil,şey değil mi,6776
değil mi,şey değil mi,6776
olur mu,sorun olur mu,6747
değil mi,iyi değil mi,6742
iyi değil,iyi değil mi,6742
özür dilerim,özür dilerim ama,6726
nasıl olur,nasıl olur da,6661
şunu bana,ver şunu bana,6651
ver şunu,ver şunu bana,6651
hakkında ne,hakkında ne biliyorsun,6636
ne biliyorsun,hakkında ne biliyorsun,6636
ben de,ben de seninle,6600
ister misin,etmek ister misin,6597
kadar zor,ne kadar zor,6589
ne kadar,ne kadar zor,6589
çok önemli,için çok önemli,6587
için çok,için çok önemli,6587
bir dakika,bir dakika bekle,6566
iyi mi,o iyi mi,6557
o iyi,o iyi mi,6557
ne var,ne var ki,6553
var ki,ne var ki,6553
ne demek,ne demek şimdi,6504
demek şimdi,ne demek şimdi,6504
özel bir,çok özel bir,6434
de öyle,de öyle değil,6430
öyle değil,de öyle değil,6430
benim için,benim için mi,6385
için mi,benim için mi,6385
gerek yok,hiç gerek yok,6382
de benim,sen de benim,6370
sen de,sen de benim,6370
şey yok,şey yok mu,6363
yok mu,şey yok mu,6363
yardım etmek,sana yardım etmek,6356
sana yardım,sana yardım etmek,6356
böyle bir,hiç böyle bir,6337
hiç böyle,hiç böyle bir,6337
emin olmak,emin olmak için,6325
olmak için,emin olmak için,6325
yapmak istiyorsun,ne yapmak istiyorsun,6316
ne yapmak,ne yapmak istiyorsun,6316
onu bana,ver onu bana,6313
ver onu,ver onu bana,6313
zaman bir,o zaman bir,6269
o zaman,o zaman bir,6269
burada ne,burada ne işi,6237
ne işi,burada ne işi,6237
kadar iyi,bu kadar iyi,6206
bu kadar,bu kadar iyi,6206
çok daha,çok daha fazla,6199
daha fazla,çok daha fazla,6199
bu o,bu o mu,6184
o mu,bu o mu,6184
hiç de,hiç de bile,6183
ben de,ben de tam,6171
hiçbir şey,ben hiçbir şey,6160
ben hiçbir,ben hiçbir şey,6160
tamam mı,ol tamam mı,6154
tek şey,olan tek şey,6153
ya da,ya da geç,6145
güzel bir,güzel bir yer,6136
bir yer,güzel bir yer,6136
aynı şeyi,de aynı şeyi,6128
de aynı,de aynı şeyi,6128
bir şeyi,bir şeyi yok,6120
şeyi yok,bir şeyi yok,6120
senin için,senin için de,6116
için de,senin için de,6116
bir şey,ama bir şey,6097
ama bir,ama bir şey,6097
o iyi,o iyi bir,6084
iyi bir,o iyi bir,6084
çok hoş,çok hoş bir,6081
hoş bir,çok hoş bir,6081
o sadece,o sadece bir,6038
sadece bir,o sadece bir,6038
emin değilim,pek emin değilim,6005
için çok,için çok geç,5988
çok geç,için çok geç,5988
o da,ve o da,5938
ve o,ve o da,5938
hiç bir,hiç bir zaman,5935
bir zaman,hiç bir zaman,5935
sorun değil,hiç sorun değil,5924
hiç sorun,hiç sorun değil,5924
de aynı,ben de aynı,5919
ben de,ben de aynı,5919
de bir,sen de bir,5914
sen de,sen de bir,5914
şu anda,ama şu anda,5900
ve bir,ve bir de,5896
bir de,ve bir de,5896
üç iki,üç iki bir,5869
bekle bekle,bekle bekle bekle,5864
biliyorum ama,olduğunu biliyorum ama,5848
olduğunu biliyorum,olduğunu biliyorum ama,5848
bir saat,bir saat önce,5829
saat önce,bir saat önce,5829
sen ve,sadece sen ve,5821
sadece sen,sadece sen ve,5821
için çok,bunun için çok,5806
bunun için,bunun için çok,5806
daha iyi,daha iyi olacak,5802
iyi olacak,daha iyi olacak,5802
bir şey,bir şey söyledi,5764
bir şey,bir şey olmalı,5750
iyi olur,çok iyi olur,5733
çok iyi,çok iyi olur,5733
şu ki,sorun şu ki,5722
büyük bir,büyük bir şey,5684
bir şey,büyük bir şey,5684
ve bir,ve bir daha,5668
bir daha,ve bir daha,5668
ne olacak,sonra ne olacak,5665
sonra ne,sonra ne olacak,5665
her şey,her şey hazır,5657
ne oldu,ne oldu ki,5632
tamam mı,yok tamam mı,5620
bir şey,bir şey bilmiyorum,5619
şey bilmiyorum,bir şey bilmiyorum,5619
bu hiç,bu hiç iyi,5608
hiç iyi,bu hiç iyi,5608
saat sonra,bir saat sonra,5607
bir saat,bir saat sonra,5607
değil mi,istiyorsun değil mi,5605
ben de,ben de ona,5580
şu an,ama şu an,5579
olduğunu biliyor,kim olduğunu biliyor,5573
kim olduğunu,kim olduğunu biliyor,5573
özür dilerim,özür dilerim efendim,5565
bir şey,bir şey yapmak,5534
daha iyi,bu daha iyi,5513
bu daha,bu daha iyi,5513
benim için,bunu benim için,5512
peki şimdi,peki şimdi ne,5509
şimdi ne,peki şimdi ne,5509
yardım et,yardım et bana,5501
bir şeyler,bir şeyler oluyor,5495
çok hoş,bu çok hoş,5494
bu çok,bu çok hoş,5494
bundan emin,bundan emin misin,5492
emin misin,bundan emin misin,5492
onu bir,onu bir daha,5485
bir daha,onu bir daha,5485
bir daha,bunu bir daha,5483
bunu bir,bunu bir daha,5483
bir kaç,bir kaç gün,5475
bu da,bu da benim,5450
da benim,bu da benim,5450
bir şeyler,hakkında bir şeyler,5447
hakkında bir,hakkında bir şeyler,5447
uzun bir,çok uzun bir,5438
çok uzun,çok uzun bir,5438
bu da,bu da nedir,5410
da nedir,bu da nedir,5410
bir şey,bir şey vardı,5407
sağ ol,hayır sağ ol,5403
hayır sağ,hayır sağ ol,5403
kötü değil,da kötü değil,5401
da kötü,da kötü değil,5401
sorun yok,bir sorun yok,5367
bir sorun,bir sorun yok,5367
gibi değil,gibi değil mi,5366
değil mi,gibi değil mi,5366
değil mi,ama değil mi,5356
ama bu,evet ama bu,5340
evet ama,evet ama bu,5340
ne kadar,ne kadar oldu,5320
onu bana,onu bana ver,5318
bana ver,onu bana ver,5318
nereden biliyorsun,bunu nereden biliyorsun,5314
bunu nereden,bunu nereden biliyorsun,5314
her şey,her şey iyi,5285
bir tane,bir tane de,5278
var mı,var mı diye,5268
başka bir,da başka bir,5264
ne kadar,ne kadar zaman,5257
pek iyi,pek iyi değil,5235
iyi değil,pek iyi değil,5235
bir adam,iyi bir adam,5223
iyi bir,iyi bir adam,5223
en iyi,benim en iyi,5187
bir yer,bir yer değil,5151
ya da,ya da başka,5134
çok güzel,çok güzel değil,5131
güzel değil,çok güzel değil,5131
tek bir,sadece tek bir,5115
bu kadar,benden bu kadar,5062
evet bu,evet bu doğru,5049
bu doğru,evet bu doğru,5049
bu yüzden,bu yüzden bu,5018
bir yere,bir yere mi,5014
etmek istiyorum,teşekkür etmek istiyorum,5010
bu iyi,bu iyi değil,4980
iyi değil,bu iyi değil,4980
tamam mı,değil tamam mı,4975
bir şey,burada bir şey,4974
burada bir,burada bir şey,4974
ha ha,ha ha ha,4968
bu kadar,bu kadar önemli,4966
şey ister,şey ister misin,4952
ister misin,şey ister misin,4952
yardım edin,bana yardım edin,4941
bana yardım,bana yardım edin,4941
bu yüzden,bu yüzden de,4933
bu kötü,bu kötü bir,4932
kötü bir,bu kötü bir,4932
sonra da,ve sonra da,4930
ve sonra,ve sonra da,4930
sağ ol,çok sağ ol,4927
iyi bir,bunun iyi bir,4920
olabilir ki,ne olabilir ki,4918
ne olabilir,ne olabilir ki,4918
görmek çok,seni görmek çok,4911
seni görmek,seni görmek çok,4911
zor bir,çok zor bir,4885
çok zor,çok zor bir,4885
bir kız,küçük bir kız,4861
küçük bir,küçük bir kız,4861
en iyi,en iyi şey,4854
tamam tamam,tamam tamam tamam,4838
bunu sen,bunu sen mi,4830
sen mi,bunu sen mi,4830
de bana,sen de bana,4808
ne kadar,ne kadar var,4808
sen de,sen de bana,4808
o da,o da kim,4806
da kim,o da kim,4806
iyi mi,herkes iyi mi,4802
çok şey,hakkında çok şey,4799
oluyor burada,ne oluyor burada,4794
ne oluyor,ne oluyor burada,4794
daha var,tane daha var,4780
tane daha,tane daha var,4780
bu gece,bu gece burada,4755
ne oldu,ne oldu böyle,4728
seni görmek,seni görmek istiyor,4725
görmek istiyor,seni görmek istiyor,4725
için en,için en iyi,4721
en iyi,için en iyi,4721
olduğunu bilmiyorum,nerede olduğunu bilmiyorum,4719
nerede olduğunu,nerede olduğunu bilmiyorum,4719
de beni,sen de beni,4717
sen de,sen de beni,4717
ilgili bir,ile ilgili bir,4701
ile ilgili,ile ilgili bir,4701
iyi bir,iyi bir iş,4657
bir iş,iyi bir iş,4657
ne böyle,bu ne böyle,4653
bu ne,bu ne böyle,4653
ne var,başka ne var,4651
başka ne,başka ne var,4651
bir son,buna bir son,4647
aman tanrım,oh aman tanrım,4644
bir yer,iyi bir yer,4643
ne kadar,bu ne kadar,4643
bu ne,bu ne kadar,4643
iyi bir,iyi bir yer,4643
şu an,şu an için,4642
seni görmek,seni görmek ne,4628
görmek ne,seni görmek ne,4628
hoş değil,hiç hoş değil,4626
ne oldu,ona ne oldu,4617
ona ne,ona ne oldu,4617
daha önce,daha önce böyle,4607
için bu,için bu kadar,4599
bu kadar,için bu kadar,4599
ben de,ben de bilmiyorum,4598
bir şey,da bir şey,4585
da bir,da bir şey,4585
o zaman,o zaman sen,4583
teşekkür ederim,ben teşekkür ederim,4569
her şey,ve her şey,4568
ve her,ve her şey,4568
bir an,bir an için,4560
her zaman,ben her zaman,4560
benim de,benim de bir,4541
de bir,benim de bir,4541
için üzgünüm,bunun için üzgünüm,4534
bunun için,bunun için üzgünüm,4534
olduğunu biliyorum,zor olduğunu biliyorum,4504
lütfen yardım,lütfen yardım edin,4504
yardım edin,lütfen yardım edin,4504
her şeyi,bana her şeyi,4499
de bana,bir de bana,4494
senin için,bunu senin için,4494
bir de,bir de bana,4494
benim için,benim için önemli,4490
bir şey,de bir şey,4489
de bir,de bir şey,4489
nasıl bir,bu nasıl bir,4477
bu nasıl,bu nasıl bir,4477
demek oluyor,demek oluyor ki,4473
o da,o da bir,4467
da bir,o da bir,4467
bu çok,ama bu çok,4459
ama bu,ama bu çok,4459
bunlar da,bunlar da ne,4443
da ne,bunlar da ne,4443
harika bir,için harika bir,4435
bir iş,bir iş var,4433
bir gün,bir gün daha,4432
bir zaman,başka bir zaman,4431
başka bir,başka bir zaman,4431
güzel bir,bu güzel bir,4419
bu güzel,bu güzel bir,4419
tamam mı,istiyorum tamam mı,4414
peki ya,peki ya bu,4412
ya bu,peki ya bu,4412
bir kez,sadece bir kez,4406
sadece bir,sadece bir kez,4406
çok üzgünüm,gerçekten çok üzgünüm,4402
gerçekten çok,gerçekten çok üzgünüm,4402
benim için,benim için değil,4400
için değil,benim için değil,4400
güzel bir,için güzel bir,4398
ne demek,o ne demek,4393
o ne,o ne demek,4393
değil mi,oldu değil mi,4390
bu bir,ama bu bir,4388
ne iş,ne iş yapıyorsun,4388
ama bu,ama bu bir,4388
bir kez,bir kez olsun,4375
da bu,sorun da bu,4373
bu mu,bu mu yani,4371
yer var,yer var mı,4353
var mı,yer var mı,4353
seni tekrar,seni tekrar görmek,4351
tabii ki,tabii ki de,4344
çok fazla,çok fazla şey,4344
ne zaman,ne zaman oldu,4343
zaman oldu,ne zaman oldu,4343
şey bu,şey bu mu,4332
bu mu,şey bu mu,4332
gün önce,birkaç gün önce,4330
birkaç gün,birkaç gün önce,4330
için daha,için daha iyi,4328
daha iyi,için daha iyi,4328
öyle değil,hayır öyle değil,4323
hayır öyle,hayır öyle değil,4323
bu yüzden,bu yüzden onu,4323
bir şey,bir şey yapma,4311
az önce,az önce ne,4310
şu anda,şu anda bir,4306
gerçekten çok,gerçekten çok güzel,4302
çok güzel,gerçekten çok güzel,4302
